data_source,n_trials_first,n_trials_next,epochs_first,epochs_next,epochs_final,patience,optimization_type,time
CoffeeSpecies,500,90,100,10,10000,3000,progressive,4.342552900314331
CoffeeSpecies,500,90,100,10,10000,10000,progressive,5.11974024772644
CoffeeSpecies,500,90,100,10,10000,10000,progressive,5.0293869972229
CoffeeSpecies,500,90,100,10,10000,10000,progressive,5.033371448516846
CoffeeSpecies,500,90,100,10,10000,10000,progressive,5.073580980300903
CoffeeSpecies,500,90,100,10,10000,10000,progressive,5.033278703689575
CoffeeSpecies,500,90,100,10,10000,10000,progressive,5.053192138671875
CoffeeSpecies,500,90,100,10,10000,10000,progressive,5.040109157562256
CoffeeSpecies,500,90,100,10,10000,10000,progressive,5.053476572036743
CoffeeSpecies,500,90,100,10,10000,10000,progressive,5.02879810333252
CoffeeSpecies,500,90,100,10,10000,10000,progressive,5.02897834777832
CoffeeSpecies,500,90,100,10,10000,10000,progressive,0.6169071197509766
CoffeeSpecies,500,90,100,10,10000,10000,progressive,0.6157944202423096
CoffeeSpecies,500,90,100,10,10000,10000,progressive,0.6128082275390625
CoffeeSpecies,500,90,100,10,10000,10000,progressive,0.6452474594116211
CoffeeSpecies,500,90,100,10,10000,10000,progressive,0.6170682907104492
CoffeeSpecies,500,90,100,10,10000,10000,progressive,0.6178185939788818
CoffeeSpecies,500,90,100,10,10000,10000,progressive,0.6494684219360352
CoffeeSpecies,500,90,100,10,10000,10000,progressive,0.6160850524902344
CoffeeSpecies,500,90,100,10,10000,10000,progressive,0.6170411109924316
CoffeeSpecies,500,90,100,10,10000,10000,progressive,0.6161515712738037
CoffeeSpecies,500,90,100,10,10000,10000,progressive,0.6151735782623291
CoffeeSpecies,500,90,100,10,10000,10000,progressive,1.053196668624878
CoffeeSpecies,500,90,100,10,10000,10000,progressive,5.013667345046997
CoffeeSpecies,500,90,100,10,10000,10000,progressive,5.080302953720093
CoffeeSpecies,500,90,100,10,10000,10000,progressive,5.058107614517212
CoffeeSpecies,500,90,100,10,10000,10000,progressive,5.260152339935303
