candidate_model,prep
Ridge_classif,simplescale_haar
Ridge_classif,simplescale_gaussian
Ridge_classif,simplescale_SNV
LGBM_classif,MSC_gaussian
LGBM_classif,MSC_haar
Ridge_classif,simplescale
Ridge_classif,savgol_simplescale
LGBM_classif,baseline_gaussian
LGBM_classif,baseline_haar
LGBM_classif,baseline_simplescale
LGBM_classif,derivate
LGBM_classif,derivate_MSC
LGBM_classif,derivate_SNV
LGBM_classif,derivate_RNV
LGBM_classif,derivate_haar
LGBM_classif,derivate_gaussian
Ridge_classif,detrend_RNV
Ridge_classif,detrend_SNV
LGBM_classif,derivate_normalize
LGBM_classif,derivate_savgol
LGBM_classif,derivate_simplescale
Ridge_classif,derivate_RNV
Ridge_classif,derivate_savgol
Ridge_classif,derivate_detrend
Ridge_classif,detrend
Ridge_classif,derivate_simplescale
LGBM_classif,normalize_gaussian
LGBM_classif,haar_gaussian
LGBM_classif,gaussian
LGBM_classif,detrend_gaussian
Ridge_classif,detrend_normalize
Ridge_classif,detrend_gaussian
LGBM_classif,savgol_gaussian
LGBM_classif,simplescale
NICON_classif,MSC_normalize
LGBM_classif,simplescale_gaussian
LGBM_classif,savgol_haar
LGBM_classif,normalize_haar
LGBM_classif,normalize_simplescale
Ridge_classif,MSC_RNV
Ridge_classif,MSC_normalize
Ridge_classif,MSC_simplescale
Ridge_classif,RNV
Ridge_classif,RNV_SNV
PLS_classif,MSC
NICON_classif,simplescale_SNV
Ridge_classif,RNV_gaussian
Ridge_classif,RNV_savgol
NICON_classif,id
NICON_classif,savgol
NICON_classif,savgol_haar
NICON_classif,savgol_gaussian
NICON_classif,detrend
NICON_classif,detrend_RNV
NICON_classif,derivate_detrend
Ridge_classif,derivate_MSC
Ridge_classif,baseline_SNV
Ridge_classif,baseline_detrend
Ridge_classif,baseline_gaussian
Ridge_classif,baseline_normalize
Ridge_classif,baseline_simplescale
Ridge_classif,baseline_savgol
Ridge_classif,baseline_RNV
Ridge_classif,SNV
Ridge_classif,MSC_SNV
Ridge_classif,normalize_SNV
PLS_classif,detrend_haar
PLS_classif,detrend_normalize
PLS_classif,normalize
PLS_classif,id
PLS_classif,normalize_savgol
Ridge_classif,haar_gaussian
LGBM_classif,baseline_MSC
LGBM_classif,baseline_derivate
Ridge_classif,detrend_simplescale
LGBM_classif,SNV_gaussian
LGBM_classif,SNV_haar
LGBM_classif,RNV_gaussian
LGBM_classif,MSC_simplescale
PLS_classif,savgol_simplescale
Ridge_classif,gaussian
Ridge_classif,normalize
PLS_classif,detrend_simplescale
PLS_classif,haar
PLS_classif,baseline_savgol
PLS_classif,detrend_RNV
PLS_classif,detrend_MSC
PLS_classif,derivate_detrend
PLS_classif,baseline
PLS_classif,baseline_MSC
PLS_classif,baseline_detrend
PLS_classif,baseline_haar
Ridge_classif,savgol_SNV
Ridge_classif,savgol
Ridge_classif,normalize_savgol
Ridge_classif,normalize_simplescale
Ridge_classif,normalize_RNV
PLS_classif,SNV_gaussian
PLS_classif,MSC_savgol
Ridge_classif,RNV_simplescale
PLS_classif,RNV_haar
Ridge_classif,detrend_savgol
NICON_classif,detrend_savgol
NICON_classif,RNV
LGBM_classif,RNV_simplescale
LGBM_classif,normalize_savgol
LGBM_classif,savgol_simplescale
LGBM_classif,savgol
PLS_classif,MSC_gaussian
NICON_classif,baseline_normalize
NICON_classif,derivate_savgol
NICON_classif,derivate
LGBM_classif,haar
LGBM_classif,detrend_haar
LGBM_classif,RNV_haar
Ridge_classif,id
PLS_classif,normalize_RNV
PLS_classif,MSC_normalize
PLS_classif,detrend_gaussian
PLS_classif,SNV
PLS_classif,RNV
PLS_classif,MSC_SNV
NICON_classif,SNV_haar
NICON_classif,simplescale_haar
PLS_classif,simplescale_haar
NICON_classif,derivate_RNV
NICON_classif,baseline_haar
Ridge_classif,baseline
PLS_classif,baseline_SNV
Ridge_classif,savgol_gaussian
PLS_classif,baseline_normalize
PLS_classif,RNV_SNV
PLS_classif,normalize_SNV
PLS_classif,normalize_haar
PLS_classif,savgol_gaussian
NICON_classif,detrend_haar
NICON_classif,haar
NICON_classif,detrend_simplescale
PLS_classif,simplescale_gaussian
NICON_classif,derivate_SNV
LGBM_classif,simplescale_haar
Ridge_classif,SNV_haar
Ridge_classif,baseline_haar
Ridge_classif,SNV_gaussian
Ridge_classif,savgol_haar
PLS_classif,normalize_simplescale
PLS_classif,RNV_simplescale
PLS_classif,SNV_haar
Ridge_classif,haar
NICON_classif,RNV_haar
PLS_classif,MSC_haar
PLS_classif,gaussian
PLS_classif,baseline_gaussian
PLS_classif,detrend
Ridge_classif,detrend_haar
NICON_classif,normalize_savgol
PLS_classif,RNV_savgol
LGBM_classif,detrend_normalize
LGBM_classif,detrend_SNV
NICON_classif,normalize_haar
PLS_classif,normalize_gaussian
NICON_classif,baseline_gaussian
NICON_classif,baseline_derivate
LGBM_classif,derivate_detrend
PLS_classif,savgol_haar
LGBM_classif,RNV_savgol
PLS_classif,detrend_SNV
LGBM_classif,id
NICON_classif,detrend_normalize
NICON_classif,RNV_savgol
Ridge_classif,RNV_haar
NICON_classif,normalize_SNV
LGBM_classif,baseline_savgol
LGBM_classif,normalize
LGBM_classif,detrend_simplescale
LGBM_classif,detrend
NICON_classif,MSC_SNV
LGBM_classif,savgol_SNV
NICON_classif,RNV_SNV
NICON_classif,baseline_SNV
NICON_classif,baseline_RNV
Ridge_classif,derivate_haar
PLS_classif,derivate_SNV
PLS_classif,derivate_MSC
Ridge_classif,derivate_SNV
PLS_classif,RNV_gaussian
Ridge_classif,derivate_gaussian
NICON_classif,derivate_gaussian
NICON_classif,derivate_normalize
NICON_classif,normalize
PLS_classif,MSC_RNV
Ridge_classif,MSC_gaussian
NICON_classif,normalize_simplescale
NICON_classif,normalize_RNV
PLS_classif,savgol_SNV
Ridge_classif,normalize_gaussian
NICON_classif,normalize_gaussian
NICON_classif,detrend_SNV
NICON_classif,baseline_simplescale
LGBM_classif,detrend_MSC
NICON_classif,savgol_simplescale
NICON_classif,simplescale_gaussian
NICON_classif,derivate_MSC
NICON_classif,haar_gaussian
NICON_classif,detrend_gaussian
PLS_classif,baseline_simplescale
PLS_classif,MSC_simplescale
PLS_classif,simplescale
PLS_classif,simplescale_SNV
NICON_classif,MSC_haar
NICON_classif,MSC_simplescale
PLS_classif,derivate_haar
NICON_classif,MSC_RNV
LGBM_classif,MSC_normalize
NICON_classif,baseline_detrend
NICON_classif,MSC_gaussian
NICON_classif,gaussian
LGBM_classif,detrend_RNV
NICON_classif,derivate_haar
PLS_classif,detrend_savgol
PLS_classif,savgol
PLS_classif,derivate_RNV
LGBM_classif,simplescale_SNV
PLS_classif,baseline_RNV
PLS_classif,derivate_simplescale
PLS_classif,derivate_normalize
LGBM_classif,RNV
LGBM_classif,baseline_detrend
LGBM_classif,baseline_SNV
LGBM_classif,RNV_SNV
LGBM_classif,SNV
LGBM_classif,baseline_RNV
LGBM_classif,baseline
LGBM_classif,MSC_savgol
LGBM_classif,normalize_RNV
LGBM_classif,detrend_savgol
LGBM_classif,normalize_SNV
Ridge_classif,derivate
NICON_classif,SNV
Ridge_classif,derivate_normalize
LGBM_classif,baseline_normalize
LGBM_classif,MSC_RNV
LGBM_classif,MSC
LGBM_classif,MSC_SNV
