candidate_model,prep,median_delta,gate1_perf_sign_p,gate1_perf_n_eff,gate1_wilcoxon_p,gate1_wilcoxon_n_eff,gate2_corr_rho,gate2_corr_p,gate2_corr_q,decision
LGBM_classif,MSC_gaussian,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
LGBM_classif,MSC_haar,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
LGBM_classif,MSC_simplescale,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
LGBM_classif,RNV_gaussian,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
LGBM_classif,SNV_gaussian,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
LGBM_classif,SNV_haar,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
LGBM_classif,baseline_MSC,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
LGBM_classif,baseline_derivate,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
LGBM_classif,baseline_gaussian,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
LGBM_classif,baseline_haar,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
LGBM_classif,baseline_simplescale,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
LGBM_classif,derivate,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
LGBM_classif,derivate_MSC,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
LGBM_classif,derivate_RNV,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
LGBM_classif,derivate_SNV,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
LGBM_classif,derivate_gaussian,0.0,1.0,5.0,1.0,5.0,,,,KEEP
LGBM_classif,derivate_haar,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
LGBM_classif,derivate_normalize,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
LGBM_classif,derivate_savgol,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
LGBM_classif,derivate_simplescale,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
LGBM_classif,detrend_gaussian,0.0,1.0,5.0,1.0,5.0,,,,KEEP
LGBM_classif,gaussian,0.0,0.96875,5.0,0.75,5.0,,,,KEEP
LGBM_classif,haar_gaussian,0.0,0.8125,5.0,0.71875,5.0,,,,KEEP
LGBM_classif,normalize_gaussian,0.0,1.0,5.0,1.0,5.0,,,,KEEP
LGBM_classif,normalize_haar,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
LGBM_classif,normalize_simplescale,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
LGBM_classif,savgol_gaussian,0.0,0.96875,5.0,0.75,5.0,,,,KEEP
LGBM_classif,savgol_haar,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
LGBM_classif,simplescale,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
LGBM_classif,simplescale_gaussian,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
NICON_classif,MSC_normalize,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
NICON_classif,derivate_detrend,0.0,0.96875,5.0,0.75,5.0,,,,KEEP
NICON_classif,detrend,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
NICON_classif,detrend_RNV,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
NICON_classif,id,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
NICON_classif,savgol,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
NICON_classif,savgol_gaussian,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
NICON_classif,savgol_haar,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
NICON_classif,simplescale_SNV,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
PLS_classif,MSC,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
PLS_classif,MSC_savgol,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
PLS_classif,RNV_haar,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
PLS_classif,SNV_gaussian,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
PLS_classif,baseline,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
PLS_classif,baseline_MSC,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
PLS_classif,baseline_detrend,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
PLS_classif,baseline_haar,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
PLS_classif,baseline_savgol,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
PLS_classif,derivate_detrend,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
PLS_classif,detrend_MSC,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
PLS_classif,detrend_RNV,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
PLS_classif,detrend_haar,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
PLS_classif,detrend_normalize,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
PLS_classif,detrend_simplescale,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
PLS_classif,haar,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
PLS_classif,id,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
PLS_classif,normalize,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
PLS_classif,normalize_savgol,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
PLS_classif,savgol_simplescale,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
Ridge_classif,MSC_RNV,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
Ridge_classif,MSC_SNV,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
Ridge_classif,MSC_normalize,0.0,0.96875,5.0,0.75,5.0,,,,KEEP
Ridge_classif,MSC_simplescale,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
Ridge_classif,RNV,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
Ridge_classif,RNV_SNV,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
Ridge_classif,RNV_gaussian,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
Ridge_classif,RNV_savgol,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
Ridge_classif,RNV_simplescale,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
Ridge_classif,SNV,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
Ridge_classif,baseline_RNV,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
Ridge_classif,baseline_SNV,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
Ridge_classif,baseline_detrend,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
Ridge_classif,baseline_gaussian,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
Ridge_classif,baseline_normalize,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
Ridge_classif,baseline_savgol,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
Ridge_classif,baseline_simplescale,0.0,0.96875,5.0,0.84375,5.0,,,,KEEP
Ridge_classif,derivate_MSC,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
Ridge_classif,derivate_RNV,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
Ridge_classif,derivate_detrend,0.0,0.8125,5.0,0.71875,5.0,,,,KEEP
Ridge_classif,derivate_savgol,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
Ridge_classif,derivate_simplescale,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
Ridge_classif,detrend,0.0,0.8125,5.0,0.40625,5.0,,,,KEEP
Ridge_classif,detrend_RNV,0.0,0.96875,5.0,0.75,5.0,,,,KEEP
Ridge_classif,detrend_SNV,0.0,0.8125,5.0,0.71875,5.0,,,,KEEP
