,CNN_reg|MSC,CNN_reg|MSC_RNV,CNN_reg|MSC_SNV,CNN_reg|MSC_gaussian,CNN_reg|MSC_haar,CNN_reg|MSC_normalize,CNN_reg|MSC_savgol,CNN_reg|MSC_simplescale,CNN_reg|RNV,CNN_reg|RNV_SNV,CNN_reg|RNV_gaussian,CNN_reg|RNV_haar,CNN_reg|RNV_savgol,CNN_reg|RNV_simplescale,CNN_reg|SNV,CNN_reg|SNV_gaussian,CNN_reg|SNV_haar,CNN_reg|baseline,CNN_reg|baseline_MSC,CNN_reg|baseline_RNV,CNN_reg|baseline_SNV,CNN_reg|baseline_derivate,CNN_reg|baseline_detrend,CNN_reg|baseline_gaussian,CNN_reg|baseline_haar,CNN_reg|baseline_normalize,CNN_reg|baseline_savgol,CNN_reg|baseline_simplescale,CNN_reg|derivate,CNN_reg|derivate_MSC,CNN_reg|derivate_RNV,CNN_reg|derivate_SNV,CNN_reg|derivate_detrend,CNN_reg|derivate_gaussian,CNN_reg|derivate_haar,CNN_reg|derivate_normalize,CNN_reg|derivate_savgol,CNN_reg|derivate_simplescale,CNN_reg|detrend,CNN_reg|detrend_MSC,CNN_reg|detrend_RNV,CNN_reg|detrend_SNV,CNN_reg|detrend_gaussian,CNN_reg|detrend_haar,CNN_reg|detrend_normalize,CNN_reg|detrend_savgol,CNN_reg|detrend_simplescale,CNN_reg|gaussian,CNN_reg|haar,CNN_reg|haar_gaussian,CNN_reg|id,CNN_reg|normalize,CNN_reg|normalize_RNV,CNN_reg|normalize_SNV,CNN_reg|normalize_gaussian,CNN_reg|normalize_haar,CNN_reg|normalize_savgol,CNN_reg|normalize_simplescale,CNN_reg|savgol,CNN_reg|savgol_SNV,CNN_reg|savgol_gaussian,CNN_reg|savgol_haar,CNN_reg|savgol_simplescale,CNN_reg|simplescale,CNN_reg|simplescale_SNV,CNN_reg|simplescale_gaussian,CNN_reg|simplescale_haar,LGBM_reg|MSC,LGBM_reg|MSC_RNV,LGBM_reg|MSC_SNV,LGBM_reg|MSC_gaussian,LGBM_reg|MSC_haar,LGBM_reg|MSC_normalize,LGBM_reg|MSC_savgol,LGBM_reg|MSC_simplescale,LGBM_reg|RNV,LGBM_reg|RNV_SNV,LGBM_reg|RNV_gaussian,LGBM_reg|RNV_haar,LGBM_reg|RNV_savgol,LGBM_reg|RNV_simplescale,LGBM_reg|SNV,LGBM_reg|SNV_gaussian,LGBM_reg|SNV_haar,LGBM_reg|baseline,LGBM_reg|baseline_MSC,LGBM_reg|baseline_RNV,LGBM_reg|baseline_SNV,LGBM_reg|baseline_derivate,LGBM_reg|baseline_detrend,LGBM_reg|baseline_gaussian,LGBM_reg|baseline_haar,LGBM_reg|baseline_normalize,LGBM_reg|baseline_savgol,LGBM_reg|baseline_simplescale,LGBM_reg|derivate,LGBM_reg|derivate_MSC,LGBM_reg|derivate_RNV,LGBM_reg|derivate_SNV,LGBM_reg|derivate_detrend,LGBM_reg|derivate_gaussian,LGBM_reg|derivate_haar,LGBM_reg|derivate_normalize,LGBM_reg|derivate_savgol,LGBM_reg|derivate_simplescale,LGBM_reg|detrend,LGBM_reg|detrend_MSC,LGBM_reg|detrend_RNV,LGBM_reg|detrend_SNV,LGBM_reg|detrend_gaussian,LGBM_reg|detrend_haar,LGBM_reg|detrend_normalize,LGBM_reg|detrend_savgol,LGBM_reg|detrend_simplescale,LGBM_reg|gaussian,LGBM_reg|haar,LGBM_reg|haar_gaussian,LGBM_reg|id,LGBM_reg|normalize,LGBM_reg|normalize_RNV,LGBM_reg|normalize_SNV,LGBM_reg|normalize_gaussian,LGBM_reg|normalize_haar,LGBM_reg|normalize_savgol,LGBM_reg|normalize_simplescale,LGBM_reg|savgol,LGBM_reg|savgol_SNV,LGBM_reg|savgol_gaussian,LGBM_reg|savgol_haar,LGBM_reg|savgol_simplescale,LGBM_reg|simplescale,LGBM_reg|simplescale_SNV,LGBM_reg|simplescale_gaussian,LGBM_reg|simplescale_haar,PLS_reg|MSC,PLS_reg|MSC_RNV,PLS_reg|MSC_SNV,PLS_reg|MSC_gaussian,PLS_reg|MSC_haar,PLS_reg|MSC_normalize,PLS_reg|MSC_savgol,PLS_reg|MSC_simplescale,PLS_reg|RNV,PLS_reg|RNV_SNV,PLS_reg|RNV_gaussian,PLS_reg|RNV_haar,PLS_reg|RNV_savgol,PLS_reg|RNV_simplescale,PLS_reg|SNV,PLS_reg|SNV_gaussian,PLS_reg|SNV_haar,PLS_reg|baseline,PLS_reg|baseline_MSC,PLS_reg|baseline_RNV,PLS_reg|baseline_SNV,PLS_reg|baseline_derivate,PLS_reg|baseline_detrend,PLS_reg|baseline_gaussian,PLS_reg|baseline_haar,PLS_reg|baseline_normalize,PLS_reg|baseline_savgol,PLS_reg|baseline_simplescale,PLS_reg|derivate,PLS_reg|derivate_MSC,PLS_reg|derivate_RNV,PLS_reg|derivate_SNV,PLS_reg|derivate_detrend,PLS_reg|derivate_gaussian,PLS_reg|derivate_haar,PLS_reg|derivate_normalize,PLS_reg|derivate_savgol,PLS_reg|derivate_simplescale,PLS_reg|detrend,PLS_reg|detrend_MSC,PLS_reg|detrend_RNV,PLS_reg|detrend_SNV,PLS_reg|detrend_gaussian,PLS_reg|detrend_haar,PLS_reg|detrend_normalize,PLS_reg|detrend_savgol,PLS_reg|detrend_simplescale,PLS_reg|gaussian,PLS_reg|haar,PLS_reg|haar_gaussian,PLS_reg|id,PLS_reg|normalize,PLS_reg|normalize_RNV,PLS_reg|normalize_SNV,PLS_reg|normalize_gaussian,PLS_reg|normalize_haar,PLS_reg|normalize_savgol,PLS_reg|normalize_simplescale,PLS_reg|savgol,PLS_reg|savgol_SNV,PLS_reg|savgol_gaussian,PLS_reg|savgol_haar,PLS_reg|savgol_simplescale,PLS_reg|simplescale,PLS_reg|simplescale_SNV,PLS_reg|simplescale_gaussian,PLS_reg|simplescale_haar,Ridge_reg|MSC,Ridge_reg|MSC_RNV,Ridge_reg|MSC_SNV,Ridge_reg|MSC_gaussian,Ridge_reg|MSC_haar,Ridge_reg|MSC_normalize,Ridge_reg|MSC_savgol,Ridge_reg|MSC_simplescale,Ridge_reg|RNV,Ridge_reg|RNV_SNV,Ridge_reg|RNV_gaussian,Ridge_reg|RNV_haar,Ridge_reg|RNV_savgol,Ridge_reg|RNV_simplescale,Ridge_reg|SNV,Ridge_reg|SNV_gaussian,Ridge_reg|SNV_haar,Ridge_reg|baseline,Ridge_reg|baseline_MSC,Ridge_reg|baseline_RNV,Ridge_reg|baseline_SNV,Ridge_reg|baseline_derivate,Ridge_reg|baseline_detrend,Ridge_reg|baseline_gaussian,Ridge_reg|baseline_haar,Ridge_reg|baseline_normalize,Ridge_reg|baseline_savgol,Ridge_reg|baseline_simplescale,Ridge_reg|derivate,Ridge_reg|derivate_MSC,Ridge_reg|derivate_RNV,Ridge_reg|derivate_SNV,Ridge_reg|derivate_detrend,Ridge_reg|derivate_gaussian,Ridge_reg|derivate_haar,Ridge_reg|derivate_normalize,Ridge_reg|derivate_savgol,Ridge_reg|derivate_simplescale,Ridge_reg|detrend,Ridge_reg|detrend_MSC,Ridge_reg|detrend_RNV,Ridge_reg|detrend_SNV,Ridge_reg|detrend_gaussian,Ridge_reg|detrend_haar,Ridge_reg|detrend_normalize,Ridge_reg|detrend_savgol,Ridge_reg|detrend_simplescale,Ridge_reg|gaussian,Ridge_reg|haar,Ridge_reg|haar_gaussian,Ridge_reg|id,Ridge_reg|normalize,Ridge_reg|normalize_RNV,Ridge_reg|normalize_SNV,Ridge_reg|normalize_gaussian,Ridge_reg|normalize_haar,Ridge_reg|normalize_savgol,Ridge_reg|normalize_simplescale,Ridge_reg|savgol,Ridge_reg|savgol_SNV,Ridge_reg|savgol_gaussian,Ridge_reg|savgol_haar,Ridge_reg|savgol_simplescale,Ridge_reg|simplescale,Ridge_reg|simplescale_SNV,Ridge_reg|simplescale_gaussian,Ridge_reg|simplescale_haar
CNN_reg|MSC,,0.9623513328776486,,,,0.96688995215311,0.9611756664388243,,,,,,,,,,,,0.9802870813397128,,,,,,,,0.9629254955570744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN_reg|MSC_RNV,0.9623513328776486,,0.9853178400546823,,,,,,,,,,0.9800136705399863,,0.9761038961038963,,,,,,0.9794668489405332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9794668489405332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN_reg|MSC_SNV,,0.9853178400546823,,,,,,,,,,,,,0.9781818181818183,,,,,0.9739166097060835,0.9829938482570063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9738619275461381,,,,,,,,,,,,0.9807792207792206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN_reg|MSC_gaussian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9037047163362953,,,,,,,,,,,,0.8841558441558441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9162269309637732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9282843472317157,0.9069036226930964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN_reg|MSC_haar,,,,,,,,,,,,,,,,,0.9213397129186602,,,,0.9083800410116198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9122077922077921,,,,,,,0.9308817498291183,,,,,,,,,,,,0.9032125768967875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN_reg|MSC_normalize,0.96688995215311,,,,,,,,,,,,,,,,,,0.9674641148325358,0.9711551606288449,,,,,,0.9759671907040328,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9680656185919344,,,,,,,,,,,,0.9673274094326726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN_reg|MSC_savgol,0.9611756664388243,,,,,,,,,,,,,,,,,,0.9595352016404648,,,,,,,,,0.9037047163362953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9129733424470267,,,,,,,0.9206015037593985,,0.9032672590567328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN_reg|MSC_simplescale,,,,,,,,,,,,,,0.9245933014354066,,,,,,,,,,,,,,0.9524812030075187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9171565276828435,,,,,0.9234176349965824,0.9346548188653452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN_reg|RNV,,,,,,,,,,,,,0.9739712918660287,,,,,,,0.9858920027341079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9805058099794942,0.9769241285030759,,,,,,,,,,,0.9773615857826384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN_reg|RNV_SNV,,,,,,,,,,,,,,,,,,,,0.9689678742310321,0.9666712235133288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9666985645933013,0.9641285030758714,,,,,,,,,,,0.9766233766233766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN_reg|RNV_gaussian,,,,,,,,,,,,,,,,,,,,,0.9108954203691046,,,,,0.8955844155844155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9120710868079289,0.9181954887218045,,,,,,,,,,,,0.8969241285030758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN_reg|RNV_haar,,,,,,,,,,,,,,,,,,,,,0.9234176349965824,,,,,0.9284483937115516,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9309911141490089,,,,,,,,,,,0.9298427887901571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.924401913875598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
