dataset,candidate_model,prep,delta_value
CoffeeSpecies,CNN_classif,MSC,0.5357142857142857
CoffeeSpecies,LGBM_classif,MSC,0.0714285714285714
CoffeeSpecies,Ridge_classif,MSC,0.4285714285714286
CoffeeSpecies,CNN_classif,MSC_RNV,0.03571428571428559
CoffeeSpecies,LGBM_classif,MSC_RNV,0.0714285714285714
CoffeeSpecies,PLS_classif,MSC_RNV,0.0714285714285714
CoffeeSpecies,CNN_classif,MSC_SNV,0.03571428571428559
CoffeeSpecies,LGBM_classif,MSC_SNV,0.0714285714285714
CoffeeSpecies,Ridge_classif,MSC_SNV,0.0
CoffeeSpecies,CNN_classif,MSC_gaussian,0.5000000000000001
CoffeeSpecies,LGBM_classif,MSC_gaussian,0.07142857142857151
CoffeeSpecies,Ridge_classif,MSC_gaussian,0.392857142857143
CoffeeSpecies,CNN_classif,MSC_haar,0.5357142857142857
CoffeeSpecies,LGBM_classif,MSC_haar,0.1071428571428571
CoffeeSpecies,Ridge_classif,MSC_haar,0.4285714285714286
CoffeeSpecies,LGBM_classif,MSC_normalize,0.0714285714285714
CoffeeSpecies,PLS_classif,MSC_normalize,0.0
CoffeeSpecies,Ridge_classif,MSC_normalize,0.0
CoffeeSpecies,CNN_classif,MSC_savgol,0.5357142857142857
CoffeeSpecies,LGBM_classif,MSC_savgol,0.0714285714285714
CoffeeSpecies,Ridge_classif,MSC_savgol,0.4285714285714286
CoffeeSpecies,LGBM_classif,MSC_simplescale,0.0
CoffeeSpecies,PLS_classif,MSC_simplescale,0.0714285714285714
CoffeeSpecies,Ridge_classif,MSC_simplescale,0.0
CoffeeSpecies,LGBM_classif,RNV,0.0714285714285714
CoffeeSpecies,PLS_classif,RNV,0.0
CoffeeSpecies,Ridge_classif,RNV,0.0
CoffeeSpecies,CNN_classif,RNV_SNV,0.03571428571428559
CoffeeSpecies,LGBM_classif,RNV_SNV,0.0714285714285714
CoffeeSpecies,Ridge_classif,RNV_SNV,0.0
CoffeeSpecies,CNN_classif,RNV_gaussian,0.10714285714285732
CoffeeSpecies,LGBM_classif,RNV_gaussian,0.03571428571428581
CoffeeSpecies,PLS_classif,RNV_gaussian,0.03571428571428581
CoffeeSpecies,CNN_classif,RNV_haar,0.0714285714285714
CoffeeSpecies,LGBM_classif,RNV_haar,0.1071428571428571
CoffeeSpecies,Ridge_classif,RNV_haar,0.03571428571428559
CoffeeSpecies,CNN_classif,RNV_savgol,0.03571428571428559
CoffeeSpecies,LGBM_classif,RNV_savgol,0.03571428571428559
CoffeeSpecies,Ridge_classif,RNV_savgol,0.0
CoffeeSpecies,LGBM_classif,RNV_simplescale,0.0
CoffeeSpecies,PLS_classif,RNV_simplescale,0.0
CoffeeSpecies,Ridge_classif,RNV_simplescale,0.0
CoffeeSpecies,CNN_classif,SNV,0.0714285714285714
CoffeeSpecies,LGBM_classif,SNV,0.0714285714285714
CoffeeSpecies,Ridge_classif,SNV,0.0
CoffeeSpecies,CNN_classif,SNV_gaussian,0.25
CoffeeSpecies,LGBM_classif,SNV_gaussian,0.1071428571428571
CoffeeSpecies,Ridge_classif,SNV_gaussian,0.03571428571428559
CoffeeSpecies,CNN_classif,SNV_haar,0.1428571428571429
CoffeeSpecies,LGBM_classif,SNV_haar,0.0714285714285714
CoffeeSpecies,Ridge_classif,SNV_haar,0.0
CoffeeSpecies,LGBM_classif,baseline,0.0714285714285714
CoffeeSpecies,PLS_classif,baseline,0.0
CoffeeSpecies,Ridge_classif,baseline,0.0
CoffeeSpecies,CNN_classif,baseline_MSC,0.3928571428571429
CoffeeSpecies,PLS_classif,baseline_MSC,0.0
CoffeeSpecies,Ridge_classif,baseline_MSC,0.3571428571428572
CoffeeSpecies,CNN_classif,baseline_RNV,0.03571428571428559
CoffeeSpecies,LGBM_classif,baseline_RNV,0.0714285714285714
CoffeeSpecies,PLS_classif,baseline_RNV,0.0714285714285714
CoffeeSpecies,CNN_classif,baseline_SNV,0.03571428571428559
CoffeeSpecies,LGBM_classif,baseline_SNV,0.0714285714285714
CoffeeSpecies,Ridge_classif,baseline_SNV,0.0
CoffeeSpecies,CNN_classif,baseline_derivate,0.1785714285714286
CoffeeSpecies,PLS_classif,baseline_derivate,0.1428571428571429
CoffeeSpecies,Ridge_classif,baseline_derivate,0.1071428571428572
CoffeeSpecies,CNN_classif,baseline_detrend,0.03571428571428559
CoffeeSpecies,LGBM_classif,baseline_detrend,0.0714285714285714
CoffeeSpecies,Ridge_classif,baseline_detrend,0.0
CoffeeSpecies,LGBM_classif,baseline_gaussian,0.03571428571428559
CoffeeSpecies,PLS_classif,baseline_gaussian,0.0
CoffeeSpecies,Ridge_classif,baseline_gaussian,0.0
