prep,candidate_model,ref_model,median_diff,p_perf,rho,p_corr,p_perf_adj,p_corr_adj,signif_worse,signif_corr,uninformative
MSC,CNN_reg,LGBM_reg,-0.017074684895378306,0.7707138061523438,0.9240196078431374,5.922452721997842e-08,1.0,5.03177115548036e-07,False,True,False
MSC,PLS_reg,LGBM_reg,-0.0695635575286019,0.995819091796875,0.42857142857142855,0.05548010713043838,1.0,0.0780831137391355,False,False,False
MSC,Ridge_reg,LGBM_reg,-0.04432475973920435,0.65625,0.942857142857143,0.0024023323615160277,1.0,0.005927833099844744,False,True,False
MSC_RNV,LGBM_reg,CNN_reg,0.03274323391504674,0.07075881958007812,0.9896800825593396,3.1314471110734817e-15,0.25366369283424234,8.499642158628022e-14,False,True,False
MSC_RNV,PLS_reg,CNN_reg,-0.0282971213972617,0.9999847412109375,0.7029411764705883,0.0011934763346504666,1.0,0.003435765205811949,False,True,False
MSC_SNV,LGBM_reg,CNN_reg,0.03666189761441695,0.013423919677734375,0.9607843137254902,1.2432835172619e-10,0.06376361846923828,2.147489711634191e-09,False,True,False
MSC_SNV,PLS_reg,CNN_reg,-0.023737153957367252,0.9999542236328125,0.5705882352941177,0.010495348184108884,1.0,0.02099069636821777,False,True,False
MSC_gaussian,CNN_reg,LGBM_reg,0.05324151483325805,0.0006103515625,0.8725274725274725,2.340310603625381e-05,0.009812575120192306,9.07467376915964e-05,True,True,True
MSC_gaussian,PLS_reg,LGBM_reg,0.08692501475410405,0.3125,0.7999999999999999,0.10000000000000003,0.927734375,0.12582781456953646,False,False,False
MSC_gaussian,Ridge_reg,LGBM_reg,0.03462402042595984,0.00830078125,0.8681318681318682,2.8399094543457553e-05,0.04262563344594595,0.0001079165592651387,True,True,True
MSC_haar,CNN_reg,LGBM_reg,0.023085808293321602,0.037109375,0.9166666666666666,0.0002533095331526042,0.141015625,0.0008157425643897423,False,True,False
MSC_haar,PLS_reg,LGBM_reg,-0.0070020473504079,0.78125,-0.39999999999999997,0.7476842122656544,1.0,0.7516402133887531,False,False,False
MSC_haar,Ridge_reg,LGBM_reg,-0.0015517979344290005,0.421875,0.5714285714285715,0.06947997858035335,1.0,0.09497263259184989,False,False,False
MSC_normalize,CNN_reg,LGBM_reg,-0.0277346317640249,0.9680862426757812,0.9436274509803922,6.688689353155384e-09,1.0,7.06028320610846e-08,False,True,False
MSC_normalize,PLS_reg,LGBM_reg,-0.10457408141849955,0.99993896484375,0.37142857142857144,0.0955104060218082,1.0,0.12361294235374157,False,False,False
MSC_normalize,Ridge_reg,LGBM_reg,-0.048857802862004106,0.96875,0.8999999999999998,0.01869303673424937,1.0,0.031711401602744466,False,True,False
MSC_savgol,CNN_reg,LGBM_reg,-0.03654215703377249,0.8782501220703125,0.9264705882352943,4.6649411618191676e-08,1.0,4.4316941037282096e-07,False,True,False
MSC_savgol,PLS_reg,LGBM_reg,-0.09641383910338774,1.0,0.6713286713286714,0.008415728093446697,1.0,0.0173803080190747,False,True,False
MSC_savgol,Ridge_reg,LGBM_reg,-0.0966628576528849,0.9375,0.8999999999999998,0.01869303673424937,1.0,0.031711401602744466,False,True,False
MSC_simplescale,CNN_reg,LGBM_reg,-0.030635164873840763,0.9999732971191406,0.890608875128999,3.6387368527228606e-07,1.0,2.304533340057812e-06,False,True,False
MSC_simplescale,PLS_reg,LGBM_reg,-0.0998000158467273,0.99993896484375,0.5472527472527472,0.02141102468909867,1.0,0.036000837972820776,False,True,False
MSC_simplescale,Ridge_reg,LGBM_reg,-0.07173978001667905,0.9375,0.39999999999999997,0.3,1.0,0.32386363636363635,False,False,False
RNV,CNN_reg,LGBM_reg,-0.01781310557950915,0.9092674255371094,0.9484004127966976,1.0740179772132766e-09,1.0,1.200373033356015e-08,False,True,False
RNV,PLS_reg,LGBM_reg,-0.0684410526314531,0.9984207153320312,0.5441176470588236,0.011972479145128822,1.0,0.023451247810046143,False,True,False
RNV,Ridge_reg,LGBM_reg,-0.094203893392038,0.625,1.0,0.0,1.0,0.0,False,True,False
RNV_SNV,LGBM_reg,CNN_reg,0.03825832935994131,0.00140380859375,0.9752321981424149,3.294368593541296e-12,0.0140380859375,6.954778141920513e-11,True,True,True
RNV_SNV,PLS_reg,CNN_reg,-0.0226825848189649,0.9999847412109375,0.44705882352941173,0.04126846169768575,1.0,0.06078300560124258,False,False,False
RNV_gaussian,CNN_reg,LGBM_reg,0.026445067951796797,0.023956298828125,0.914285714285714,9.265560654463259e-07,0.09784698486328125,4.890157012077831e-06,False,True,False
RNV_gaussian,PLS_reg,LGBM_reg,-0.004256889746375701,0.7109375,0.4642857142857144,0.14696705380012584,1.0,0.17785821797467458,False,False,False
RNV_gaussian,Ridge_reg,LGBM_reg,-0.0007862778788528535,0.31103515625,0.7062937062937064,0.005122596970563927,0.927734375,0.011060152550081206,False,True,False
RNV_haar,CNN_reg,LGBM_reg,0.018152738500314153,0.00830078125,0.8065934065934066,0.00024555644808455277,0.04262563344594595,0.0008044090540700867,True,True,True
RNV_haar,PLS_reg,LGBM_reg,-0.0119893420039403,0.890625,0.6571428571428573,0.07808746355685119,1.0,0.10448322588592765,False,False,False
RNV_haar,Ridge_reg,LGBM_reg,-0.01501221309549,0.75390625,0.5393939393939393,0.0537965938912074,1.0,0.07627875253230901,False,False,False
RNV_savgol,CNN_reg,LGBM_reg,-0.026685607321667394,0.9631576538085938,0.9050567595459237,1.2279429736839006e-07,1.0,9.72121520833088e-07,False,True,False
RNV_savgol,PLS_reg,LGBM_reg,-0.07334993957364155,0.9979095458984375,0.6029411764705882,0.006712062698945672,1.0,0.01416991014221864,False,True,False
RNV_savgol,Ridge_reg,LGBM_reg,-0.0515144909962348,0.5625,0.39999999999999997,0.3,1.0,0.32386363636363635,False,False,False
RNV_simplescale,LGBM_reg,CNN_reg,0.0217240481914159,0.0052032470703125,0.8844169246646028,5.539604995388425e-07,0.03439015355603448,3.189469542799396e-06,True,True,True
RNV_simplescale,PLS_reg,CNN_reg,-0.0293702146211614,0.99981689453125,0.5604395604395604,0.018552238502037164,1.0,0.031711401602744466,False,True,False
RNV_simplescale,Ridge_reg,CNN_reg,-0.06571067042591489,1.0,0.7999999999999999,0.10000000000000003,1.0,0.12582781456953646,False,False,False
SNV,CNN_reg,LGBM_reg,-0.03333648734761615,0.989593505859375,0.954592363261094,3.939207627944244e-10,1.0,5.757303456226202e-09,False,True,False
SNV,PLS_reg,LGBM_reg,-0.0770674757862313,0.99664306640625,0.24642857142857136,0.18797525798690262,1.0,0.220464808750071,False,False,False
SNV,Ridge_reg,LGBM_reg,-0.0970248352677844,0.78125,-0.19999999999999998,0.6264699609476689,1.0,0.6399424332261134,False,False,False
SNV_gaussian,CNN_reg,LGBM_reg,0.0190494943194321,0.080078125,0.8303030303030302,0.0014701135116397532,0.2766335227272727,0.003936277883960595,False,True,False
SNV_gaussian,PLS_reg,LGBM_reg,-0.00019398082355059996,0.40625,0.6,0.14237848993264687,1.0,0.17452847153034134,False,False,False
SNV_gaussian,Ridge_reg,LGBM_reg,-0.0016273725554498998,0.35009765625,0.790909090909091,0.001873041476698703,1.0,0.004745038407636714,False,True,False
SNV_haar,CNN_reg,LGBM_reg,0.012362653316187348,0.07421875,0.8333333333333335,0.005087770061728375,0.2611400462962963,0.011060152550081206,False,True,False
SNV_haar,PLS_reg,LGBM_reg,0.010153579531593598,0.234375,0.0,0.5,0.7421875,0.5135135135135135,False,False,False
SNV_haar,Ridge_reg,LGBM_reg,-0.005535755519127699,0.212890625,-0.48333333333333334,0.906265072392229,0.6974003232758621,0.906265072392229,False,False,False
baseline,LGBM_reg,CNN_reg,0.05437991735074316,0.004482269287109375,0.8513931888544891,3.71084381281098e-06,0.03154189498336227,1.6787150581763957e-05,True,True,True
baseline,PLS_reg,CNN_reg,-0.0206370913423112,0.9583740234375,0.38214285714285706,0.07991181499348365,1.0,0.10617653740392934,False,False,False
baseline,Ridge_reg,CNN_reg,-0.031184251652420503,0.6875,0.7999999999999999,0.05204401933091394,1.0,0.07434859904416277,False,False,False
baseline_MSC,CNN_reg,LGBM_reg,-0.016754121984821298,0.86773681640625,0.9174406604747163,4.1779017649105966e-08,1.0,4.1779017649105966e-07,False,True,False
baseline_MSC,PLS_reg,LGBM_reg,-0.0717589845788818,0.99462890625,0.5604395604395604,0.018552238502037164,1.0,0.031711401602744466,False,True,False
baseline_MSC,Ridge_reg,LGBM_reg,-0.04407324317699355,0.65625,0.942857142857143,0.0024023323615160277,1.0,0.005927833099844744,False,True,False
baseline_RNV,LGBM_reg,CNN_reg,0.0258702795630997,0.02158355712890625,0.9504643962848297,7.798825094922571e-10,0.09113057454427084,9.261104800220554e-09,False,True,False
