Model,Time_seconds,Data_source,Optimization_type,epochs_final,patience,n_trials_first,n_trials_next,epochs_first,epochs_next
LGBM_reg,,BeerOriginalExtract,progressive,10000,1000,500,90,30,10
NICON_reg,20.01304480922756,BeerOriginalExtract,progressive,10000,1000,500,90,30,10
PLS_reg,0.4239024134243236,BeerOriginalExtract,progressive,10000,1000,500,90,30,10
Ridge_reg,0.1292141255210427,BeerOriginalExtract,progressive,10000,1000,500,90,30,10
LGBM_reg,79.25869860018001,BeerOriginalExtract,progressive,10000,1000,500,90,30,10
NICON_reg,21.58876384550066,BeerOriginalExtract,progressive,10000,1000,500,90,30,10
PLS_reg,0.4310921360464657,BeerOriginalExtract,progressive,10000,1000,500,90,30,10
Ridge_reg,0.1358527961899252,BeerOriginalExtract,progressive,10000,1000,500,90,30,10
LGBM_reg,15.175633619813357,BeerOriginalExtract,progressive,10000,1000,500,90,30,10
NICON_reg,22.81834366784167,BeerOriginalExtract,progressive,10000,1000,500,90,30,10
PLS_reg,0.41862163122962504,BeerOriginalExtract,progressive,10000,1000,500,90,30,10
Ridge_reg,0.13476416994543636,BeerOriginalExtract,progressive,10000,1000,500,90,30,10
