Model,Time_seconds,Data_source,Optimization_type,epochs_final,patience,n_trials_first,n_trials_next,epochs_first,epochs_next
LGBM_reg,,YamProtein,progressive,10000,1000,500,90,30,10
NICON_reg,31.09261080447365,YamProtein,progressive,10000,1000,500,90,30,10
PLS_reg,5.042421411065495,YamProtein,progressive,10000,1000,500,90,30,10
Ridge_reg,2.541473413214964,YamProtein,progressive,10000,1000,500,90,30,10
LGBM_reg,411.2262659458553,YamProtein,progressive,10000,1000,500,90,30,10
NICON_reg,30.83566988215727,YamProtein,progressive,10000,1000,500,90,30,10
PLS_reg,6.949089495574727,YamProtein,progressive,10000,1000,500,90,30,10
Ridge_reg,2.478378344984616,YamProtein,progressive,10000,1000,500,90,30,10
LGBM_reg,327.5498310818392,YamProtein,progressive,10000,1000,500,90,30,10
NICON_reg,32.9125800483367,YamProtein,progressive,10000,1000,500,90,30,10
PLS_reg,6.562529385089874,YamProtein,progressive,10000,1000,500,90,30,10
Ridge_reg,2.464922140626346,YamProtein,progressive,10000,1000,500,90,30,10
LGBM_reg,329.7189660282696,YamProtein,progressive,10000,1000,500,90,30,10
NICON_reg,40.71088430460762,YamProtein,progressive,10000,1000,500,90,30,10
PLS_reg,6.804916483514449,YamProtein,progressive,10000,1000,500,90,30,10
Ridge_reg,2.501537757761338,YamProtein,progressive,10000,1000,500,90,30,10
