Model,Time_seconds,Data_source,Optimization_type,epochs_final,patience,n_trials_first,n_trials_next,epochs_first,epochs_next
LGBM_reg,,Digest_0.8,progressive,10000,1000,500,90,30,10
NICON_reg,55.494335402460656,Digest_0.8,progressive,10000,1000,500,90,30,10
PLS_reg,3.922942105461569,Digest_0.8,progressive,10000,1000,500,90,30,10
Ridge_reg,6.827948079389684,Digest_0.8,progressive,10000,1000,500,90,30,10
LGBM_reg,227.11456645236296,Digest_0.8,progressive,10000,1000,500,90,30,10
NICON_reg,59.72011613495209,Digest_0.8,progressive,10000,1000,500,90,30,10
PLS_reg,4.962719226584715,Digest_0.8,progressive,10000,1000,500,90,30,10
Ridge_reg,6.756802239838769,Digest_0.8,progressive,10000,1000,500,90,30,10
LGBM_reg,5.394237777766059,Digest_0.8,progressive,10000,1000,500,90,30,10
NICON_reg,61.814137500875134,Digest_0.8,progressive,10000,1000,500,90,30,10
PLS_reg,3.944358425981858,Digest_0.8,progressive,10000,1000,500,90,30,10
Ridge_reg,6.944101259988897,Digest_0.8,progressive,10000,1000,500,90,30,10
LGBM_reg,6.739408044254079,Digest_0.8,progressive,10000,1000,500,90,30,10
NICON_reg,57.4825232204269,Digest_0.8,progressive,10000,1000,500,90,30,10
PLS_reg,3.9190947273198296,Digest_0.8,progressive,10000,1000,500,90,30,10
Ridge_reg,6.8065974502002495,Digest_0.8,progressive,10000,1000,500,90,30,10
LGBM_reg,80.01918770986445,Digest_0.8,progressive,10000,1000,500,90,30,10
NICON_reg,68.31068690384136,Digest_0.8,progressive,10000,1000,500,90,30,10
PLS_reg,3.9357994268922245,Digest_0.8,progressive,10000,1000,500,90,30,10
Ridge_reg,6.858804117230808,Digest_0.8,progressive,10000,1000,500,90,30,10
