scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;StandardNormalVariate;None;12.913917118612886;[11.67359453482024, 11.43944846548368, 15.628708355534737]
None;ASLSBaseline;Gaussian;None;13.422392962481252;[14.046624888012165, 10.486469538874642, 15.734084460556952]
None;None;Gaussian;None;13.56121641368646;[14.702367064614533, 10.480782694050058, 15.500499482394789]
None;ASLSBaseline;SavitzkyGolay;None;13.82731008796903;[13.02131487680747, 12.502878989120113, 15.957736397979508]
StandardScaler;None;Gaussian;None;13.914655062147185;[14.489973495919273, 11.51971186327762, 15.734279827244666]
StandardScaler;ASLSBaseline;Gaussian;None;13.972109827607552;[15.98364547929271, 11.065374707044409, 14.867309296485537]
None;ASLSBaseline;Baseline;None;14.081375729218777;[13.54886652911052, 12.644858649821623, 16.050402008724195]
None;ASLSBaseline;Normalize;None;14.081375729218777;[13.54886652911052, 12.644858649821623, 16.050402008724195]
None;ASLSBaseline;None;None;14.081375729218777;[13.54886652911052, 12.644858649821623, 16.050402008724195]
None;ASLSBaseline;Normalize;PCA_features_0.25;15.382932478209236;[16.23839877611994, 14.850932512488725, 15.059466146019044]
None;None;StandardNormalVariate;None;15.694794763792379;[17.161051777492595, 13.26814680313651, 16.65518571074803]
None;None;None;PCA_features_0.25;15.854018374110519;[16.712676790166682, 14.686882838041408, 16.162495494123473]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;16.13414569023481;[16.498456381193957, 14.157913208556874, 17.7460674809536]
None;None;StandardNormalVariate;PCA_features_0.25;16.377887000353354;[17.175578783423088, 13.944153864659613, 18.013928352977363]
None;ASLSBaseline;None;PCA_features_0.25;16.407785401336117;[15.976275096498624, 16.178639714995086, 17.068441392514647]
StandardScaler;None;Normalize;PCA_features_0.25;16.429806508340786;[17.821082564669855, 14.591991877515655, 16.876345082836846]
StandardScaler;None;None;PCA_features_0.25;16.511207110856706;[18.03369990766491, 14.95504824608464, 16.544873178820566]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;16.68645106630611;[16.09920478220718, 16.13269614362084, 17.8274522730903]
None;ASLSBaseline;Baseline;PCA_features_0.25;16.767449402423882;[17.294848033008506, 16.041805644191534, 16.9656945300716]
None;None;SavitzkyGolay;PCA_features_0.25;16.851025079729883;[17.885974215300514, 15.81794353183813, 16.849157492051]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;16.858821330687103;[16.43507881501574, 16.443027068784108, 17.698358108261456]
None;None;Normalize;PCA_features_0.25;16.906434708363182;[17.799884452278967, 15.850024056069293, 17.069395616741293]
StandardScaler;None;Baseline;PCA_features_0.25;16.922141126525506;[18.260276145764962, 15.200384214743263, 17.30576301906829]
None;None;Baseline;PCA_features_0.25;17.049029167419537;[18.784879058907215, 14.678690194058426, 17.683518249292966]
StandardScaler;ASLSBaseline;Normalize;None;17.340698887004464;[17.242470455520223, 17.01110197070169, 17.768524234791474]
StandardScaler;ASLSBaseline;None;None;17.340698887004464;[17.242470455520223, 17.01110197070169, 17.768524234791474]
StandardScaler;ASLSBaseline;Baseline;None;17.340698887004464;[17.242470455520223, 17.01110197070169, 17.768524234791474]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;17.410942879435254;[19.940568506512175, 15.195366404840753, 17.09689372695284]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;17.772760458271968;[17.74434147944681, 17.352269046594532, 18.221670848774558]
None;None;Gaussian;PCA_features_0.25;18.7290323742631;[19.17548616700357, 17.84654484716333, 19.1650661086224]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;18.96597934535855;[19.296797305773204, 17.667947829181745, 19.9331929011207]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;19.222328017156745;[18.406274924937367, 18.659433889149174, 20.60127523738369]
None;ASLSBaseline;Gaussian;PCA_features_0.25;19.252905938181673;[19.455277686327918, 18.670348301357247, 19.633091826859854]
StandardScaler;None;SavitzkyGolay;None;19.288752286824785;[19.384316776126735, 18.896993666318906, 19.584946418028704]
None;None;SavitzkyGolay;None;19.309770680182336;[19.384622021548143, 18.95974360097015, 19.584946418028704]
StandardScaler;None;StandardNormalVariate;None;19.48159947021631;[19.68769279485181, 17.916145324147582, 20.84096029164954]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;19.544952560030737;[21.181450355351345, 17.819950037394708, 19.633457287346157]
None;None;None;None;19.550884620399884;[19.9673642434494, 19.07398328088104, 19.611306336869216]
None;None;Baseline;None;19.550884620399884;[19.9673642434494, 19.07398328088104, 19.611306336869216]
None;None;Normalize;None;19.550884620399884;[19.9673642434494, 19.07398328088104, 19.611306336869216]
StandardScaler;None;None;None;19.550884620399884;[19.9673642434494, 19.07398328088104, 19.611306336869216]
StandardScaler;None;Baseline;None;19.550884620399884;[19.9673642434494, 19.07398328088104, 19.611306336869216]
StandardScaler;None;Normalize;None;19.550884620399884;[19.9673642434494, 19.07398328088104, 19.611306336869216]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;21.04856638015815;[21.258063139901957, 19.69902995281997, 22.188606047752526]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;21.19278999336045;[21.264304989567474, 20.36698951646339, 21.947075474050482]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;21.69063362437038;[22.37773978246669, 20.557404853180707, 22.13675623746375]
StandardScaler;None;Gaussian;PCA_features_0.25;25.508852158527798;[25.068009135179164, 26.240073549948626, 25.218473790455604]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;26.329183343901036;[27.9560226945731, 24.33957426802534, 26.691953069104677]
