scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;StandardNormalVariate;None;1.342276833339226;[1.3460333422620545, 1.3837680854179293, 1.2970290723376945]
None;ASLSBaseline;SavitzkyGolay;None;1.3838639732855222;[1.3477183070512528, 1.4021753911792152, 1.4016982216260983]
None;None;StandardNormalVariate;None;1.3980966185165977;[1.5002137658719426, 1.4682862823469431, 1.225789807330908]
None;ASLSBaseline;Baseline;None;1.4412978304017472;[1.3479266253064093, 1.5639050600287632, 1.4120618058700691]
None;ASLSBaseline;None;None;1.443422024819773;[1.3479266253064093, 1.5639050600287632, 1.4184343891241469]
None;ASLSBaseline;Normalize;None;1.443422024819773;[1.3479266253064093, 1.5639050600287632, 1.4184343891241469]
None;ASLSBaseline;Gaussian;None;1.5353268451975577;[1.3601437362175, 1.6356448983607934, 1.6101919010143801]
None;None;Gaussian;None;1.565173496353526;[1.3955113128604062, 1.6776464314199202, 1.6223627447802513]
StandardScaler;None;Gaussian;None;1.6428767465746763;[1.5093719417088154, 1.7714716936431036, 1.6477866043721103]
None;ASLSBaseline;Baseline;PCA_features_0.25;1.6985824032817611;[1.518643618219754, 1.74918014953306, 1.8279234420924697]
None;ASLSBaseline;None;PCA_features_0.25;1.7046021022481017;[1.5284432848262077, 1.7456619655341992, 1.8397010563838985]
None;None;SavitzkyGolay;None;1.7054074275727122;[1.6009011467988725, 1.819180511492847, 1.696140624426417]
StandardScaler;None;SavitzkyGolay;None;1.705558991276176;[1.6086225301912502, 1.811271390628484, 1.6967830530087937]
None;None;Normalize;None;1.7121528393699903;[1.6151027495457932, 1.8441941458441713, 1.6771616227200064]
None;None;Baseline;None;1.7121528393699903;[1.6151027495457932, 1.8441941458441713, 1.6771616227200064]
StandardScaler;None;None;None;1.7121528393699903;[1.6151027495457932, 1.8441941458441713, 1.6771616227200064]
StandardScaler;None;Baseline;None;1.7121528393699903;[1.6151027495457932, 1.8441941458441713, 1.6771616227200064]
None;None;None;None;1.7121528393699903;[1.6151027495457932, 1.8441941458441713, 1.6771616227200064]
StandardScaler;None;Normalize;None;1.7121528393699903;[1.6151027495457932, 1.8441941458441713, 1.6771616227200064]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;1.722441761456384;[1.5475495136665922, 1.7568470612239397, 1.8629287094786204]
None;None;StandardNormalVariate;PCA_features_0.25;1.7228441675373685;[1.7019559954388566, 1.6525074571306082, 1.8140690500426415]
