scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;StandardNormalVariate;None;4.034341582414411;[4.12946696143171, 3.5019887091865045, 4.47156907662502]
None;ASLSBaseline;SavitzkyGolay;None;4.165343088593466;[4.110197251378348, 4.0587935941656195, 4.327038420236432]
None;ASLSBaseline;Baseline;None;4.312170429886316;[4.397858804391976, 3.997164006408943, 4.541488478858028]
None;ASLSBaseline;None;None;4.312170429886316;[4.397858804391976, 3.997164006408943, 4.541488478858028]
None;ASLSBaseline;Normalize;None;4.312170429886316;[4.397858804391976, 3.997164006408943, 4.541488478858028]
None;ASLSBaseline;Gaussian;None;4.325406239497266;[4.431714377118127, 4.30695371514937, 4.237550626224301]
None;None;Gaussian;None;4.385765467974095;[4.310107708031301, 4.271441962666628, 4.5757467332243555]
None;None;StandardNormalVariate;None;4.708841236591991;[4.328069160462874, 4.5149900079201375, 5.283464541392962]
StandardScaler;None;Gaussian;None;5.080867504180815;[4.961517380390016, 5.272997341136399, 5.008087791016029]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;5.154433159256997;[5.0384870394068715, 4.848081394348834, 5.576731044015286]
None;ASLSBaseline;Baseline;PCA_features_0.25;5.239280382409175;[5.373678777478073, 4.6907001203423215, 5.6534622494071325]
None;None;None;PCA_features_0.25;5.297315998645112;[5.111251013850095, 5.199575942521125, 5.581121039564117]
None;ASLSBaseline;Normalize;PCA_features_0.25;5.321067168150159;[5.310545801404692, 5.19088676782741, 5.461768935218373]
None;ASLSBaseline;None;PCA_features_0.25;5.323244759867461;[5.664788671190694, 4.678752796740769, 5.626192811670922]
None;None;Normalize;PCA_features_0.25;5.323865126116561;[5.341684238471745, 4.964364094910777, 5.6655470449671625]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;5.3478698424691276;[5.540033946158838, 4.829115629542248, 5.6744599517062975]
StandardScaler;ASLSBaseline;Gaussian;None;5.355726461810747;[5.027069348124587, 5.216774722563882, 5.823335314743772]
StandardScaler;None;Normalize;PCA_features_0.25;5.379669040613773;[5.247457690165641, 5.045417765834788, 5.84613166584089]
StandardScaler;None;None;PCA_features_0.25;5.387296502991319;[5.22245758212036, 5.059086942640492, 5.880344984213106]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;5.440706154913577;[5.331377025133762, 5.298625175106675, 5.692116264500293]
StandardScaler;None;Baseline;PCA_features_0.25;5.524978681209535;[5.635364078384757, 5.148910130270174, 5.790661834973673]
None;None;StandardNormalVariate;PCA_features_0.25;5.542173511226065;[5.691863910205035, 5.020735273376065, 5.913921350097098]
StandardScaler;ASLSBaseline;None;None;5.5663289770813185;[5.1875067731609805, 5.368054215434476, 6.143425942648498]
StandardScaler;ASLSBaseline;Baseline;None;5.5663289770813185;[5.1875067731609805, 5.368054215434476, 6.143425942648498]
StandardScaler;ASLSBaseline;Normalize;None;5.5663289770813185;[5.1875067731609805, 5.368054215434476, 6.143425942648498]
None;None;Baseline;PCA_features_0.25;5.614018897996925;[5.025227517258068, 5.100171405720304, 6.716657771012407]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;5.712344932784679;[5.241902459167633, 5.47018503472065, 6.4249473044657535]
None;None;SavitzkyGolay;PCA_features_0.25;5.732820489917445;[5.170277608834471, 5.419052155059454, 6.609131705858409]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;5.831745426399752;[5.847553304148652, 5.181324830171044, 6.46635814487956]
None;None;None;None;5.867834246620769;[5.684853099340154, 5.253185660546913, 6.665463979975238]
None;None;Baseline;None;5.867835646473831;[5.684853099340154, 5.253185660546913, 6.665468179534426]
None;None;Normalize;None;5.867835646473831;[5.684853099340154, 5.253185660546913, 6.665468179534426]
StandardScaler;None;Normalize;None;5.867835646473831;[5.684853099340154, 5.253185660546913, 6.665468179534426]
StandardScaler;None;Baseline;None;5.867835646473831;[5.684853099340154, 5.253185660546913, 6.665468179534426]
StandardScaler;None;None;None;5.867835646473831;[5.684853099340154, 5.253185660546913, 6.665468179534426]
None;None;SavitzkyGolay;None;5.905368039733994;[5.630910297054747, 5.32189851142019, 6.763295310727044]
StandardScaler;None;SavitzkyGolay;None;5.938903767394972;[5.630910297054747, 5.32189851142019, 6.863902493709978]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;6.3590350028858955;[6.19970850991259, 5.984247200411411, 6.893149298333685]
None;None;Gaussian;PCA_features_0.25;6.3837665239678145;[6.370985318407201, 6.294725051009823, 6.485589202486419]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;6.3980766890244345;[6.5499519648172235, 5.641399689577765, 7.002878412678313]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;6.444827077807825;[6.274370127187249, 5.99425208761747, 7.065859018618757]
StandardScaler;None;StandardNormalVariate;None;6.527646452105397;[6.355326869544652, 6.050224552709319, 7.177387934062222]
None;ASLSBaseline;Gaussian;PCA_features_0.25;6.5481679352064335;[6.435061943052114, 6.410084290561782, 6.799357572005406]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;6.712357532793026;[6.95924831431344, 6.045260629655276, 7.132563654410361]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;6.958289842551623;[6.986967817296159, 6.5262211100265, 7.361680600332211]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;7.361675847009518;[7.30296596131099, 7.183193035763876, 7.598868543953687]
StandardScaler;None;Gaussian;PCA_features_0.25;9.113670177067721;[9.191942771990023, 9.080055942505572, 9.069011816707569]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;9.698104774317935;[9.981184002265035, 9.790124510745974, 9.323005809942797]
