scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;None;None;2.4642799154301387;[1.945930258497135, 2.6762355523690875, 2.7706739354241936]
None;ASLSBaseline;Baseline;None;2.4642799154301387;[1.945930258497135, 2.6762355523690875, 2.7706739354241936]
None;ASLSBaseline;Normalize;None;2.4642799154301387;[1.945930258497135, 2.6762355523690875, 2.7706739354241936]
None;ASLSBaseline;SavitzkyGolay;None;2.4913036793319905;[1.931061607110791, 2.7621370179898115, 2.780712412895369]
None;None;StandardNormalVariate;None;2.495086741131218;[2.393298845635137, 2.357759987948927, 2.734201389809589]
None;ASLSBaseline;StandardNormalVariate;None;2.550246869360505;[2.1172983898951294, 2.568426249689497, 2.9650159684968878]
None;ASLSBaseline;Gaussian;None;2.78765141112909;[2.736292566070551, 2.7745675814961768, 2.8520940858205437]
None;None;Gaussian;None;2.804603427338158;[2.567732881759578, 2.7890357855824623, 3.057041614672433]
StandardScaler;None;Gaussian;None;3.4903489600023767;[3.3691427909163623, 3.6249996685072476, 3.476904420583519]
None;None;Normalize;PCA_features_0.25;3.5478968709682808;[3.4775444660698054, 3.627901817350125, 3.5382443294849133]
None;ASLSBaseline;None;PCA_features_0.25;3.579101927484263;[3.4701210327355576, 3.7501613222444727, 3.5170234274727576]
StandardScaler;None;Baseline;PCA_features_0.25;3.607050540975433;[3.477825876733956, 3.548802589083727, 3.794523157108617]
None;ASLSBaseline;Baseline;PCA_features_0.25;3.619662936063699;[3.509215347899687, 3.8355343086958626, 3.5142391515955476]
StandardScaler;None;None;PCA_features_0.25;3.6365343311566254;[3.4909029103081384, 3.564093785820923, 3.854606297340815]
None;None;None;PCA_features_0.25;3.6440230234584874;[3.64252195872836, 3.6091109336010265, 3.680436178046077]
None;ASLSBaseline;Normalize;PCA_features_0.25;3.6750512103241095;[3.264753419578658, 3.9791656692376756, 3.7812345421559943]
None;None;SavitzkyGolay;PCA_features_0.25;3.699980583342437;[3.51921211541846, 3.6592002354511313, 3.9215293991577194]
StandardScaler;None;Baseline;None;3.774642450340419;[3.601480895050598, 3.8716111841949523, 3.850835271775706]
None;None;Normalize;None;3.774642450340419;[3.601480895050598, 3.8716111841949523, 3.850835271775706]
StandardScaler;None;None;None;3.774642450340419;[3.601480895050598, 3.8716111841949523, 3.850835271775706]
None;None;Baseline;None;3.774642450340419;[3.601480895050598, 3.8716111841949523, 3.850835271775706]
None;None;None;None;3.774642450340419;[3.601480895050598, 3.8716111841949523, 3.850835271775706]
StandardScaler;None;Normalize;None;3.774642450340419;[3.601480895050598, 3.8716111841949523, 3.850835271775706]
StandardScaler;None;Normalize;PCA_features_0.25;3.7850462379622627;[3.5564363229834264, 3.8442955339968288, 3.9544068569065334]
StandardScaler;None;SavitzkyGolay;None;3.792940317276497;[3.6874652313506884, 3.7772981568098607, 3.9140575636689423]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;3.800731220928338;[3.67742283881599, 3.917996297238085, 3.806774526730941]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;3.8043772945599064;[3.4231054950590036, 3.70722211255525, 4.282804276065466]
None;None;StandardNormalVariate;PCA_features_0.25;3.8098945980376264;[3.285857918723511, 3.7613704061071296, 4.382455469282239]
None;None;SavitzkyGolay;None;3.810956185743476;[3.735991910942808, 3.782819082618678, 3.9140575636689423]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;3.9261519113383;[4.101604426955008, 3.9706807654428005, 3.7061705416170914]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;3.997017105408949;[3.5224846808168677, 4.181034006561287, 4.287532628848693]
StandardScaler;ASLSBaseline;None;None;4.044148915873183;[3.9388435509721176, 4.163348758233652, 4.030254438413781]
StandardScaler;ASLSBaseline;Baseline;None;4.044148915873183;[3.9388435509721176, 4.163348758233652, 4.030254438413781]
StandardScaler;ASLSBaseline;Normalize;None;4.044148915873183;[3.9388435509721176, 4.163348758233652, 4.030254438413781]
None;ASLSBaseline;Gaussian;PCA_features_0.25;4.093894322393649;[3.8504988065133903, 4.21421413942188, 4.216970021245677]
None;None;Gaussian;PCA_features_0.25;4.113171867688245;[4.013226048213107, 4.196597025680705, 4.129692529170923]
None;None;Baseline;PCA_features_0.25;4.267080970269912;[3.733242444320221, 5.280893429800469, 3.7871070366890462]
StandardScaler;ASLSBaseline;Gaussian;None;4.410482678318098;[4.207686839196101, 4.701012992652134, 4.32274820310606]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;4.554874424758553;[3.8357806636372387, 3.620309302612157, 6.208533308026263]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;5.096188614431795;[5.2805894896802865, 4.667947849539273, 5.340028504075824]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;5.106480427487903;[5.358784304586864, 4.836949751010695, 5.123707226866151]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;5.1678412188053935;[5.372075222269114, 4.917560639201235, 5.213887794945834]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;5.490572175508064;[5.88692904855037, 5.165578631889171, 5.4192088460846515]
StandardScaler;None;StandardNormalVariate;None;5.622045803473319;[5.365643818845058, 5.380406147302534, 6.120087444272365]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;5.69326566389444;[5.460210160256703, 5.83105700252652, 5.788529828900098]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;5.861986817292714;[5.903911795154751, 5.935659257256752, 5.746389399466641]
