scaler;baseline;simple;pca;mean_score;fold_scores
None;None;None;None;3.1020323682243656;[2.9177062384507755, 3.3557088120015766, 3.032682054220744]
None;None;Baseline;None;3.1020323682243656;[2.9177062384507755, 3.3557088120015766, 3.032682054220744]
None;None;Normalize;None;3.1020323682243656;[2.9177062384507755, 3.3557088120015766, 3.032682054220744]
StandardScaler;None;Baseline;None;3.1020323682243656;[2.9177062384507755, 3.3557088120015766, 3.032682054220744]
StandardScaler;None;None;None;3.1020323682243656;[2.9177062384507755, 3.3557088120015766, 3.032682054220744]
StandardScaler;None;Normalize;None;3.1020323682243656;[2.9177062384507755, 3.3557088120015766, 3.032682054220744]
StandardScaler;None;SavitzkyGolay;None;3.120563952666713;[3.0028204992205754, 3.3124327188088123, 3.046438639970751]
None;None;SavitzkyGolay;None;3.1210891922161124;[2.992765046331872, 3.287126475857107, 3.0833760544593583]
None;None;Gaussian;None;3.2402283610532536;[2.9823588597379116, 3.1056225498344494, 3.6327036735874]
None;ASLSBaseline;Gaussian;None;3.2669584431991123;[3.1423088914080517, 3.1570958682471253, 3.50147056994216]
StandardScaler;None;Gaussian;None;3.268905463621177;[3.04275932499889, 3.1776128611938907, 3.586344204670752]
StandardScaler;None;Baseline;PCA_features_0.25;3.2913583264102733;[2.913530879680324, 3.4536838762310063, 3.5068602233194897]
StandardScaler;ASLSBaseline;Gaussian;None;3.300386642212293;[3.0323772376827978, 3.2846084136905582, 3.584174275263524]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;3.3084881845424765;[2.9368167409174437, 3.476903641146745, 3.5117441715632407]
StandardScaler;None;None;PCA_features_0.25;3.3190973599419604;[2.931514918300708, 3.501787345497061, 3.5239898160281125]
StandardScaler;None;Normalize;PCA_features_0.25;3.3193621377400393;[2.9146965920152224, 3.5172506402768446, 3.5261391809280505]
None;None;Normalize;PCA_features_0.25;3.324161785177539;[2.7954415309000575, 3.353724469699989, 3.823319354932571]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;3.3391847208533414;[3.1089006871167344, 3.288301982540742, 3.6203514929025475]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;3.3472273314123395;[2.9536299325518787, 3.306854085592009, 3.7811979760931305]
None;ASLSBaseline;StandardNormalVariate;None;3.3514722183249774;[3.0736979444548598, 3.222128555947896, 3.7585901545721776]
StandardScaler;None;StandardNormalVariate;None;3.3566157660115095;[3.3580824039923876, 3.257518704055795, 3.4542461899863453]
None;ASLSBaseline;Gaussian;PCA_features_0.25;3.357391941979161;[3.0072275997257822, 3.300665112180975, 3.7642831140307265]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;3.3701828602781005;[2.9928693646130307, 3.4828940529774846, 3.634785163243786]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;3.3940138238022652;[2.9172824581292796, 3.577751972181382, 3.6870070410961344]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;3.4311410160953657;[2.9104075243183827, 3.655207365428003, 3.7278081585397116]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;3.434195445804628;[3.183627072422086, 3.4772527098633192, 3.641706555128479]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;3.4342629922819157;[2.8930880786754725, 3.6824727045089483, 3.7272281936613267]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;3.449604331254426;[3.257740214455444, 3.333833607563107, 3.757239171744726]
StandardScaler;None;Gaussian;PCA_features_0.25;3.4572352015419803;[3.0811199143402863, 3.405229943800666, 3.8853557464849886]
StandardScaler;ASLSBaseline;Normalize;None;3.467882444515162;[3.2793512234075552, 3.481298065440145, 3.642998044697785]
StandardScaler;ASLSBaseline;Baseline;None;3.467882444515162;[3.2793512234075552, 3.481298065440145, 3.642998044697785]
