scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;3.5024617578444857;[3.5191268695210645, 3.3971648065194215, 3.591093597492971]
None;None;Baseline;PCA_features_0.25;3.534403419486692;[3.3374253704349144, 3.636594576496396, 3.6291903115287645]
None;None;None;PCA_features_0.25;3.5443529412156782;[3.3071412187294933, 3.6466350141511774, 3.6792825907663644]
None;None;StandardNormalVariate;PCA_features_0.25;3.5673722532313175;[3.5288178262731424, 3.4154859696699407, 3.7578129637508684]
StandardScaler;None;Gaussian;None;3.576395428524021;[3.590129828947465, 3.523760820188057, 3.6152956364365405]
None;None;Gaussian;None;3.582907059624414;[3.722648693576736, 3.6209228404112657, 3.4051496448852405]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;3.584224780580613;[3.5090508325478833, 3.5241925607192486, 3.719430948474708]
StandardScaler;ASLSBaseline;Gaussian;None;3.5881164105556214;[3.6738394493897677, 3.6295382720431992, 3.460971510233897]
None;None;SavitzkyGolay;PCA_features_0.25;3.6145433000395273;[3.391974505087394, 3.6525476135752073, 3.799107781455982]
None;ASLSBaseline;Normalize;PCA_features_0.25;3.6211172386879134;[3.496122309192767, 3.6761470962189247, 3.6910823106520483]
None;ASLSBaseline;None;PCA_features_0.25;3.635689453740144;[3.4649450337637986, 3.6108254105681232, 3.831297916888511]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;3.6595829336793972;[3.686424818340039, 3.563213049604208, 3.7291109330939447]
StandardScaler;None;Gaussian;PCA_features_0.25;3.665921001849963;[3.6636818504323987, 3.580302666794978, 3.7537784883225127]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;3.69906748656638;[3.545165030034112, 3.7253541402348396, 3.8266832894301896]
None;ASLSBaseline;Baseline;PCA_features_0.25;3.71881733701269;[3.6087728219873227, 3.6942316378621873, 3.8534475511885597]
None;ASLSBaseline;Gaussian;None;3.7205776482201887;[3.9262131624718584, 3.6675844731732563, 3.5679353090154513]
StandardScaler;None;None;PCA_features_0.25;3.7211538577923933;[3.722079605935996, 3.6479313794514012, 3.7934505879897826]
None;None;Normalize;PCA_features_0.25;3.7218551816103544;[3.612027828321269, 3.608186259781463, 3.945351456728331]
StandardScaler;None;Baseline;PCA_features_0.25;3.726158119895596;[3.65608470654166, 3.712597999841398, 3.8097916533037295]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;3.7307988658721993;[3.577846106317669, 3.732865585750908, 3.8816849055480214]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;3.746931420054358;[3.731744130422861, 3.700890155828533, 3.8081599739116796]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;3.753105204103093;[3.6608843818607655, 3.667719209229286, 3.9307120212192266]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;3.7718256747587606;[3.6491078625248874, 3.6731023214426566, 3.993266840308738]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;3.7851318916058787;[3.584076774282043, 3.8082073317743452, 3.963111568761247]
StandardScaler;None;Normalize;PCA_features_0.25;3.7903406257821417;[3.7466445842160816, 3.710398658110899, 3.913978635019446]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;3.7997459744144275;[3.801762779252875, 3.740385229945332, 3.857089914045074]
None;None;Gaussian;PCA_features_0.25;3.8224382016086853;[3.8015025682567503, 3.80821676958862, 3.8575952669806854]
None;ASLSBaseline;Gaussian;PCA_features_0.25;3.861102567327768;[3.7902332544083115, 3.920938389550693, 3.8721360580243003]
None;ASLSBaseline;None;None;3.917958535721604;[3.5736210051586563, 4.293448627052308, 3.8868059749538486]
