scaler;baseline;simple;pca;mean_score;fold_scores
None;None;None;PCA_features_0.25;3.3688199578340297;[3.3777584091179187, 3.3500311665000106, 3.378670297884159]
None;None;Baseline;PCA_features_0.25;3.3688199578340297;[3.3777584091179187, 3.3500311665000106, 3.378670297884159]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;3.41249096065326;[3.5471926536981178, 3.4405643650664, 3.2497158631952625]
None;None;StandardNormalVariate;None;3.4457983198530298;[3.8363101771808226, 3.3734752308122515, 3.127609551566016]
StandardScaler;None;None;PCA_features_0.25;3.4643122415946324;[3.4033718260796904, 3.408703772771298, 3.580861125932909]
StandardScaler;None;Baseline;PCA_features_0.25;3.4643122415946324;[3.4033718260796904, 3.408703772771298, 3.580861125932909]
StandardScaler;None;Normalize;PCA_features_0.25;3.4643122415946324;[3.4033718260796904, 3.408703772771298, 3.580861125932909]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;3.4666421023856984;[3.4335210666522498, 3.431922460193529, 3.534482780311316]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;3.4666421023856984;[3.4335210666522498, 3.431922460193529, 3.534482780311316]
None;ASLSBaseline;None;PCA_features_0.25;3.479302264693582;[3.5089407440853204, 3.515478600699598, 3.413487449295827]
None;ASLSBaseline;Baseline;PCA_features_0.25;3.479302264693582;[3.5089407440853204, 3.515478600699598, 3.413487449295827]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;3.488400445523505;[3.7143054390753982, 3.4437594503773927, 3.307136447117725]
None;None;SavitzkyGolay;PCA_features_0.25;3.4893993902577;[3.7821103026047402, 3.420354738971541, 3.2657331291968177]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;3.527666280250351;[3.7448961371735154, 3.402647083199446, 3.435455620378092]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;3.52840667917933;[3.5000631463652443, 3.594323340442329, 3.490833550730416]
None;None;Normalize;PCA_features_0.25;3.5404808945359267;[3.6492382394760616, 3.6065518399421586, 3.3656526041895596]
None;ASLSBaseline;Gaussian;PCA_features_0.25;3.541170100874968;[3.705007652603341, 3.3060603520495757, 3.6124422979719877]
None;None;StandardNormalVariate;PCA_features_0.25;3.541886394170812;[3.5219705490363493, 3.505464492801096, 3.59822414067499]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;3.5543733021046577;[3.6580651853170445, 3.5429181256938667, 3.4621365953030616]
None;None;Gaussian;PCA_features_0.25;3.588131281550872;[3.628883514715131, 3.379613729584581, 3.755896600352904]
None;ASLSBaseline;SavitzkyGolay;None;3.603791679779842;[3.718471836830884, 3.6811791247078958, 3.4117240778007463]
None;ASLSBaseline;Normalize;PCA_features_0.25;3.6081774957910646;[3.600538592831485, 3.5333551053875105, 3.690638789154197]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;3.612052329525048;[3.5862441102602802, 3.6020749949761903, 3.6478378833386746]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;3.644773462458623;[3.7167846426016355, 3.505218614882744, 3.712317129891489]
None;ASLSBaseline;Gaussian;None;3.6609939896092007;[3.8604461756281845, 3.57723416610984, 3.545301627089578]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;3.682108736175637;[3.4321441108987067, 3.7295696258700572, 3.884612471758147]
StandardScaler;None;Gaussian;PCA_features_0.25;3.6860238360440096;[3.8334320410988902, 3.5078198297845677, 3.7168196372485713]
None;ASLSBaseline;Baseline;None;3.692293652178996;[3.8020849551812463, 3.819725172799851, 3.4550708285558898]
None;ASLSBaseline;Normalize;None;3.692293652178996;[3.8020849551812463, 3.819725172799851, 3.4550708285558898]
None;ASLSBaseline;None;None;3.692293652178996;[3.8020849551812463, 3.819725172799851, 3.4550708285558898]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;3.728459742003926;[3.6185483120662307, 3.8650628663356947, 3.701768047609851]
None;None;Gaussian;None;3.7305596788741524;[3.9182637061398204, 3.8051442780288776, 3.4682710524537583]
None;ASLSBaseline;StandardNormalVariate;None;3.815766790568428;[4.382305622120958, 3.6322238640635254, 3.4327708855208017]
StandardScaler;None;Gaussian;None;3.818563841817552;[3.8710925693076788, 3.8055346306060667, 3.77906432553891]
StandardScaler;ASLSBaseline;None;None;3.8263370247500053;[3.9785964143021135, 3.585187070262428, 3.915227589685474]
StandardScaler;ASLSBaseline;Baseline;None;3.8263370247500053;[3.9785964143021135, 3.585187070262428, 3.915227589685474]
StandardScaler;ASLSBaseline;Normalize;None;3.8263370247500053;[3.9785964143021135, 3.585187070262428, 3.915227589685474]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;3.872390549044079;[4.112868822033005, 3.6262064042957642, 3.878096420803468]
StandardScaler;ASLSBaseline;Gaussian;None;3.9275573339260057;[3.9543946931111957, 3.7146272872469708, 4.1136500214198515]
StandardScaler;None;StandardNormalVariate;None;4.0318860558776795;[4.222906782591346, 3.7529534938299505, 4.119797891211741]
None;None;None;None;4.210755309385108;[4.568288500782014, 3.6311200534765633, 4.432857373896745]
