scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;StandardNormalVariate;None;0.9592681033379913;[0.8994345714748408, 0.9044281760730529, 1.0739415624660802]
None;ASLSBaseline;SavitzkyGolay;None;1.0297198576561994;[1.0699234535961502, 1.0615941445410488, 0.9576419748313992]
None;ASLSBaseline;Baseline;None;1.0509787665165133;[1.1146265025803823, 1.0577632187219321, 0.9805465782472256]
None;ASLSBaseline;None;None;1.0509787665165133;[1.1146265025803823, 1.0577632187219321, 0.9805465782472256]
None;ASLSBaseline;Normalize;None;1.0509787665165133;[1.1146265025803823, 1.0577632187219321, 0.9805465782472256]
None;None;StandardNormalVariate;None;1.1183088744674992;[1.0773367876810434, 0.9867946425621874, 1.2907951931592667]
None;ASLSBaseline;Gaussian;None;1.2094264407979993;[1.1068040976209903, 1.2869648235069064, 1.234510401266101]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;1.2245856249416;[1.2764452083416677, 1.1931673304782338, 1.2041443360048991]
None;None;Gaussian;None;1.2307375586045177;[1.1972206757981418, 1.2833737470302669, 1.2116182529851445]
StandardScaler;None;StandardNormalVariate;None;1.3767101368571588;[1.5149127943743397, 1.4660847924185343, 1.1491328237786025]
StandardScaler;ASLSBaseline;None;None;1.3954791169806942;[1.3720685067217022, 1.5871712009925605, 1.2271976432278198]
StandardScaler;ASLSBaseline;Baseline;None;1.3954791169806942;[1.3720685067217022, 1.5871712009925605, 1.2271976432278198]
StandardScaler;ASLSBaseline;Normalize;None;1.3954791169806942;[1.3720685067217022, 1.5871712009925605, 1.2271976432278198]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;1.4108047261246632;[1.3561841274911577, 1.630013005774513, 1.246217045108319]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;1.4520842756605228;[1.2911776868815146, 1.4196115161057903, 1.645463623994263]
StandardScaler;ASLSBaseline;Gaussian;None;1.4787185499341096;[1.4080956761740158, 1.4824840747449535, 1.5455758988833594]
None;None;StandardNormalVariate;PCA_features_0.25;1.4841835432639388;[1.4130666186180574, 1.4689137957632141, 1.5705702154105448]
None;None;None;PCA_features_0.25;1.502543009198061;[1.1970654177468294, 1.6841263971374625, 1.6264372127098912]
None;None;Baseline;PCA_features_0.25;1.5082757932600448;[1.2514042768856157, 1.600366964571351, 1.673056138323168]
None;None;SavitzkyGolay;PCA_features_0.25;1.510044709175049;[1.227385026096459, 1.688674636686428, 1.6140744647422605]
StandardScaler;None;Gaussian;None;1.51407093638941;[1.3425617485918813, 1.5858759632423378, 1.6137750973340115]
None;ASLSBaseline;None;PCA_features_0.25;1.5277338431605223;[1.457560262420937, 1.5335464894268607, 1.5920947776337695]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;1.5433564472597496;[1.2828568492328938, 1.5982176233005925, 1.748994869245763]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;1.5539595617176636;[1.7020850288662164, 1.7571495185464037, 1.202644137740371]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;1.5611677832535218;[1.6089586639867453, 1.512571517324272, 1.5619731684495484]
None;None;Normalize;PCA_features_0.25;1.5630675140762937;[1.4974932902897848, 1.6317801538838503, 1.559929098055246]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;1.579112324659074;[1.4923947235954524, 1.617825021716118, 1.627117228665651]
StandardScaler;None;Normalize;PCA_features_0.25;1.5804699740898152;[1.4016170649234414, 1.6597218992852745, 1.68007095806073]
StandardScaler;None;Baseline;PCA_features_0.25;1.59242965824721;[1.3194592260527458, 1.715716874715621, 1.7421128739732634]
None;ASLSBaseline;Normalize;PCA_features_0.25;1.6381197581411575;[1.4961603542512456, 1.7199082751221317, 1.6982906450500952]
None;None;None;None;1.6434233276968628;[1.7589804485015494, 1.6205554163901346, 1.5507341181989045]
StandardScaler;None;None;None;1.6434233276968628;[1.7589804485015494, 1.6205554163901346, 1.5507341181989045]
None;None;Normalize;None;1.6434233276968628;[1.7589804485015494, 1.6205554163901346, 1.5507341181989045]
None;None;Baseline;None;1.6434233276968628;[1.7589804485015494, 1.6205554163901346, 1.5507341181989045]
StandardScaler;None;Normalize;None;1.6434233276968628;[1.7589804485015494, 1.6205554163901346, 1.5507341181989045]
StandardScaler;None;Baseline;None;1.6434233276968628;[1.7589804485015494, 1.6205554163901346, 1.5507341181989045]
StandardScaler;None;None;PCA_features_0.25;1.6485506217078996;[1.5062807823624622, 1.6969839523387136, 1.7423871304225231]
None;None;SavitzkyGolay;None;1.6671086136903215;[1.7698958203806883, 1.634361724533806, 1.5970682961564702]
StandardScaler;None;SavitzkyGolay;None;1.6685725572257788;[1.7698958203806883, 1.6352554578608065, 1.6005663934358416]
None;ASLSBaseline;Baseline;PCA_features_0.25;1.669110751522756;[1.718207510101197, 1.6929945788782503, 1.5961301655888207]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;1.676997970999687;[1.728895069881982, 1.749210585006846, 1.5528882581102328]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;1.6834639384870622;[1.7340147733806877, 1.7732977485376262, 1.5430792935428732]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;1.6856129444236725;[1.732897498243199, 1.7844589044391517, 1.5394824305886665]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;1.7176291978330436;[1.6042174159384806, 1.8588889103732211, 1.6897812671874288]
None;ASLSBaseline;Gaussian;PCA_features_0.25;1.7312333331887515;[1.6339062944807172, 1.6346559774484344, 1.9251377276371027]
None;None;Gaussian;PCA_features_0.25;1.7549323907206755;[1.713525435077688, 1.6255318955224274, 1.9257398415619105]
StandardScaler;None;Gaussian;PCA_features_0.25;1.7738183878278733;[1.649853345720477, 1.8296810439577922, 1.841920773805351]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;1.7925169383635138;[1.7222314717492349, 1.8285775415914602, 1.8267418017498465]
