scaler;baseline;simple;pca;mean_score;fold_scores
None;None;StandardNormalVariate;None;2.0936585351271835;[2.2259121812721108, 2.4840542166281336, 1.5710092074813071]
None;ASLSBaseline;StandardNormalVariate;None;2.166240875834958;[2.2647798546361213, 2.521344178604606, 1.7125985942641482]
None;ASLSBaseline;Gaussian;None;2.2158289446635333;[2.366211777815942, 2.358223113255459, 1.9230519429191986]
None;None;Gaussian;None;2.2173560463472106;[2.435003550915005, 2.272169180427584, 1.944895407699042]
None;ASLSBaseline;Baseline;None;2.239277108149031;[2.3599633525118753, 2.3968385448155702, 1.961029427119648]
None;ASLSBaseline;Normalize;None;2.239277108149031;[2.3599633525118753, 2.3968385448155702, 1.961029427119648]
None;ASLSBaseline;None;None;2.239277108149031;[2.3599633525118753, 2.3968385448155702, 1.961029427119648]
None;ASLSBaseline;SavitzkyGolay;None;2.2884048565832975;[2.406440294323962, 2.4369279556585797, 2.0218463197673513]
StandardScaler;None;StandardNormalVariate;None;2.4186371096346275;[1.9384380466035247, 2.442050083212981, 2.8754231990873764]
StandardScaler;ASLSBaseline;Normalize;None;2.4351936345609784;[1.930539908305313, 2.9622868836131655, 2.412754111764457]
StandardScaler;ASLSBaseline;Baseline;None;2.4351936345609784;[1.930539908305313, 2.9622868836131655, 2.412754111764457]
StandardScaler;ASLSBaseline;None;None;2.4351936345609784;[1.930539908305313, 2.9622868836131655, 2.412754111764457]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;2.453407242389519;[1.9590527056602536, 2.9803299295174117, 2.420839091990892]
StandardScaler;ASLSBaseline;Gaussian;None;2.486266503050298;[2.367449926321071, 2.7469003977408804, 2.3444491850889424]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;2.5026121854109005;[2.196222655704556, 2.55442492448626, 2.7571889760418853]
StandardScaler;None;Gaussian;None;2.604737121545417;[2.409003649889518, 2.823771210855629, 2.581436503891104]
None;ASLSBaseline;Baseline;PCA_features_0.25;2.8085595057354547;[2.5845749118797796, 3.2957151176654933, 2.5453884876610915]
None;None;Gaussian;PCA_features_0.25;2.880155449067685;[2.863094580916128, 3.1381652518705225, 2.639206514416405]
None;ASLSBaseline;Gaussian;PCA_features_0.25;2.8805673247563157;[3.043409143396747, 3.3696461121826267, 2.2286467186895744]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;2.885352356651732;[3.0515432181448294, 3.3516083313569855, 2.2529055204533814]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;2.8854167686533874;[3.0757678548989866, 3.173823583923594, 2.406658867137581]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;2.8921037301371846;[2.496853495904233, 3.532762760510911, 2.6466949339964083]
None;ASLSBaseline;None;PCA_features_0.25;2.9118935179910825;[2.742002891281451, 3.3912658768418154, 2.602411785849982]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;2.926116082872538;[3.0686972075563212, 3.27499700561819, 2.4346540354431037]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;3.018444889853185;[2.9282234276969152, 3.2332916559966187, 2.8938195858660216]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;3.1318902053332836;[2.9787100211755497, 3.4268089537294353, 2.990151641094865]
StandardScaler;None;Baseline;PCA_features_0.25;3.1494404241449963;[3.1119432684459225, 3.2650136339918356, 3.071364369997231]
None;None;Normalize;PCA_features_0.25;3.1523341323658953;[3.0427962162821403, 3.4305640934692945, 2.983642087346251]
StandardScaler;None;Gaussian;PCA_features_0.25;3.1671720458236385;[2.9102284851274396, 3.5280067014824006, 3.0632809508610754]
None;None;None;PCA_features_0.25;3.167898312842622;[3.0472612860522976, 3.565576059980881, 2.890857592494688]
StandardScaler;None;None;PCA_features_0.25;3.1693873624717415;[3.1323548359870155, 3.3031345665877203, 3.072672684840488]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;3.170541921262798;[3.3615033113688857, 3.4972292123215616, 2.6528932400979475]
StandardScaler;None;Baseline;None;3.1882214301470655;[3.6491617318356604, 3.234430111578752, 2.6810724470267835]
None;None;Baseline;None;3.1882214301470655;[3.6491617318356604, 3.234430111578752, 2.6810724470267835]
None;None;None;None;3.1882214301470655;[3.6491617318356604, 3.234430111578752, 2.6810724470267835]
None;None;Normalize;None;3.1882214301470655;[3.6491617318356604, 3.234430111578752, 2.6810724470267835]
StandardScaler;None;Normalize;None;3.1882214301470655;[3.6491617318356604, 3.234430111578752, 2.6810724470267835]
StandardScaler;None;None;None;3.1882214301470655;[3.6491617318356604, 3.234430111578752, 2.6810724470267835]
None;None;Baseline;PCA_features_0.25;3.1957331278222654;[3.171462200569913, 3.6106668633032983, 2.805070319593584]
None;None;SavitzkyGolay;PCA_features_0.25;3.203049495332794;[2.9925943273517204, 3.740180181328761, 2.8763739773179005]
StandardScaler;None;SavitzkyGolay;None;3.208815485288731;[3.668458730760474, 3.2955650613448935, 2.662422663760825]
None;None;SavitzkyGolay;None;3.209281299000564;[3.6698561718959746, 3.2955650613448935, 2.662422663760825]
None;None;StandardNormalVariate;PCA_features_0.25;3.218859756931178;[3.2064450054176845, 3.3218505269265974, 3.1282837384492517]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;3.2465647622953004;[2.839397710096724, 3.7989797719667355, 3.1013168048224427]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;3.252244390131784;[2.7332407747682073, 3.5655585364843145, 3.45793385914283]
StandardScaler;None;Normalize;PCA_features_0.25;3.294678646141596;[3.189874775201626, 3.747417337990697, 2.946743825232464]
None;ASLSBaseline;Normalize;PCA_features_0.25;3.296769024609231;[3.1675523633717684, 3.704590214388468, 3.018164496067455]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;3.29993103911516;[3.4935624506607774, 3.6295184794868987, 2.7767121871978038]
