scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;Baseline;None;14.204125913666074;[20.786114193328576, 10.007285149523652, 11.818978398145992]
None;ASLSBaseline;None;None;14.204522613026315;[20.786114193328576, 10.007285149523652, 11.820168496226719]
None;ASLSBaseline;Normalize;None;14.204522613026315;[20.786114193328576, 10.007285149523652, 11.820168496226719]
None;ASLSBaseline;Gaussian;None;14.619813664742118;[18.482600453230464, 11.329679257140159, 14.047161283855727]
None;None;Gaussian;None;14.813138009811752;[18.15590094547701, 13.781282908631127, 12.502230175327119]
None;None;None;PCA_features_0.25;15.39551847823576;[14.815722229333339, 12.106675806876137, 19.264157398497805]
None;None;Baseline;PCA_features_0.25;15.39551847823576;[14.815722229333339, 12.106675806876137, 19.264157398497805]
None;ASLSBaseline;SavitzkyGolay;None;15.54092515686924;[25.38119669754637, 9.382146038017643, 11.85943273504371]
StandardScaler;ASLSBaseline;Gaussian;None;15.68395987899926;[17.49979413348754, 13.610378673895154, 15.941706829615082]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;16.42969427202473;[21.930561778191947, 13.457141879464562, 13.901379158417674]
StandardScaler;None;Gaussian;None;16.549912834154032;[19.036292336816878, 14.868330686354172, 15.745115479291055]
StandardScaler;ASLSBaseline;None;None;17.16496282456172;[23.013709579450722, 13.576327250572694, 14.904851643661745]
StandardScaler;ASLSBaseline;Normalize;None;17.16496282456172;[23.013709579450722, 13.576327250572694, 14.904851643661745]
StandardScaler;ASLSBaseline;Baseline;None;17.16496282456172;[23.013709579450722, 13.576327250572694, 14.904851643661745]
None;None;Gaussian;PCA_features_0.25;17.600378947731837;[18.6295848757482, 20.127749304970845, 14.043802662476468]
None;ASLSBaseline;Gaussian;PCA_features_0.25;18.052050331582112;[17.791685038252393, 18.492834391414377, 17.871631565079564]
None;None;Normalize;PCA_features_0.25;18.383077859269033;[15.74252370681965, 16.854499074172068, 22.55221079681537]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;19.402090093444603;[20.817800589028597, 13.003317060005843, 24.385152631299363]
None;ASLSBaseline;StandardNormalVariate;None;19.726793730981665;[20.9821790081985, 13.811048203625447, 24.387153981121045]
None;None;SavitzkyGolay;PCA_features_0.25;20.053699826507394;[22.019624977272716, 14.659218063018242, 23.48225643923122]
None;ASLSBaseline;Baseline;PCA_features_0.25;20.71313058328701;[21.11061188289111, 14.51912037467805, 26.50965949229187]
None;ASLSBaseline;None;PCA_features_0.25;20.71313058328701;[21.11061188289111, 14.51912037467805, 26.50965949229187]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;21.182957076607;[30.455494215813513, 15.988730187584773, 17.10464682642272]
StandardScaler;None;SavitzkyGolay;None;21.18778362673119;[13.178903441624529, 33.64331219908327, 16.741135239485775]
None;None;SavitzkyGolay;None;21.865434886830858;[14.69862932872452, 35.89635718991414, 15.001318141853915]
None;None;Normalize;None;21.891764734504367;[18.26763988660411, 32.928568023278906, 14.479086293630084]
StandardScaler;None;Normalize;None;21.891867327501;[18.26763988660411, 32.928875802268806, 14.479086293630084]
None;None;Baseline;None;21.891867327501;[18.26763988660411, 32.928875802268806, 14.479086293630084]
StandardScaler;None;Baseline;None;21.891867327501;[18.26763988660411, 32.928875802268806, 14.479086293630084]
StandardScaler;None;None;None;21.891867327501;[18.26763988660411, 32.928875802268806, 14.479086293630084]
None;None;None;None;21.891867327501;[18.26763988660411, 32.928875802268806, 14.479086293630084]
None;None;StandardNormalVariate;PCA_features_0.25;22.001935058073823;[30.45480959976819, 17.7791471665197, 17.771848407933575]
StandardScaler;None;Normalize;PCA_features_0.25;22.1019319128478;[27.298625797057277, 20.670427810862066, 18.33674213062406]
StandardScaler;None;Baseline;PCA_features_0.25;22.1019319128478;[27.298625797057277, 20.670427810862066, 18.33674213062406]
StandardScaler;None;None;PCA_features_0.25;22.1019319128478;[27.298625797057277, 20.670427810862066, 18.33674213062406]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;22.321844272932935;[27.50137749651472, 19.098840223836483, 20.3653150984476]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;23.417962401447568;[24.30287717910364, 18.624351315841064, 27.326658709398004]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;24.084132408491683;[36.01746101570856, 16.502315803037472, 19.73262040672902]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;24.084132408491683;[36.01746101570856, 16.502315803037472, 19.73262040672902]
None;ASLSBaseline;Normalize;PCA_features_0.25;24.78327100609155;[38.66280098535099, 19.69645786907066, 15.990554163852991]
StandardScaler;None;StandardNormalVariate;None;25.052939457256826;[28.683823725576907, 20.38451605809183, 26.09047858810175]
None;None;StandardNormalVariate;None;25.492585990487743;[34.0566496632044, 15.67941907550395, 26.741689232754894]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;25.680952678476327;[35.052498881409406, 14.396431096633549, 27.59392805738602]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;29.30827306976673;[36.939748172654845, 23.171806468221526, 27.813264568423826]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;29.42681216247375;[40.62119648728954, 16.457953914031155, 31.201286086100563]
StandardScaler;None;Gaussian;PCA_features_0.25;29.43942176199612;[23.040058313393704, 33.83256600653831, 31.44564096605634]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;29.91882518960179;[25.476691647050355, 33.78557935019474, 30.494204571560275]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;31.45591917662183;[30.241734190744747, 32.47819297984225, 31.647830359278483]
