scaler;baseline;simple;pca;mean_score;fold_scores
None;None;Gaussian;None;8.566537405598716;[8.064574272966746, 8.948111483413516, 8.686926460415881]
None;ASLSBaseline;Gaussian;None;8.748123882040149;[7.900182073725051, 9.034302997742893, 9.309886574652507]
None;None;Baseline;None;8.944143854162492;[8.264215740004103, 9.444657015897135, 9.123558806586239]
None;None;Normalize;None;8.945357667626274;[8.264215740004103, 9.448298456288478, 9.123558806586239]
StandardScaler;None;None;None;8.945434741552182;[8.264215740004103, 9.448529678066201, 9.123558806586239]
StandardScaler;None;Baseline;None;8.945434741552182;[8.264215740004103, 9.448529678066201, 9.123558806586239]
StandardScaler;None;Normalize;None;8.945434741552182;[8.264215740004103, 9.448529678066201, 9.123558806586239]
None;None;None;None;8.953550706993921;[8.288563636329322, 9.448529678066201, 9.123558806586239]
StandardScaler;None;Gaussian;None;9.00259553582829;[8.739984066669981, 9.364461648400448, 8.903340892414437]
StandardScaler;None;SavitzkyGolay;None;9.003735113913782;[8.176647076369493, 9.59432773105373, 9.240230534318126]
StandardScaler;ASLSBaseline;Gaussian;None;9.165939934570545;[9.34129928456511, 9.621884328817119, 8.53463619032941]
None;None;StandardNormalVariate;None;9.368284801314694;[8.855592097242736, 9.745667705651565, 9.503594601049778]
None;ASLSBaseline;StandardNormalVariate;None;9.483459356011352;[7.545402540990567, 9.74360471397559, 11.161370813067897]
None;None;SavitzkyGolay;None;9.613511260147035;[9.268713963028608, 10.314350046994962, 9.257469770417536]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;9.642464987913373;[9.045686352866424, 10.713930244586939, 9.167778366286758]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;9.789043642869736;[8.928959808642556, 9.956122501902469, 10.482048618064184]
StandardScaler;None;StandardNormalVariate;None;9.805066950363798;[9.435445170507036, 10.898364012729884, 9.081391667854476]
StandardScaler;ASLSBaseline;None;None;9.886603685841857;[9.675323138757713, 9.91126015656669, 10.073227762201173]
StandardScaler;ASLSBaseline;Normalize;None;9.886603685841857;[9.675323138757713, 9.91126015656669, 10.073227762201173]
StandardScaler;ASLSBaseline;Baseline;None;9.886603685841857;[9.675323138757713, 9.91126015656669, 10.073227762201173]
