scaler;baseline;simple;pca;mean_score;fold_scores
StandardScaler;ASLSBaseline;Baseline;None;0.38863307640469996;[0.32172635513561815, 0.4432320312215995, 0.4009408428568824]
StandardScaler;ASLSBaseline;Normalize;None;0.38863307640469996;[0.32172635513561815, 0.4432320312215995, 0.4009408428568824]
StandardScaler;ASLSBaseline;None;None;0.38863307640469996;[0.32172635513561815, 0.4432320312215995, 0.4009408428568824]
StandardScaler;None;Gaussian;None;0.39091597500179703;[0.3609812571700007, 0.4507891302112504, 0.36097753762414014]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.3982088609868697;[0.32752905113798053, 0.44931572016574295, 0.41778181165688555]
None;ASLSBaseline;SavitzkyGolay;None;0.4123403369059094;[0.3965394966878568, 0.46831664863388284, 0.37216486539598864]
None;ASLSBaseline;Gaussian;None;0.41253819871887676;[0.39199681170280987, 0.48802955357074335, 0.35758823088307706]
None;ASLSBaseline;Baseline;None;0.41337784013136236;[0.4083184722965808, 0.46116929614255553, 0.37064575195495064]
None;ASLSBaseline;Normalize;None;0.41337784013136236;[0.4083184722965808, 0.46116929614255553, 0.37064575195495064]
None;ASLSBaseline;None;None;0.41337784013136236;[0.4083184722965808, 0.46116929614255553, 0.37064575195495064]
None;None;StandardNormalVariate;None;0.415122487714894;[0.3537009854686366, 0.5461636166592568, 0.34550286101678873]
None;None;Normalize;PCA_features_0.25;0.4222443783791136;[0.4093276010746156, 0.4824157525189081, 0.3749897815438171]
None;None;Gaussian;None;0.4253012468924667;[0.4120504892919086, 0.4908507224213066, 0.37300252896418495]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.4280842432018075;[0.47682887163791127, 0.4799316462995646, 0.3274922116679466]
StandardScaler;None;Gaussian;PCA_features_0.25;0.4290880835144839;[0.4585658060738831, 0.4986063843137752, 0.33009206015579345]
StandardScaler;ASLSBaseline;Gaussian;None;0.4298830133401244;[0.4128709995076196, 0.4943287293967549, 0.38244931111599884]
StandardScaler;None;StandardNormalVariate;None;0.43162393769333135;[0.4306275539182463, 0.5141125726077219, 0.3501316865540258]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.43375772913990884;[0.4233893157779376, 0.47657422733462335, 0.4013096443071654]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.43663952894564884;[0.4201802861759447, 0.4893185392064179, 0.40041976145458397]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.44378929944878037;[0.4453920559809139, 0.49083107182231367, 0.3951447705431134]
None;None;SavitzkyGolay;PCA_features_0.25;0.46576447958162753;[0.4578811320946108, 0.5336817532966984, 0.4057305533535733]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.46600419861983594;[0.44011299695717143, 0.5590039424754208, 0.39889565642691555]
None;None;None;PCA_features_0.25;0.4660421080985562;[0.4665856853108513, 0.5226070705075205, 0.4089335684772967]
None;None;Gaussian;PCA_features_0.25;0.46608915790782707;[0.4670644108199594, 0.5498629285860013, 0.38134013431752073]
StandardScaler;None;Normalize;PCA_features_0.25;0.46822866295323423;[0.44024124251402186, 0.566120689687162, 0.39832405665851894]
StandardScaler;None;Baseline;PCA_features_0.25;0.4684166595526422;[0.43890948924383993, 0.5654029672804181, 0.4009375221336685]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.47086249006408415;[0.4365616331439518, 0.5494807107295206, 0.42654512631878005]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.4726650941348212;[0.45448204475204457, 0.5549836443775775, 0.40852959327484173]
StandardScaler;None;None;PCA_features_0.25;0.47288384806086486;[0.4449820686005119, 0.5712720110783096, 0.40239746450377323]
