scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;SavitzkyGolay;None;0.03621688547475343;[0.03275848408544349, 0.03333727196120701, 0.04255490037760978]
StandardScaler;ASLSBaseline;Normalize;None;0.03658002488366801;[0.03404112408898074, 0.033682384527331286, 0.042016566034692]
StandardScaler;ASLSBaseline;Baseline;None;0.03658002488366801;[0.03404112408898074, 0.033682384527331286, 0.042016566034692]
StandardScaler;ASLSBaseline;None;None;0.03658002488366801;[0.03404112408898074, 0.033682384527331286, 0.042016566034692]
None;ASLSBaseline;Baseline;None;0.03686541630059605;[0.03383173801223044, 0.03209519138051038, 0.04466931950904733]
None;ASLSBaseline;None;None;0.03686541630059605;[0.03383173801223044, 0.03209519138051038, 0.04466931950904733]
None;ASLSBaseline;Normalize;None;0.036899496645097056;[0.03383173801223044, 0.03209519138051038, 0.044771560542550354]
None;None;Gaussian;None;0.03702045203575421;[0.034815055608801694, 0.03292976493345104, 0.0433165355650099]
StandardScaler;None;Gaussian;None;0.037207229017781174;[0.034700148684845715, 0.032584842711640534, 0.044336695656857265]
None;ASLSBaseline;Gaussian;None;0.037255729842322595;[0.03511968081677743, 0.03246567460039463, 0.044181834109795724]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.0373276845695816;[0.03588559803861053, 0.032928247903718955, 0.04316920776641532]
None;ASLSBaseline;StandardNormalVariate;None;0.03771471343055385;[0.03429339241992667, 0.034396439602309675, 0.044454308269425216]
StandardScaler;ASLSBaseline;Gaussian;None;0.03775203410166814;[0.035347879051388795, 0.03340674630374377, 0.04450147694987188]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.038047087446399425;[0.03504618772265228, 0.03533094945293336, 0.04376412516361264]
StandardScaler;None;Normalize;PCA_features_0.25;0.038191596699074314;[0.0385523900486815, 0.033152696235818305, 0.04286970381272312]
StandardScaler;None;Baseline;PCA_features_0.25;0.03836498029590577;[0.038083896660111013, 0.033349292084792086, 0.04366175214281423]
None;None;StandardNormalVariate;PCA_features_0.25;0.03858332388552337;[0.0370112209412649, 0.03429049560998094, 0.04444825510532428]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.0387967363931974;[0.03801679194012236, 0.03340400797724177, 0.044969409262228054]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.038963584498296434;[0.03796856673075496, 0.03455486391146213, 0.04436732285267223]
StandardScaler;None;None;PCA_features_0.25;0.03909342005339117;[0.03893700086343841, 0.034911488630884065, 0.04343177066585104]
None;None;Baseline;None;0.03917217828707109;[0.038261437410392986, 0.035540238933885006, 0.043714858516935275]
None;None;None;None;0.03917443720253097;[0.03826042963808608, 0.03554761996482848, 0.04371526200467835]
StandardScaler;None;Normalize;None;0.039175571837460864;[0.03826244308012098, 0.03554901042758326, 0.04371526200467835]
