scaler;baseline;simple;pca;mean_score;fold_scores
StandardScaler;None;Gaussian;None;0.3188546465908009;[0.3179123005122853, 0.31940530459698807, 0.31924633466312946]
None;None;Gaussian;None;0.3193794410626443;[0.3099005502262536, 0.3247918807711042, 0.3234458921905752]
None;ASLSBaseline;SavitzkyGolay;None;0.3194084485926319;[0.31483537783476356, 0.3301649022596943, 0.31322506568343794]
StandardScaler;ASLSBaseline;Gaussian;None;0.31958361784413897;[0.3145975321532804, 0.3261121578349413, 0.3180411635441953]
None;ASLSBaseline;StandardNormalVariate;None;0.32026664250433545;[0.3148151996814498, 0.3284428448989241, 0.3175418829326324]
None;ASLSBaseline;Baseline;None;0.324189747767808;[0.32179935798467424, 0.3342475959092579, 0.31652228940949195]
None;ASLSBaseline;Normalize;None;0.32425525609565825;[0.32179935798467424, 0.3344373839718456, 0.31652902633045504]
None;ASLSBaseline;None;None;0.3246889103588182;[0.32179935798467424, 0.3357383467613254, 0.31652902633045504]
None;ASLSBaseline;Gaussian;None;0.3255949753882353;[0.3235817866183658, 0.32837659959885257, 0.32482653994748745]
StandardScaler;ASLSBaseline;Baseline;None;0.32728091478529053;[0.3289935075159966, 0.3191741680772467, 0.3336750687626283]
StandardScaler;ASLSBaseline;None;None;0.32728091478529053;[0.3289935075159966, 0.3191741680772467, 0.3336750687626283]
StandardScaler;ASLSBaseline;Normalize;None;0.32728091478529053;[0.3289935075159966, 0.3191741680772467, 0.3336750687626283]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.3305137274722018;[0.33753437893745125, 0.32007263998459384, 0.3339341634945604]
None;None;StandardNormalVariate;None;0.3739152223783018;[0.3777528255869302, 0.3747314284693689, 0.36926141307860644]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.3820449525349809;[0.3915990091536994, 0.38187807879612057, 0.37265776965512276]
None;None;Baseline;PCA_features_0.25;0.38449994033459883;[0.39212518124343565, 0.3798443472342898, 0.38153029252607096]
None;None;None;PCA_features_0.25;0.38449994033459883;[0.39212518124343565, 0.3798443472342898, 0.38153029252607096]
None;None;StandardNormalVariate;PCA_features_0.25;0.3864105761692571;[0.38191446345932084, 0.38963575249398624, 0.38768151255446426]
None;None;SavitzkyGolay;PCA_features_0.25;0.39244860166924483;[0.39840546378754754, 0.3789291994804713, 0.4000111417397156]
