scaler;baseline;simple;pca;mean_score;fold_scores
None;None;Gaussian;None;0.17974749485028832;[0.1544817818221206, 0.10924677388315818, 0.27551392884558623]
None;ASLSBaseline;Gaussian;None;0.18544043787568934;[0.14624363175424762, 0.13290515745761555, 0.2771725244152049]
None;ASLSBaseline;StandardNormalVariate;None;0.2975708315216086;[0.28163960218910117, 0.25528788211259507, 0.3557850102631296]
None;None;StandardNormalVariate;None;0.2992333354414583;[0.27647557871879935, 0.26982515776861005, 0.35139926983696546]
None;ASLSBaseline;Baseline;None;0.3056072414832659;[0.2819037793348974, 0.26960616852040203, 0.3653117765944983]
None;ASLSBaseline;Normalize;None;0.3056072414832659;[0.2819037793348974, 0.26960616852040203, 0.3653117765944983]
None;ASLSBaseline;None;None;0.3056072414832659;[0.2819037793348974, 0.26960616852040203, 0.3653117765944983]
None;ASLSBaseline;SavitzkyGolay;None;0.31166954312191325;[0.2953436883027122, 0.2660490112840652, 0.37361592977896235]
None;None;SavitzkyGolay;None;0.3306029922221075;[0.29556832819136813, 0.3044588651259729, 0.3917817833489814]
StandardScaler;None;SavitzkyGolay;None;0.33554517837224423;[0.3004234003022863, 0.30537476660296314, 0.40083736821148314]
StandardScaler;None;None;None;0.3384136198250891;[0.3104284188030261, 0.31037092481680223, 0.39444151585543896]
StandardScaler;None;Baseline;None;0.3384136198250891;[0.3104284188030261, 0.31037092481680223, 0.39444151585543896]
None;None;Baseline;None;0.3384136198250891;[0.3104284188030261, 0.31037092481680223, 0.39444151585543896]
None;None;Normalize;None;0.3384136198250891;[0.3104284188030261, 0.31037092481680223, 0.39444151585543896]
None;None;None;None;0.3384136198250891;[0.3104284188030261, 0.31037092481680223, 0.39444151585543896]
StandardScaler;None;Normalize;None;0.3384136198250891;[0.3104284188030261, 0.31037092481680223, 0.39444151585543896]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.34586624076684264;[0.30407772115482257, 0.3186786926684443, 0.4148423084772611]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.355243708557796;[0.3082582426509494, 0.3450282522235235, 0.412444630798915]
None;ASLSBaseline;None;PCA_features_0.25;0.355243708557796;[0.3082582426509494, 0.3450282522235235, 0.412444630798915]
None;None;Gaussian;PCA_features_0.25;0.3553346881903199;[0.2843506714043964, 0.3363424374177103, 0.445310955748853]
None;None;StandardNormalVariate;PCA_features_0.25;0.36250016245573374;[0.32549714828388115, 0.2982134795102958, 0.4637898595730243]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.38369980327272374;[0.3390891392103452, 0.3392427071896613, 0.47276756341816484]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.3855409661239256;[0.34790791459431714, 0.3414803139496187, 0.46723466982784084]
None;None;None;PCA_features_0.25;0.39042295447452036;[0.36741560941479157, 0.35013711180619755, 0.45371614220257184]
None;None;Baseline;PCA_features_0.25;0.39042295447452036;[0.36741560941479157, 0.35013711180619755, 0.45371614220257184]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.39363410754517786;[0.36868082733556407, 0.3461286527760185, 0.4660928425239509]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.4045435671555695;[0.3641777813332172, 0.38954941466302523, 0.45990350547046616]
None;None;Normalize;PCA_features_0.25;0.40788352119648463;[0.37608981488155585, 0.3563583417982676, 0.49120240690963035]
None;None;SavitzkyGolay;PCA_features_0.25;0.4110077650611675;[0.38478930674318174, 0.372006423179915, 0.47622756526040577]
StandardScaler;None;None;PCA_features_0.25;0.4136078937790895;[0.36595023894976464, 0.3600109009598923, 0.5148625414276117]
StandardScaler;None;Normalize;PCA_features_0.25;0.4136078937790895;[0.36595023894976464, 0.3600109009598923, 0.5148625414276117]
StandardScaler;None;Baseline;PCA_features_0.25;0.4136078937790895;[0.36595023894976464, 0.3600109009598923, 0.5148625414276117]
StandardScaler;None;Gaussian;None;0.4817631717243889;[0.470639301311518, 0.3986852957123838, 0.5759649181492648]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.5796798113377387;[0.5554471305647077, 0.6046293381410504, 0.5789629653074579]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.5980275481514173;[0.5336777262600776, 0.5836636690986677, 0.6767412490955065]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.6216359014997224;[0.5662092973657467, 0.564931823131093, 0.7337665840023274]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.6316276231196544;[0.6099818061265229, 0.642428453299794, 0.6424726099326462]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.6476050406395369;[0.6243996462171748, 0.5805532363953266, 0.7378622393061096]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.6476050406395369;[0.6243996462171748, 0.5805532363953266, 0.7378622393061096]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.6872583232838121;[0.7074724525316775, 0.6259025900149714, 0.7283999273047876]
StandardScaler;ASLSBaseline;Normalize;None;0.7106382798725445;[0.7334380130904227, 0.628594906805214, 0.7698819197219967]
StandardScaler;ASLSBaseline;None;None;0.7106382798725445;[0.7334380130904227, 0.628594906805214, 0.7698819197219967]
StandardScaler;ASLSBaseline;Baseline;None;0.7106382798725445;[0.7334380130904227, 0.628594906805214, 0.7698819197219967]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.75789368462463;[0.8816512515177158, 0.6895300990651946, 0.7024997032909799]
StandardScaler;ASLSBaseline;Gaussian;None;0.7578957512959175;[0.7807451331205557, 0.6652518999846734, 0.8276902207825234]
StandardScaler;None;StandardNormalVariate;None;0.7655040018657119;[0.9289990392039205, 0.6677953876742424, 0.6997175787189728]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.8390214996636703;[0.7760071495900622, 0.8199286570963558, 0.9211286923045932]
StandardScaler;None;Gaussian;PCA_features_0.25;0.843068905145158;[0.7900863937357946, 0.8198704526605525, 0.9192498690391264]
