scaler;baseline;simple;pca;mean_score;fold_scores
None;None;SavitzkyGolay;PCA_features_0.25;0.08085535473231788;[0.08015787428161524, 0.08429203430434352, 0.07811615561099489]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.08360971201904459;[0.08311513571097988, 0.08649770116272909, 0.08121629918342477]
None;None;Baseline;PCA_features_0.25;0.09068440327078847;[0.08926743547171254, 0.0916414262178775, 0.09114434812277539]
None;None;None;PCA_features_0.25;0.09068440327078847;[0.08926743547171254, 0.0916414262178775, 0.09114434812277539]
None;ASLSBaseline;None;PCA_features_0.25;0.09322843800354791;[0.09363278387211471, 0.09438526711506091, 0.09166726302346813]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.09322843800354791;[0.09363278387211471, 0.09438526711506091, 0.09166726302346813]
None;None;StandardNormalVariate;PCA_features_0.25;0.0944772102627584;[0.08930567337392231, 0.0979215472447807, 0.0962044101695722]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.09499088100684115;[0.09343203571549392, 0.09805738146976381, 0.09348322583526568]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.10103727389512206;[0.09816760503416071, 0.10307598897906677, 0.10186822767213868]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.10696457722377757;[0.10337699407984703, 0.11200259684133405, 0.10551414075015161]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.11167945937190078;[0.11025963063548369, 0.11179148703483428, 0.11298726044538439]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.11909210160106386;[0.11641220061176033, 0.12327095621615233, 0.1175931479752789]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.12239407850187868;[0.12133059308851796, 0.11986784131643813, 0.12598380110067997]
None;None;Gaussian;PCA_features_0.25;0.12493707185199406;[0.118386416537713, 0.12548196892310357, 0.13094283009516564]
StandardScaler;None;None;PCA_features_0.25;0.12557486716453323;[0.12127068073633918, 0.13147307150095672, 0.12398084925630379]
StandardScaler;None;Baseline;PCA_features_0.25;0.12557486716453323;[0.12127068073633918, 0.13147307150095672, 0.12398084925630379]
StandardScaler;None;Normalize;PCA_features_0.25;0.12557486716453323;[0.12127068073633918, 0.13147307150095672, 0.12398084925630379]
None;None;Normalize;PCA_features_0.25;0.12707282429481517;[0.12304190841866547, 0.1289599077871999, 0.12921665667858012]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.12713377742298734;[0.12644557630882136, 0.1285267596907633, 0.12642899626937734]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.12713377742298734;[0.12644557630882136, 0.1285267596907633, 0.12642899626937734]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.12982854448973558;[0.12707770513891037, 0.12783375571930417, 0.13457417261099222]
StandardScaler;None;Gaussian;None;0.13029493831252725;[0.1212777198024503, 0.1325012846082359, 0.1371058105268955]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.13040703230363157;[0.12483079942310889, 0.13332359355566592, 0.13306670393211986]
StandardScaler;ASLSBaseline;Gaussian;None;0.13367924170217796;[0.12460749414781257, 0.13770149016266803, 0.13872874079605324]
None;ASLSBaseline;Gaussian;None;0.13941866929159186;[0.13137073040372854, 0.14149850663698346, 0.14538677083406357]
None;None;Gaussian;None;0.13993145022087064;[0.13255349740946937, 0.14229212997255863, 0.14494872328058395]
None;ASLSBaseline;SavitzkyGolay;None;0.1399700423143701;[0.13660658061244876, 0.14365520304780088, 0.13964834328286063]
None;ASLSBaseline;Normalize;None;0.14198479068055078;[0.1387086989335442, 0.14696971436728784, 0.14027595874082027]
None;ASLSBaseline;Baseline;None;0.142114570451273;[0.1387086989335442, 0.14696971436728784, 0.14066529805298691]
None;ASLSBaseline;None;None;0.142114570451273;[0.1387086989335442, 0.14696971436728784, 0.14066529805298691]
None;None;StandardNormalVariate;None;0.1441194746891148;[0.1395561516616986, 0.14882837465710375, 0.14397389774854202]
None;ASLSBaseline;StandardNormalVariate;None;0.14446839854394936;[0.14314991352700998, 0.14658753059788024, 0.14366775150695787]
None;None;SavitzkyGolay;None;0.1451643491375418;[0.13953425545917014, 0.1471724220423684, 0.1487863699110869]
StandardScaler;None;SavitzkyGolay;None;0.14528445630039305;[0.13880678277692343, 0.14820161184588243, 0.1488449742783733]
StandardScaler;None;StandardNormalVariate;None;0.14559197243417674;[0.13938729071100536, 0.14975660718820893, 0.14763201940331594]
StandardScaler;None;Normalize;None;0.14676500759852626;[0.13919025481617514, 0.14783815680904824, 0.15326661117035534]
None;None;Baseline;None;0.14676500759852626;[0.13919025481617514, 0.14783815680904824, 0.15326661117035534]
StandardScaler;None;None;None;0.14676500759852626;[0.13919025481617514, 0.14783815680904824, 0.15326661117035534]
StandardScaler;None;Baseline;None;0.14676500759852626;[0.13919025481617514, 0.14783815680904824, 0.15326661117035534]
None;None;Normalize;None;0.14678555408181523;[0.13919025481617514, 0.14783815680904824, 0.1533282506202223]
None;None;None;None;0.14678555408181523;[0.13919025481617514, 0.14783815680904824, 0.1533282506202223]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.1485976547577108;[0.14136857916168558, 0.14914547435211967, 0.1552789107593272]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.15103818637540198;[0.139869514188819, 0.15458972984259522, 0.15865531509479167]
StandardScaler;ASLSBaseline;None;None;0.15278922163957268;[0.1426437151826829, 0.15494947757815036, 0.1607744721578847]
StandardScaler;ASLSBaseline;Normalize;None;0.15278922163957268;[0.1426437151826829, 0.15494947757815036, 0.1607744721578847]
