scaler;baseline;simple;pca;mean_score;fold_scores
None;None;StandardNormalVariate;None;0.04017672499331459;[0.037199883997882606, 0.04277259322708036, 0.04055769775498078]
None;ASLSBaseline;StandardNormalVariate;None;0.04927083287200604;[0.049362098188451824, 0.04393917549033684, 0.05451122493722945]
None;ASLSBaseline;SavitzkyGolay;None;0.05048794071485491;[0.05210232713617754, 0.04481885172546405, 0.05454264328292316]
None;ASLSBaseline;Gaussian;None;0.050747132932737964;[0.05157617669709911, 0.045362136314115495, 0.055303085786999266]
None;ASLSBaseline;Baseline;None;0.051036911866359724;[0.05345259427158443, 0.046186740024348194, 0.053471401303146565]
None;ASLSBaseline;Normalize;None;0.051036911866359724;[0.05345259427158443, 0.046186740024348194, 0.053471401303146565]
None;ASLSBaseline;None;None;0.051036911866359724;[0.05345259427158443, 0.046186740024348194, 0.053471401303146565]
None;None;SavitzkyGolay;None;0.05231710757826271;[0.051242832002759225, 0.04993072772536392, 0.05577776300666497]
StandardScaler;None;SavitzkyGolay;None;0.052584515839575796;[0.05209996050705621, 0.049714138642768066, 0.05593944836890311]
None;None;Baseline;None;0.053183270809617655;[0.05263100941200983, 0.048879873259157235, 0.058038929757685896]
StandardScaler;None;None;None;0.053183270809617655;[0.05263100941200983, 0.048879873259157235, 0.058038929757685896]
StandardScaler;None;Baseline;None;0.053183270809617655;[0.05263100941200983, 0.048879873259157235, 0.058038929757685896]
None;None;None;None;0.053183270809617655;[0.05263100941200983, 0.048879873259157235, 0.058038929757685896]
None;None;Normalize;None;0.053183270809617655;[0.05263100941200983, 0.048879873259157235, 0.058038929757685896]
StandardScaler;None;Normalize;None;0.053183270809617655;[0.05263100941200983, 0.048879873259157235, 0.058038929757685896]
None;None;Gaussian;None;0.0542145596827372;[0.05208951146565682, 0.05199169659824693, 0.058562470984307856]
StandardScaler;None;Gaussian;None;0.05556544105113586;[0.05401529227628784, 0.05145206918287291, 0.06122896169424683]
StandardScaler;ASLSBaseline;None;None;0.057032507808321496;[0.05439862823423529, 0.052504659613586566, 0.06419423557714263]
StandardScaler;ASLSBaseline;Baseline;None;0.057032507808321496;[0.05439862823423529, 0.052504659613586566, 0.06419423557714263]
StandardScaler;ASLSBaseline;Normalize;None;0.057032507808321496;[0.05439862823423529, 0.052504659613586566, 0.06419423557714263]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.05763656942715512;[0.05670101648960442, 0.050262903906917386, 0.06594578788494357]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.05870574304436942;[0.07207718297222539, 0.04539467379584637, 0.05864537236503651]
StandardScaler;None;StandardNormalVariate;None;0.062044935684857964;[0.053404985737721844, 0.060688128160664344, 0.07204169315618769]
None;ASLSBaseline;None;PCA_features_0.25;0.06287436521363786;[0.06736755280687494, 0.057333818068493754, 0.06392172476554489]
StandardScaler;ASLSBaseline;Gaussian;None;0.06291164429422574;[0.0637684581816341, 0.04948953942767873, 0.07547693527336442]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.06416000229122897;[0.07027208788632212, 0.056362198895430475, 0.06584572009193428]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.06486878909439509;[0.06734016489471156, 0.05481491648596593, 0.07245128590250775]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.06497837666083194;[0.06974052479975713, 0.05771108756142433, 0.06748351762131434]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.06784132512971706;[0.06177698698844106, 0.06053711874358417, 0.08120986965712597]
None;None;StandardNormalVariate;PCA_features_0.25;0.06851118450014505;[0.07350411994251722, 0.06256282009173757, 0.06946661346618038]
None;None;Normalize;PCA_features_0.25;0.07203641588422026;[0.07301697567979142, 0.06436235712699526, 0.07872991484587412]
StandardScaler;None;Baseline;PCA_features_0.25;0.07332196239933124;[0.06842565881904368, 0.07363669180105598, 0.07790353657789405]
StandardScaler;None;Normalize;PCA_features_0.25;0.073586079055991;[0.06935140985969379, 0.07274487345316206, 0.07866195385511718]
StandardScaler;None;None;PCA_features_0.25;0.07379741213198081;[0.06814548097548989, 0.07402609671662935, 0.07922065870382317]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.07519687317615993;[0.07217251182960954, 0.07602304266563696, 0.0773950650332333]
None;None;Baseline;PCA_features_0.25;0.07667612978858264;[0.0777281084595147, 0.07127459779657967, 0.08102568310965357]
None;None;SavitzkyGolay;PCA_features_0.25;0.07756399166663155;[0.07775990554469137, 0.07458177435742971, 0.08035029509777358]
None;None;None;PCA_features_0.25;0.07837884384421596;[0.08149779962283928, 0.07212700669549074, 0.08151172521431785]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.07843413221823313;[0.07150771695505144, 0.0648023197437199, 0.09899235995592802]
None;None;Gaussian;PCA_features_0.25;0.08118895339812622;[0.07158393748108735, 0.07422601761838764, 0.09775690509490367]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.08434250104712167;[0.08358808179209465, 0.07547837745408703, 0.09396104389518335]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.08609043205933277;[0.08943329500872729, 0.07776292954792437, 0.09107507162134663]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.08849243260974606;[0.08594325701033233, 0.08102353364387234, 0.0985105071750335]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.08955166040366686;[0.08741356729276899, 0.0823146840345232, 0.09892672988370839]
StandardScaler;None;Gaussian;PCA_features_0.25;0.09087343631117191;[0.08867256168239257, 0.08944327036288094, 0.0945044768882422]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.09232134108233314;[0.08985658116797127, 0.09002430037680993, 0.0970831417022182]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.09361421845858732;[0.09324753640836086, 0.08934879362994504, 0.09824632533745609]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.09390945797512269;[0.09297664552926356, 0.0874618820713259, 0.10128984632477867]
