scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;Gaussian;None;0.30948083669804327;[0.29963719507834347, 0.31200661596104706, 0.31679869905473934]
None;None;Gaussian;None;0.3099522921791839;[0.299369851808512, 0.3159900700055764, 0.3144969547234634]
StandardScaler;None;Gaussian;None;0.3280985221370814;[0.310944686083387, 0.34633588205116866, 0.3270149982766885]
StandardScaler;ASLSBaseline;Gaussian;None;0.3343947521162884;[0.3209733907322641, 0.348580108547053, 0.3336307570695481]
None;ASLSBaseline;StandardNormalVariate;None;0.3350438406710053;[0.33817802914321204, 0.32606282023900296, 0.34089067263080086]
None;ASLSBaseline;None;PCA_features_0.25;0.3914407010730618;[0.39262314991428665, 0.39209811199574257, 0.3896008413091562]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.3914407010730618;[0.39262314991428665, 0.39209811199574257, 0.3896008413091562]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.3919666081647423;[0.39365173179614904, 0.39792163071125886, 0.38432646198681897]
None;ASLSBaseline;SavitzkyGolay;None;0.3936836994515131;[0.3820782554563807, 0.4141816737821268, 0.3847911691160317]
None;None;StandardNormalVariate;None;0.3956499991452387;[0.3926304285174404, 0.3813884270234341, 0.4129311418948417]
None;ASLSBaseline;Baseline;None;0.3972264415256544;[0.38866972960569285, 0.40431374851716456, 0.3986958464541057]
None;ASLSBaseline;Normalize;None;0.3978042793518127;[0.38866972960569285, 0.4060472619956395, 0.3986958464541057]
None;ASLSBaseline;None;None;0.397822548803318;[0.38866972960569285, 0.4061020703501555, 0.3986958464541057]
None;None;Normalize;PCA_features_0.25;0.4012472053406291;[0.3920907181002786, 0.3883828058658862, 0.42326809205572247]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.4102903676495506;[0.40002696780028535, 0.4040718724839124, 0.42677226266445406]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.41041038230430166;[0.4138887324444852, 0.392250786928502, 0.42509162753991775]
