scaler;baseline;simple;pca;mean_score;fold_scores
StandardScaler;None;Gaussian;None;1223.5238095307063;[1175.143125054709, 1255.3232141983847, 1240.1050893390252]
None;None;StandardNormalVariate;None;1224.2740588293723;[1261.220943548877, 1120.6585154422305, 1290.9427174970092]
StandardScaler;ASLSBaseline;Gaussian;None;1230.5846838297646;[1193.083500695453, 1253.0412082506512, 1245.6293425431893]
None;None;Gaussian;None;1237.8816835526784;[1208.8215671265345, 1251.0911665038932, 1253.7323170276077]
None;ASLSBaseline;Gaussian;None;1244.9385154094662;[1190.181100585994, 1299.9486829167163, 1244.685762725688]
None;ASLSBaseline;StandardNormalVariate;None;1262.858760371377;[1258.2463386705592, 1216.623892276348, 1313.7060501672238]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;1290.9689802023609;[1326.9005539097398, 1259.6684117009045, 1286.3379749964383]
None;ASLSBaseline;SavitzkyGolay;None;1302.9529561845914;[1256.805916446645, 1312.4869744322623, 1339.565977674867]
StandardScaler;ASLSBaseline;None;None;1303.037339838035;[1270.1927129991693, 1282.163433442403, 1356.755873072532]
StandardScaler;ASLSBaseline;Baseline;None;1303.037339838035;[1270.1927129991693, 1282.163433442403, 1356.755873072532]
StandardScaler;ASLSBaseline;Normalize;None;1303.037339838035;[1270.1927129991693, 1282.163433442403, 1356.755873072532]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;1318.7463980512218;[1293.6076398795371, 1354.839156871809, 1307.792397402319]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;1326.1425965701485;[1318.8539529677657, 1307.3715245038811, 1352.2023122387993]
None;ASLSBaseline;Baseline;None;1326.6140297610527;[1286.7528055379557, 1340.9409050622196, 1352.1483786829829]
None;ASLSBaseline;None;None;1326.6140297610527;[1286.7528055379557, 1340.9409050622196, 1352.1483786829829]
None;ASLSBaseline;Normalize;None;1326.6140297610527;[1286.7528055379557, 1340.9409050622196, 1352.1483786829829]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;1343.3226521197457;[1330.3872865248636, 1350.0704327929361, 1349.5102370414374]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;1350.3805123768861;[1374.5908290392301, 1321.1922445540508, 1355.3584635373772]
None;ASLSBaseline;Baseline;PCA_features_0.25;1350.6393750686354;[1413.2011243374416, 1328.6766239232743, 1310.040376945191]
None;ASLSBaseline;None;PCA_features_0.25;1350.6393750686354;[1413.2011243374416, 1328.6766239232743, 1310.040376945191]
StandardScaler;None;StandardNormalVariate;None;1357.5812353980289;[1382.504855662629, 1294.7098474238485, 1395.529003107609]
None;None;StandardNormalVariate;PCA_features_0.25;1364.7903443153202;[1380.5237554337764, 1311.371894974266, 1402.475382537918]
None;None;SavitzkyGolay;PCA_features_0.25;1369.981565380618;[1326.9220617626909, 1352.7516144448907, 1430.2710199342719]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;1372.1518718496288;[1362.2758826197046, 1324.7311038059474, 1429.4486291232338]
None;None;Baseline;PCA_features_0.25;1379.4117348860352;[1387.9742286296455, 1390.5947182102686, 1359.6662578181918]
None;None;None;PCA_features_0.25;1379.4117348860352;[1387.9742286296455, 1390.5947182102686, 1359.6662578181918]
StandardScaler;None;SavitzkyGolay;None;1384.1669190203058;[1335.2721302308807, 1420.0157539441402, 1397.2128728858968]
None;None;SavitzkyGolay;None;1396.9055436068131;[1345.0915630191093, 1456.445735343063, 1389.1793324582668]
None;None;Normalize;None;1398.9776500345354;[1326.8265403074163, 1461.983399508608, 1408.1230102875825]
None;None;None;None;1399.1175214964524;[1327.0819230330897, 1462.688124365432, 1407.5825170908356]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;1399.2254748988096;[1379.2427276562123, 1409.398771326918, 1409.034925713299]
StandardScaler;None;Baseline;None;1399.2655830611604;[1328.166663028768, 1461.5283402368354, 1408.1017459178781]
StandardScaler;None;None;None;1399.2655830611604;[1328.166663028768, 1461.5283402368354, 1408.1017459178781]
StandardScaler;None;Normalize;None;1399.3597148812635;[1328.8130863437405, 1461.6273194044545, 1407.6387388955957]
None;None;Baseline;None;1399.4413450560648;[1328.5024642764142, 1461.881128960963, 1407.9404419308169]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;1412.231940528581;[1433.7793826070595, 1396.372507876428, 1406.543931102256]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;1430.8494428040678;[1399.69054974507, 1418.4443470395402, 1474.4134316275936]
None;None;Normalize;PCA_features_0.25;1445.106550637741;[1436.9023209542581, 1470.854230144383, 1427.5631008145824]
StandardScaler;None;None;PCA_features_0.25;1446.6552320824812;[1443.4542288047976, 1459.6877934068398, 1436.823674035806]
StandardScaler;None;Baseline;PCA_features_0.25;1446.6552320824812;[1443.4542288047976, 1459.6877934068398, 1436.823674035806]
StandardScaler;None;Normalize;PCA_features_0.25;1446.6552320824812;[1443.4542288047976, 1459.6877934068398, 1436.823674035806]
None;ASLSBaseline;Normalize;PCA_features_0.25;1448.8115591371627;[1402.3300587772087, 1470.1529286381833, 1473.9516899960963]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;1450.3954551397826;[1422.4297180685458, 1428.532820834389, 1500.2238265164133]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;1450.3954551397826;[1422.4297180685458, 1428.532820834389, 1500.2238265164133]
None;ASLSBaseline;Gaussian;PCA_features_0.25;1473.354700627279;[1525.6616343590133, 1421.4241051340962, 1472.9783623887272]
None;None;Gaussian;PCA_features_0.25;1477.9008032821796;[1498.1351998524963, 1441.050051545549, 1494.5171584484938]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;1515.3715659750196;[1544.6963141942501, 1502.4035237528776, 1499.0148599779318]
StandardScaler;None;Gaussian;PCA_features_0.25;1516.7322437042592;[1499.1129484992475, 1501.6435855914324, 1549.440197022097]
