database,dataset,folder,status,returncode,elapsed_sec,log_path,cmd
ALPINE,ALPINE_C_424_KS,Data/regression/ALPINE/ALPINE_C_424_KS,FAIL,1,5.2972657680511475,Results/catboost_reg_final/logs/ALPINE__ALPINE_C_424_KS.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/ALPINE/ALPINE_C_424_KS --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
ALPINE,ALPINE_N_552_KS,Data/regression/ALPINE/ALPINE_N_552_KS,FAIL,1,304.5417995452881,Results/catboost_reg_final/logs/ALPINE__ALPINE_N_552_KS.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/ALPINE/ALPINE_N_552_KS --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
ALPINE,ALPINE_P_291_KS,Data/regression/ALPINE/ALPINE_P_291_KS,OK,0,941.7660913467407,Results/catboost_reg_final/logs/ALPINE__ALPINE_P_291_KS.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/ALPINE/ALPINE_P_291_KS --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
ALPINE,ALPINE_C_424_RobustnessAlps,Data/regression/ALPINE/ALPINE_C_424_RobustnessAlps,FAIL,1,2.9065120220184326,Results/catboost_reg_final/logs/ALPINE__ALPINE_C_424_RobustnessAlps.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/ALPINE/ALPINE_C_424_RobustnessAlps --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
AMYLOSE,Rice_Amylose_313_YbasedSplit,Data/regression/AMYLOSE/Rice_Amylose_313_YbasedSplit,OK,0,577.2021312713623,Results/catboost_reg_final/logs/AMYLOSE__Rice_Amylose_313_YbasedSplit.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/AMYLOSE/Rice_Amylose_313_YbasedSplit --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
BEEFMARBLING,Beef_Marbling_RandomSplit,Data/regression/BEEFMARBLING/Beef_Marbling_RandomSplit,OK,0,320.4747610092163,Results/catboost_reg_final/logs/BEEFMARBLING__Beef_Marbling_RandomSplit.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/BEEFMARBLING/Beef_Marbling_RandomSplit --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
BEER,Beer_OriginalExtract_60_YbaseSplit,Data/regression/BEER/Beer_OriginalExtract_60_YbaseSplit,OK,0,47.05201745033264,Results/catboost_reg_final/logs/BEER__Beer_OriginalExtract_60_YbaseSplit.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/BEER/Beer_OriginalExtract_60_YbaseSplit --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
BEER,Beer_OriginalExtract_60_KS,Data/regression/BEER/Beer_OriginalExtract_60_KS,OK,0,48.11496448516846,Results/catboost_reg_final/logs/BEER__Beer_OriginalExtract_60_KS.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/BEER/Beer_OriginalExtract_60_KS --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
BERRY,brix_groupSampleID_stratDateVar_balRows,Data/regression/BERRY/brix_groupSampleID_stratDateVar_balRows,OK,0,9829.446292877197,Results/catboost_reg_final/logs/BERRY__brix_groupSampleID_stratDateVar_balRows.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/BERRY/brix_groupSampleID_stratDateVar_balRows --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
BERRY,ph_groupSampleID_stratDateVar_balRows,Data/regression/BERRY/ph_groupSampleID_stratDateVar_balRows,OK,0,4934.47696018219,Results/catboost_reg_final/logs/BERRY__ph_groupSampleID_stratDateVar_balRows.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/BERRY/ph_groupSampleID_stratDateVar_balRows --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
BERRY,ta_groupSampleID_stratDateVar_balRows,Data/regression/BERRY/ta_groupSampleID_stratDateVar_balRows,OK,0,5059.282054185867,Results/catboost_reg_final/logs/BERRY__ta_groupSampleID_stratDateVar_balRows.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/BERRY/ta_groupSampleID_stratDateVar_balRows --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
BISCUIT,Biscuit_Fat_40_RandomSplit,Data/regression/BISCUIT/Biscuit_Fat_40_RandomSplit,OK,0,56.65046453475952,Results/catboost_reg_final/logs/BISCUIT__Biscuit_Fat_40_RandomSplit.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/BISCUIT/Biscuit_Fat_40_RandomSplit --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
BISCUIT,Biscuit_Sucrose_40_RandomSplit,Data/regression/BISCUIT/Biscuit_Sucrose_40_RandomSplit,OK,0,55.21776342391968,Results/catboost_reg_final/logs/BISCUIT__Biscuit_Sucrose_40_RandomSplit.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/BISCUIT/Biscuit_Sucrose_40_RandomSplit --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
CORN,Corn_Oil_80_ZhengChenPelegYbaseSplit,Data/regression/CORN/Corn_Oil_80_ZhengChenPelegYbaseSplit,OK,0,111.64594531059265,Results/catboost_reg_final/logs/CORN__Corn_Oil_80_ZhengChenPelegYbaseSplit.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/CORN/Corn_Oil_80_ZhengChenPelegYbaseSplit --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
CORN,Corn_Starch_80_ZhengChenPelegYbaseSplit,Data/regression/CORN/Corn_Starch_80_ZhengChenPelegYbaseSplit,OK,0,112.7507598400116,Results/catboost_reg_final/logs/CORN__Corn_Starch_80_ZhengChenPelegYbaseSplit.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/CORN/Corn_Starch_80_ZhengChenPelegYbaseSplit --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
COLZA,C_woOutlier,Data/regression/COLZA/C_woOutlier,OK,0,4780.259172201157,Results/catboost_reg_final/logs/COLZA__C_woOutlier.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/COLZA/C_woOutlier --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
COLZA,N_woOutlier,Data/regression/COLZA/N_woOutlier,OK,0,4784.0245015621185,Results/catboost_reg_final/logs/COLZA__N_woOutlier.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/COLZA/N_woOutlier --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
COLZA,N_wOutlier,Data/regression/COLZA/N_wOutlier,OK,0,4855.935702800751,Results/catboost_reg_final/logs/COLZA__N_wOutlier.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/COLZA/N_wOutlier --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
DarkResp,Rd25_spxy70,Data/regression/DarkResp/Rd25_spxy70,OK,0,1334.8710584640503,Results/catboost_reg_final/logs/DarkResp__Rd25_spxy70.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/DarkResp/Rd25_spxy70 --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
DarkResp,Rd25_GTtestSite,Data/regression/DarkResp/Rd25_GTtestSite,OK,0,1215.0583310127258,Results/catboost_reg_final/logs/DarkResp__Rd25_GTtestSite.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/DarkResp/Rd25_GTtestSite --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
DarkResp,Rd25_CBtestSite,Data/regression/DarkResp/Rd25_CBtestSite,OK,0,1309.3417825698853,Results/catboost_reg_final/logs/DarkResp__Rd25_CBtestSite.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/DarkResp/Rd25_CBtestSite --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
DarkResp,Rd25_XSBNtestSite,Data/regression/DarkResp/Rd25_XSBNtestSite,OK,0,1223.3582816123962,Results/catboost_reg_final/logs/DarkResp__Rd25_XSBNtestSite.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/DarkResp/Rd25_XSBNtestSite --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
DIESEL,DIESEL_bp50_246_b-a,Data/regression/DIESEL/DIESEL_bp50_246_b-a,OK,0,179.10154914855957,Results/catboost_reg_final/logs/DIESEL__DIESEL_bp50_246_b-a.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/DIESEL/DIESEL_bp50_246_b-a --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
DIESEL,DIESEL_bp50_246_hla-b,Data/regression/DIESEL/DIESEL_bp50_246_hla-b,OK,0,229.15570640563965,Results/catboost_reg_final/logs/DIESEL__DIESEL_bp50_246_hla-b.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/DIESEL/DIESEL_bp50_246_hla-b --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
DIESEL,DIESEL_bp50_246_hlb-a,Data/regression/DIESEL/DIESEL_bp50_246_hlb-a,OK,0,224.20446920394897,Results/catboost_reg_final/logs/DIESEL__DIESEL_bp50_246_hlb-a.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/DIESEL/DIESEL_bp50_246_hlb-a --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
ECOSIS_LeafTraits,Ccar_spxyG_block2deg,Data/regression/ECOSIS_LeafTraits/Ccar_spxyG_block2deg,OK,0,213.9040584564209,Results/catboost_reg_final/logs/ECOSIS_LeafTraits__Ccar_spxyG_block2deg.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_catboost_final.py --datasets Data/regression/ECOSIS_LeafTraits/Ccar_spxyG_block2deg --output_dir Results/catboost_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 200 --n_estimators_final 500 --parallel --n_jobs 18
