shape;scatter;pca;mean_score;fold_scores
SG_11_2_1;SNV;None;0.07981529275393219;[0.08136765837634646, 0.08036994055267094, 0.07770827933277917]
SG_21_2_1;SNV;None;0.08070098922127922;[0.08205913170438459, 0.07944693524618293, 0.08059690071327015]
SG_15_2_1;SNV;None;0.08113101565405255;[0.08313708367326791, 0.08063680100247612, 0.07961916228641357]
SG_21_3_2;None;None;0.08317052913690377;[0.07712544987881986, 0.08848051213633507, 0.08390562539555638]
SG_15_3_2;SNV;None;0.08365074436515828;[0.0795883802621205, 0.09068235917534205, 0.08068149365801226]
SG_21_3_2;SNV;None;0.08369628882019131;[0.07967263587468261, 0.09409813306034792, 0.07731809752554342]
SG_21_2_1;None;None;0.08432958539420271;[0.08397214758249634, 0.08941338167707738, 0.07960322692303441]
SG_15_3_2;None;None;0.08504297491743036;[0.08012835379296793, 0.08949207290490528, 0.0855084980544179]
SG_15_2_1;None;None;0.0861528392332379;[0.08651053079465928, 0.09249485238202346, 0.07945313452303092]
SG_11_2_1;None;None;0.08634248071375906;[0.08621987922577314, 0.08963254910252717, 0.08317501381297691]
ASLSBaseline;SNV;None;0.09176945413930436;[0.09295261878977977, 0.09512720592395023, 0.08722853770418307]
ASLSBaseline;None;None;0.09386074201947492;[0.08922594116282205, 0.09679696221165288, 0.09555932268394987]
None;SNV;None;0.09649813545744142;[0.0991322029029438, 0.09774832364344273, 0.0926138798259377]
None;None;None;0.10694586588898114;[0.10458667841749757, 0.1197656342074901, 0.09648528504195575]
SG_21_2_1;SNV;PCA_features_0.25;0.11019513911131051;[0.10914504152244685, 0.11340947639310776, 0.10803089941837693]
None;SNV;PCA_features_0.25;0.11061048265125745;[0.10910154348831605, 0.1167459017155676, 0.10598400274988869]
SG_15_2_1;SNV;PCA_features_0.25;0.11098826198325036;[0.10983545557841222, 0.11544852290825036, 0.10768080746308849]
None;None;PCA_features_0.25;0.11123603229504536;[0.11017529024316537, 0.11633606302464404, 0.10719674361732666]
SG_21_2_1;None;PCA_features_0.25;0.11139046719514728;[0.11191023498976442, 0.11820548670792773, 0.10405567988774968]
ASLSBaseline;None;PCA_features_0.25;0.11179947800646102;[0.1149703210592994, 0.11552406662713134, 0.10490404633295236]
SG_15_2_1;None;PCA_features_0.25;0.1120132719487761;[0.10883749760310167, 0.1215382891990184, 0.10566402904420823]
ASLSBaseline;SNV;PCA_features_0.25;0.1124455354575773;[0.11545891151298678, 0.11346707245361744, 0.10841062240612766]
SG_11_2_1;None;PCA_features_0.25;0.1136525133092469;[0.10878918277677688, 0.11959892509270474, 0.11256943205825912]
SG_11_2_1;SNV;PCA_features_0.25;0.11449378107433501;[0.11740114153758673, 0.11793925822381651, 0.10814094346160182]
ASLSBaseline;EMSC;None;0.11463348008940603;[0.11218806428332861, 0.11684586225607131, 0.11486651372881819]
SG_21_3_2;SNV;PCA_features_0.25;0.11500056340792185;[0.11845448881927856, 0.11557588460473574, 0.11097131679975125]
SG_15_3_2;None;PCA_features_0.25;0.1156664511264141;[0.11423292536024923, 0.12012383197669894, 0.11264259604229414]
SG_15_2_1;EMSC;None;0.11674357285558624;[0.11719169526560388, 0.11488783874182877, 0.11815118455932612]
SG_21_3_2;None;PCA_features_0.25;0.11748226648683761;[0.11724891070816561, 0.12179716995439237, 0.11340071879795484]
SG_21_3_2;EMSC;None;0.11848695785778202;[0.1189246946404021, 0.12245215748269184, 0.11408402145025208]
SG_11_2_1;EMSC;None;0.11897481748258627;[0.12118592901340004, 0.1202632513487973, 0.1154752720855615]
SG_21_2_1;EMSC;None;0.11930776559723462;[0.11631435559257602, 0.11958640091441627, 0.12202254028471156]
SG_15_3_2;SNV;PCA_features_0.25;0.12059352870469442;[0.12372430894652797, 0.119858193894488, 0.11819808327306729]
SG_15_3_2;EMSC;None;0.12473669655844917;[0.12371432012107567, 0.12096507136069495, 0.12953069819357688]
None;EMSC;None;0.1259030621151319;[0.12668723629980655, 0.12822532422733446, 0.12279662581825468]
None;EMSC;PCA_features_0.25;0.12831294850308675;[0.1250566535900355, 0.135316023086478, 0.12456616883274671]
SG_11_2_1;EMSC;PCA_features_0.25;0.13127962266366344;[0.12694892947333403, 0.13565097261426962, 0.1312389659033867]
SG_15_2_1;EMSC;PCA_features_0.25;0.13166708975626898;[0.132078262700736, 0.1341259435137035, 0.1287970630543674]
SG_21_2_1;EMSC;PCA_features_0.25;0.132347314438333;[0.13190734792328926, 0.13314246552974454, 0.13199212986196524]
ASLSBaseline;EMSC;PCA_features_0.25;0.13326482882881105;[0.1339108643519482, 0.1347137118143399, 0.131169910320145]
SG_15_3_2;EMSC;PCA_features_0.25;0.1346155229737871;[0.1360004816414168, 0.13851983934407566, 0.1293262479358688]
SG_21_3_2;EMSC;PCA_features_0.25;0.13615853210782014;[0.13696291996854323, 0.13580294025738196, 0.13570973609753523]
