shape;scatter;pca;mean_score;fold_scores
SG_21_2_1;SNV;None;3.8566735041307383;[3.9656641038253655, 3.433340347137255, 4.1710160614295955]
SG_15_2_1;None;None;3.8649436564661017;[3.9903131968792898, 3.5690438288826423, 4.035473943636373]
SG_11_2_1;None;None;3.9234745064235867;[3.9543809247647173, 3.714440558165315, 4.101602036340728]
SG_21_2_1;None;None;3.9763779354038076;[4.0392054335233345, 3.667977359948946, 4.221951012739143]
ASLSBaseline;None;None;3.9845798639242602;[4.034640497949855, 3.873881878770274, 4.045217215052651]
SG_15_2_1;SNV;None;4.021398481248366;[4.0019670896783825, 3.70865563888519, 4.353572715181526]
SG_11_2_1;SNV;None;4.067195290269379;[4.035856952154584, 3.680088793316999, 4.485640125336554]
SG_21_3_2;SNV;None;4.147843233125664;[4.168145138073476, 3.8234311944199484, 4.451953366883566]
ASLSBaseline;SNV;None;4.192766943092928;[3.8352454570494583, 4.099895741779402, 4.643159630449923]
SG_21_3_2;None;None;4.223427492166478;[4.200369639206583, 3.891241115521521, 4.57867172177133]
None;SNV;None;4.253805884371256;[4.453216634584463, 3.734627323766893, 4.573573694762412]
SG_15_3_2;SNV;None;4.429572589655215;[4.244743262435398, 4.439403798052516, 4.604570708477732]
SG_15_2_1;None;PCA_features_0.25;4.535678565282755;[4.338954791386754, 4.612391083214444, 4.6556898212470665]
SG_15_3_2;None;None;4.545875162024338;[4.436737325537222, 4.450253246161215, 4.750634914374575]
ASLSBaseline;None;PCA_features_0.25;4.553262273731765;[4.460731970191119, 4.5169046550450105, 4.682150195959165]
None;None;PCA_features_0.25;4.563677576321868;[4.5445385440683275, 4.379920409797001, 4.766573775100273]
SG_11_2_1;None;PCA_features_0.25;4.684500618693948;[4.439610312681277, 4.764826782156648, 4.8490647612439215]
SG_21_2_1;None;PCA_features_0.25;4.696853376855777;[4.584437715550401, 4.750416702005224, 4.7557057130117055]
SG_21_3_2;None;PCA_features_0.25;4.707904169529558;[4.744512855507267, 4.7072524387160035, 4.671947214365401]
SG_15_2_1;SNV;PCA_features_0.25;4.721141184632235;[4.5761238080890285, 4.668343158803216, 4.918956587004463]
SG_11_2_1;SNV;PCA_features_0.25;4.740425965124447;[4.503065025081077, 4.772401967172895, 4.945810903119371]
None;None;None;4.764074738326613;[4.689135304137806, 4.603800190489104, 4.99928872035293]
ASLSBaseline;SNV;PCA_features_0.25;4.803010343509881;[4.485373467430164, 4.815994204607735, 5.107663358491747]
SG_21_2_1;SNV;PCA_features_0.25;4.827852572345743;[4.753020022967436, 4.792719026169317, 4.937818667900477]
SG_21_3_2;SNV;PCA_features_0.25;4.839094812238433;[4.756339539161258, 4.783634198588935, 4.977310698965106]
None;SNV;PCA_features_0.25;4.860723774300831;[4.825348375675596, 4.671054291130848, 5.0857686560960484]
SG_15_3_2;SNV;PCA_features_0.25;4.886051034119988;[4.772785487144519, 4.7589656304946155, 5.126401984720828]
SG_15_3_2;None;PCA_features_0.25;4.922896661322889;[4.8347359009991955, 4.8883882967284285, 5.045565786241042]
ASLSBaseline;EMSC;None;5.341915767625216;[5.5094227161458695, 4.654050508326282, 5.8622740784034955]
SG_11_2_1;EMSC;None;5.5512889001354155;[5.249558442547263, 5.535062370124776, 5.86924588773421]
SG_15_2_1;EMSC;None;5.672017870664789;[5.725706809167768, 5.649537933498595, 5.640808869328002]
SG_21_2_1;EMSC;None;5.7677051881415125;[5.864360297110808, 5.687961129308105, 5.7507941380056256]
None;EMSC;None;5.964617687492532;[5.809909815588033, 5.839127029846983, 6.244816217042581]
SG_21_3_2;EMSC;None;6.131911630651385;[6.0382158605988145, 5.974463013634809, 6.383056017720531]
SG_15_3_2;EMSC;None;6.2015655003195;[6.0689529581172375, 5.918821744030496, 6.6169217988107665]
SG_21_3_2;EMSC;PCA_features_0.25;6.967859710650717;[7.033850780512623, 7.127292384673298, 6.742435966766229]
SG_11_2_1;EMSC;PCA_features_0.25;7.242250546230429;[7.2283530904605815, 7.504524872457099, 6.993873675773606]
SG_15_3_2;EMSC;PCA_features_0.25;7.282368690928329;[7.374079537442855, 6.951463531726599, 7.5215630036155305]
SG_21_2_1;EMSC;PCA_features_0.25;7.314714671034383;[7.505186760142689, 6.9441795590475355, 7.494777693912924]
SG_15_2_1;EMSC;PCA_features_0.25;7.767827582155301;[7.534747529099657, 7.615111968764445, 8.153623248601802]
ASLSBaseline;EMSC;PCA_features_0.25;7.8002941801776435;[8.305867783584553, 7.639861547331812, 7.455153209616566]
None;EMSC;PCA_features_0.25;8.160978934200065;[8.902492773038976, 7.967201754125198, 7.613242275436023]
