shape;scatter;pca;mean_score;fold_scores
None;None;PCA_features_0.25;3.3688199578340297;[3.3777584091179187, 3.3500311665000106, 3.378670297884159]
SG_21_2_1;SNV;PCA_features_0.25;3.387885426769769;[3.443953130995836, 3.4168930724351045, 3.302810076878367]
SG_21_3_2;SNV;PCA_features_0.25;3.4398852142574867;[3.3733236928173698, 3.538069109361754, 3.4082628405933364]
None;SNV;None;3.4457983198530298;[3.8363101771808226, 3.3734752308122515, 3.127609551566016]
SG_21_2_1;None;PCA_features_0.25;3.454590105704592;[3.4714425767221604, 3.3547048335180296, 3.537622906873586]
SG_15_2_1;SNV;PCA_features_0.25;3.4653738522449298;[3.5216043305490596, 3.3527839760641234, 3.5217332501216063]
ASLSBaseline;None;PCA_features_0.25;3.479302264693582;[3.5089407440853204, 3.515478600699598, 3.413487449295827]
SG_21_3_2;None;PCA_features_0.25;3.4796894787947763;[3.4320262036327973, 3.453650616727031, 3.5533916160245003]
SG_15_3_2;SNV;PCA_features_0.25;3.5131613420373866;[3.569940544622493, 3.6793808053454335, 3.290162676144232]
SG_11_2_1;SNV;PCA_features_0.25;3.5269328048384048;[3.535720399981706, 3.47855753866826, 3.5665204758652473]
None;SNV;PCA_features_0.25;3.541886394170812;[3.5219705490363493, 3.505464492801096, 3.59822414067499]
ASLSBaseline;SNV;PCA_features_0.25;3.5543733021046577;[3.6580651853170445, 3.5429181256938667, 3.4621365953030616]
SG_15_3_2;None;PCA_features_0.25;3.5589227309288667;[3.633779361774779, 3.6295364274543553, 3.4134524035574665]
SG_21_2_1;None;None;3.5626308522655745;[3.920562568892967, 3.415786138735618, 3.3515438491681397]
SG_11_2_1;None;PCA_features_0.25;3.5686383911726502;[3.640217538028126, 3.418828534397388, 3.6468691010924377]
SG_21_2_1;SNV;None;3.5847833222135628;[4.079571472092049, 3.1130579271954075, 3.561720567353233]
SG_15_2_1;None;None;3.600881879531013;[3.902635326001765, 3.6654064514267315, 3.2346038611645427]
SG_15_2_1;None;PCA_features_0.25;3.616191883283291;[3.5786899034091393, 3.7636419729433643, 3.5062437734973706]
SG_11_2_1;None;None;3.62421821968235;[4.136214672444612, 3.460629377563631, 3.2758106090388086]
SG_21_3_2;SNV;None;3.627197720473164;[4.047688362591329, 3.2201922490403376, 3.6137125497878237]
SG_11_2_1;SNV;None;3.6409376028261033;[4.053875099338297, 3.2215185574596594, 3.6474191516803542]
SG_15_3_2;None;None;3.667161529184533;[3.779575622344862, 3.820706549264978, 3.4012024159437595]
SG_15_2_1;SNV;None;3.6786067710751014;[4.078869751364569, 3.363286166383738, 3.593664395476997]
SG_15_3_2;SNV;None;3.678788277133736;[3.920333651288208, 3.5933869594006578, 3.522644220712342]
ASLSBaseline;None;None;3.692293652178996;[3.8020849551812463, 3.819725172799851, 3.4550708285558898]
SG_21_3_2;None;None;3.6939330862709894;[3.7588348434745487, 3.8161904982541563, 3.5067739170842622]
SG_21_2_1;EMSC;None;3.791478713627511;[3.878505819978154, 3.9714243636414186, 3.5245059572629613]
SG_15_2_1;EMSC;None;3.8015591391265153;[3.880288721870603, 4.020174288288001, 3.5042144072209402]
ASLSBaseline;SNV;None;3.815766790568428;[4.382305622120958, 3.6322238640635254, 3.4327708855208017]
SG_15_3_2;EMSC;PCA_features_0.25;3.841197934963185;[3.9340719102045156, 3.9797108978295843, 3.6098109968554537]
SG_21_3_2;EMSC;PCA_features_0.25;3.8474557035772636;[3.911911673934557, 3.6715686445942874, 3.958886792202947]
ASLSBaseline;EMSC;None;3.8630021687758287;[3.720066710063132, 4.21453886355485, 3.654400932709504]
ASLSBaseline;EMSC;PCA_features_0.25;3.9107831816214085;[3.841616765251863, 3.8257376312039573, 4.064995148408405]
SG_15_2_1;EMSC;PCA_features_0.25;3.9118738095284207;[4.034744794354782, 3.9094731457263894, 3.791403488504091]
None;EMSC;None;3.918495276585476;[3.9317087336738403, 4.10027776537236, 3.723499330710225]
SG_11_2_1;EMSC;PCA_features_0.25;3.9384419901340078;[4.048035721250093, 4.0760489890335565, 3.6912412601183733]
SG_11_2_1;EMSC;None;3.9474012778237952;[4.061147080212693, 4.032638991829314, 3.7484177614293785]
None;EMSC;PCA_features_0.25;4.02109395914994;[4.084521405563914, 3.77707244301348, 4.201688028872426]
SG_15_3_2;EMSC;None;4.057945009789813;[4.133580746256989, 3.862015851240249, 4.178238431872199]
SG_21_2_1;EMSC;PCA_features_0.25;4.085298742692767;[4.136734743770537, 4.3319344600439145, 3.787227024263848]
SG_21_3_2;EMSC;None;4.174084392729156;[4.189915930351324, 4.399180587263759, 3.9331566605723856]
None;None;None;4.210755309385108;[4.568288500782014, 3.6311200534765633, 4.432857373896745]
