shape;scatter;pca;mean_score;fold_scores
SG_11_2_1;None;None;1.2981013665375405;[0.9317328120514555, 1.3757213363743706, 1.5868499511867955]
SG_21_2_1;None;None;1.3230260712320725;[0.9695362057212726, 1.4650510786114428, 1.5344909293635023]
ASLSBaseline;None;None;1.3637119458029376;[1.0175772988984662, 1.3782310633708732, 1.6953274751394731]
SG_15_2_1;None;None;1.3640033805826546;[1.060303818639379, 1.4115105345707106, 1.6201957885378742]
SG_21_3_2;None;None;1.3737948622290166;[0.9567582678477127, 1.3030018612526568, 1.8616244575866805]
SG_21_2_1;SNV;None;1.4201734651726945;[1.2527192154823288, 1.4819797038945564, 1.5258214761411981]
SG_15_3_2;None;None;1.425456802437532;[1.0820226118321317, 1.4439661961120507, 1.750381599368414]
SG_11_2_1;SNV;None;1.4445593931120682;[0.9833265444593675, 1.6364567531794345, 1.7138948816974022]
SG_15_2_1;SNV;None;1.478447461437377;[1.0560399653369155, 1.5406175847771586, 1.8386848341980566]
ASLSBaseline;SNV;None;1.5256654915323171;[1.2308269017585145, 1.507175023732056, 1.8389945491063804]
None;None;None;1.5381330501106696;[1.0951736798120413, 1.4819343926659343, 2.037291077854033]
None;SNV;None;1.5807295048703658;[1.3493657807835275, 1.5443901690752322, 1.8484325647523376]
SG_21_3_2;SNV;None;1.6635947285688797;[1.209981372573779, 1.6794550225432197, 2.1013477905896405]
None;SNV;PCA_features_0.25;1.8053127936151094;[1.467252943234472, 1.8064419953388233, 2.142243442272033]
SG_15_3_2;SNV;None;1.8751995670680095;[1.593055716857043, 1.9221370334808576, 2.110405950866128]
ASLSBaseline;None;PCA_features_0.25;1.8907784238277399;[1.3355612234411822, 2.2793187047570584, 2.0574553432849787]
ASLSBaseline;SNV;PCA_features_0.25;1.9438859016066068;[1.7625372461239996, 2.1333017519991926, 1.9358187066966281]
SG_21_2_1;SNV;PCA_features_0.25;2.0587182478897916;[1.5657129625899615, 2.29585603867452, 2.3145857424048937]
None;None;PCA_features_0.25;2.17508816336806;[2.04172919303615, 2.2267552570865834, 2.2567800399814475]
SG_15_2_1;SNV;PCA_features_0.25;2.180863654576101;[1.7683081041219486, 2.3484493962210586, 2.4258334633852954]
SG_15_2_1;None;PCA_features_0.25;2.211338866125933;[1.8505203405448232, 2.619432163188794, 2.164064094644182]
SG_21_2_1;None;PCA_features_0.25;2.233506114044516;[1.8183936746769696, 2.323084688479119, 2.5590399789774585]
SG_21_3_2;None;PCA_features_0.25;2.4932620572888067;[2.1039802614599044, 2.7545861184888984, 2.6212197919176172]
SG_21_3_2;SNV;PCA_features_0.25;2.5557837375839685;[1.9482798863811053, 2.9646248051483695, 2.7544465212224303]
SG_11_2_1;EMSC;None;2.5675387082900607;[2.0153490483623915, 2.7149287120729357, 2.972338364434855]
SG_11_2_1;SNV;PCA_features_0.25;2.604728845484802;[2.3472252287105504, 2.8099709215167232, 2.6569903862271325]
None;EMSC;None;2.6151274988498354;[2.146910578277382, 2.9986104993814577, 2.699861418890667]
SG_15_3_2;SNV;PCA_features_0.25;2.625373835884926;[2.3254128229657947, 2.734500270949882, 2.8162084137391004]
SG_15_2_1;EMSC;PCA_features_0.25;2.6262508596611323;[2.317479343772032, 2.7320989985238917, 2.8291742366874737]
SG_11_2_1;None;PCA_features_0.25;2.6592134045042277;[2.318522401462894, 2.869402284292879, 2.7897155277569103]
SG_15_3_2;None;PCA_features_0.25;2.6651926559765577;[2.3019305168828708, 2.7853735693736295, 2.9082738816731735]
SG_11_2_1;EMSC;PCA_features_0.25;2.6896606085376846;[2.2215625246507464, 2.721077681981229, 3.126341618981078]
SG_15_2_1;EMSC;None;2.7372314666832396;[2.515238079826119, 2.75623742275247, 2.9402188974711305]
SG_21_3_2;EMSC;None;2.7434623977293047;[2.507904706102362, 2.6517868816489756, 3.0706956054365757]
SG_15_3_2;EMSC;None;2.76422690723968;[2.374480234014619, 2.8601784898226237, 3.0580219978817977]
SG_15_3_2;EMSC;PCA_features_0.25;2.7893885891570336;[2.4113209796435378, 2.954508123883361, 3.0023366639442024]
ASLSBaseline;EMSC;None;2.792995158546414;[2.5231326888793837, 3.200835209621214, 2.655017577138644]
SG_21_3_2;EMSC;PCA_features_0.25;2.8214756169036406;[2.5047225284659413, 2.889779707601312, 3.0699246146436674]
SG_21_2_1;EMSC;None;2.934679186035869;[2.587185729075935, 3.0092503210952044, 3.207601507936469]
SG_21_2_1;EMSC;PCA_features_0.25;3.030374495184222;[2.6659277409422266, 3.0833537903297796, 3.34184195428066]
ASLSBaseline;EMSC;PCA_features_0.25;3.136920645124833;[2.9687848353851374, 3.1557370708534616, 3.2862400291358993]
None;EMSC;PCA_features_0.25;3.38813381539137;[3.2143959653825416, 2.81217482363925, 4.137830657152318]
