shape;scatter;pca;mean_score;fold_scores
SG_15_3_2;SNV;None;0.8087562106978804;[0.933371013912859, 0.8413098775476981, 0.651587740633084]
SG_21_3_2;SNV;None;0.8449922151289012;[0.9564142880651548, 0.8417300766415963, 0.7368322806799522]
SG_15_3_2;None;None;0.8551653319798254;[0.9528037646051303, 0.8343737821993479, 0.7783184491349981]
SG_15_2_1;None;PCA_features_0.25;0.8797305003045307;[1.0424535665926586, 0.7951899417136425, 0.801547992607291]
None;None;PCA_features_0.25;0.8832854866046973;[1.0531578935532542, 0.8741175295834188, 0.7225810366774187]
SG_15_2_1;SNV;PCA_features_0.25;0.8865090025580254;[1.1110890668834914, 0.7962504458966051, 0.7521874948939796]
ASLSBaseline;None;PCA_features_0.25;0.8992650702124084;[0.9657488085839442, 0.9758323894581509, 0.7562140125951303]
SG_21_2_1;SNV;None;0.9071118914973719;[1.0524374202601545, 0.849443026486945, 0.8194552277450161]
SG_11_2_1;None;PCA_features_0.25;0.9112528884917968;[1.091972643549611, 0.7842684695029613, 0.8575175524228179]
SG_21_2_1;SNV;PCA_features_0.25;0.9116724613361414;[1.0723435998458986, 0.8905925924351012, 0.7720811917274243]
SG_21_3_2;None;None;0.914360181588607;[1.0273102261063534, 0.9122938774164104, 0.8034764412430568]
SG_21_3_2;EMSC;PCA_features_0.25;0.9189133135803095;[0.9925734669777156, 0.9562921190733568, 0.8078743546898558]
SG_21_3_2;SNV;PCA_features_0.25;0.9205452933666821;[1.0869479422744126, 0.7336739162132433, 0.9410140216123902]
SG_15_3_2;None;PCA_features_0.25;0.9226132963192608;[1.024413054087195, 0.99550419334842, 0.7479226415221676]
ASLSBaseline;None;None;0.9259082368553524;[1.0384996130844146, 0.9332728433892278, 0.8059522540924148]
SG_21_3_2;None;PCA_features_0.25;0.9262686583069043;[1.047182015523303, 0.9732742207680423, 0.7583497386293677]
SG_11_2_1;SNV;None;0.9265116037499116;[1.0609802919114166, 0.8729159361599068, 0.8456385831784117]
SG_15_2_1;SNV;None;0.927239658898419;[1.0672928716905248, 0.8431426658590491, 0.8712834391456831]
SG_11_2_1;None;None;0.9302713208885692;[1.042860805785161, 0.9207059786859028, 0.8272471781946438]
SG_21_2_1;None;PCA_features_0.25;0.9359349212677665;[1.1122223042933503, 0.877403045276241, 0.8181794142337079]
ASLSBaseline;SNV;PCA_features_0.25;0.9361043820150238;[1.0611465755429441, 0.9871006965413112, 0.7600658739608156]
SG_21_2_1;None;None;0.9371964380426968;[1.0947220189916251, 0.9101767188636852, 0.80669057627278]
SG_15_2_1;None;None;0.9433443489593426;[1.0635224532002987, 0.9303250265362057, 0.8361855671415233]
SG_15_3_2;SNV;PCA_features_0.25;0.9510715903058978;[1.036598531156062, 1.0248630379717205, 0.7917532017899107]
SG_15_3_2;EMSC;PCA_features_0.25;0.9519742166734022;[1.0375555600310864, 0.9504760259387022, 0.8678910640504182]
ASLSBaseline;SNV;None;0.9593197645526693;[1.1439865603920198, 0.8747113405975474, 0.8592613926684406]
None;SNV;PCA_features_0.25;0.9622922943081192;[1.0650797054906507, 0.9711857031689919, 0.8506114742647152]
None;SNV;None;0.9664567015001732;[1.1082652224089862, 0.8992986206351601, 0.8918062614563733]
ASLSBaseline;EMSC;None;0.9739525466882536;[1.071147126808093, 0.9949778926576637, 0.8557326205990043]
SG_11_2_1;SNV;PCA_features_0.25;0.9864242299685394;[1.1483165128416764, 0.9832014403207522, 0.8277547367431897]
SG_21_3_2;EMSC;None;1.0093695066363881;[1.0685199038076405, 1.0730929948297445, 0.8864956212717795]
SG_15_3_2;EMSC;None;1.016288773659135;[1.1642983859376728, 1.0409358547548684, 0.8436320802848637]
SG_15_2_1;EMSC;PCA_features_0.25;1.0190523856905338;[1.15671171240555, 1.0698438079645334, 0.8306016367015182]
ASLSBaseline;EMSC;PCA_features_0.25;1.023361442090475;[1.253589577778554, 0.9593779867023379, 0.8571167617905334]
SG_11_2_1;EMSC;PCA_features_0.25;1.0339153506653236;[1.2096554650395277, 1.0695601225005429, 0.8225304644558997]
SG_21_2_1;EMSC;PCA_features_0.25;1.0419657571351273;[1.1758945835148038, 1.041805585426453, 0.9081971024641249]
None;EMSC;None;1.0726177718297507;[1.2698990430253274, 1.0234302608028272, 0.9245240116610977]
None;EMSC;PCA_features_0.25;1.1034758586368463;[1.2485936150868582, 1.1445549264616033, 0.9172790343620778]
SG_11_2_1;EMSC;None;1.104359484331389;[1.2159355827899008, 1.1497871020041461, 0.9473557682001206]
SG_15_2_1;EMSC;None;1.1152782400612475;[1.2313164032036, 1.1830317506155634, 0.9314865663645794]
SG_21_2_1;EMSC;None;1.1635604936613733;[1.2580934131088162, 1.2076693601497488, 1.024918707725555]
None;None;None;1.247695945712391;[1.477099805798575, 1.1698589560228219, 1.096129075315776]
