shape;scatter;pca;mean_score;fold_scores
SG_15_3_2;None;None;1.1374322866085573;[1.0113890708352142, 1.1333052487719628, 1.267602540218495]
SG_21_2_1;SNV;None;1.151409668463186;[1.1038274474875334, 1.052105242998011, 1.2982963149040134]
SG_15_2_1;SNV;None;1.1543315753991468;[1.0253890457498962, 1.074419982354132, 1.3631856980934125]
SG_11_2_1;SNV;None;1.1708377005553487;[1.029395304161742, 1.106893211983769, 1.3762245855205348]
SG_21_3_2;None;None;1.1785414786955166;[1.054556057442988, 1.105567705068601, 1.3755006735749609]
SG_15_2_1;None;None;1.1870441209202385;[1.0905014936600084, 1.1146041838743865, 1.3560266852263203]
SG_21_2_1;None;None;1.1931494696385554;[1.1813202385497563, 1.0846698650696054, 1.3134583052963047]
SG_11_2_1;None;None;1.2049944465286055;[1.1422497716511761, 1.1176779719148617, 1.3550555960197785]
SG_15_3_2;SNV;None;1.221265351427505;[1.1031786749363757, 1.1922716049633781, 1.368345774382761]
SG_21_3_2;SNV;None;1.238286710183701;[1.1303701124260754, 1.1874272724402744, 1.3970627456847529]
SG_15_2_1;SNV;PCA_features_0.25;1.2700537380457046;[1.1527672299185183, 1.299234534812467, 1.358159449406129]
ASLSBaseline;SNV;None;1.2715846856113062;[1.1562464029305894, 1.1947225342497698, 1.4637851196535596]
None;SNV;None;1.2846726756359403;[1.2496341022247441, 1.1784803787524831, 1.4259035459305938]
SG_11_2_1;SNV;PCA_features_0.25;1.287906485244005;[1.157319812893557, 1.2755064393516073, 1.4308932034868507]
None;None;PCA_features_0.25;1.351497391544646;[1.2581177575729752, 1.3543326515430654, 1.4420417655178979]
SG_11_2_1;None;PCA_features_0.25;1.3683757195081643;[1.2465174771213117, 1.3423222843717308, 1.5162873970314505]
SG_15_2_1;None;PCA_features_0.25;1.3722907782975593;[1.3171679310787285, 1.3148482351657351, 1.4848561686482145]
None;SNV;PCA_features_0.25;1.3776349182130714;[1.2644003144337082, 1.3216389515481997, 1.5468654886573059]
SG_21_2_1;SNV;PCA_features_0.25;1.3859507954314818;[1.2420007305467973, 1.3457089429899507, 1.5701427127576977]
ASLSBaseline;SNV;PCA_features_0.25;1.4020498798359877;[1.2801838819133216, 1.3779518716311587, 1.5480138859634824]
SG_21_2_1;None;PCA_features_0.25;1.4123339197753448;[1.3019306196878269, 1.4009606088552136, 1.5341105307829932]
ASLSBaseline;None;None;1.4207746012683928;[1.3765689613745795, 1.3547473818781857, 1.531007460552413]
SG_21_3_2;EMSC;None;1.4210709093125926;[1.2994662586163481, 1.3682727512538468, 1.5954737180675829]
SG_21_3_2;None;PCA_features_0.25;1.425399805707972;[1.3410577991133832, 1.3424262522908914, 1.592715365719641]
SG_21_3_2;SNV;PCA_features_0.25;1.4262629675699932;[1.4323229867748675, 1.3615519289201223, 1.4849139870149894]
ASLSBaseline;None;PCA_features_0.25;1.4336713687664655;[1.340674880320347, 1.374917079366264, 1.5854221466127858]
SG_15_3_2;EMSC;None;1.4534669739825565;[1.3804656365379866, 1.3811155333551948, 1.5988197520544885]
None;EMSC;None;1.4785587225245234;[1.4001771323705554, 1.435737765573272, 1.5997612696297423]
SG_21_2_1;EMSC;None;1.4930767162373233;[1.496201924245517, 1.406176584265421, 1.5768516402010322]
None;None;None;1.514745956869031;[1.5274110316637595, 1.5116002941687068, 1.5052265447746263]
SG_15_3_2;SNV;PCA_features_0.25;1.5323379935099897;[1.4724378827264473, 1.4710860052970312, 1.6534900925064902]
SG_15_3_2;None;PCA_features_0.25;1.542866816066682;[1.4469273743841773, 1.5215152751398735, 1.6601577986759952]
SG_11_2_1;EMSC;None;1.5654427712657712;[1.5245324778827194, 1.4567466330839896, 1.7150492028306048]
ASLSBaseline;EMSC;None;1.5656532092347486;[1.5535205958504883, 1.4591574601438324, 1.684281571709925]
SG_15_2_1;EMSC;None;1.5755992249953072;[1.5738658545485003, 1.4479627549768697, 1.7049690654605518]
SG_21_3_2;EMSC;PCA_features_0.25;1.8031791795266738;[1.673332744029653, 1.7882645806162283, 1.9479402139341406]
SG_21_2_1;EMSC;PCA_features_0.25;1.8546863510849343;[1.82128954518359, 1.769731447787327, 1.9730380602838857]
None;EMSC;PCA_features_0.25;1.8637990741188724;[1.867459226454796, 1.6930587692444128, 2.0308792266574085]
ASLSBaseline;EMSC;PCA_features_0.25;1.9125002275005203;[1.9506941983461554, 1.8003731148188624, 1.986433369336543]
SG_15_3_2;EMSC;PCA_features_0.25;1.936961189243549;[1.8187050992937985, 1.9674227320259148, 2.024755736410934]
SG_15_2_1;EMSC;PCA_features_0.25;2.1233713052375367;[2.066914078081662, 2.0007686061056997, 2.302431231525247]
SG_11_2_1;EMSC;PCA_features_0.25;2.184228920660635;[2.203134730289194, 2.141145730086054, 2.2084063016066557]
