shape;scatter;pca;mean_score;fold_scores
SG_21_2_1;None;None;11.774097226897906;[15.02351548317566, 8.886156652801436, 11.412619544716618]
ASLSBaseline;None;None;14.204522613026315;[20.786114193328576, 10.007285149523652, 11.820168496226719]
SG_15_3_2;None;None;14.783681227919883;[19.94053183200755, 13.670040537985308, 10.740471313766788]
SG_11_2_1;None;None;15.373058083824219;[20.996608236776122, 10.18710957119381, 14.935456443502723]
None;None;PCA_features_0.25;15.39551847823576;[14.815722229333339, 12.106675806876137, 19.264157398497805]
SG_15_2_1;None;None;15.492985236774318;[24.756168187941594, 9.46715618141953, 12.255631340961832]
SG_11_2_1;SNV;None;15.67205036396991;[25.125283646398493, 10.296787260664544, 11.594080184846694]
SG_21_3_2;SNV;None;16.872220952470773;[19.05486333503535, 16.469839054140326, 15.091960468236644]
SG_15_2_1;SNV;None;17.82479921272281;[25.080806097304222, 14.47377004119791, 13.91982149966629]
SG_15_3_2;SNV;None;17.869744762071303;[23.353795990472314, 18.708411314720628, 11.547026981020961]
SG_21_3_2;None;PCA_features_0.25;18.20021364314119;[26.910868541261607, 16.473200516466505, 11.216571871695459]
SG_21_3_2;None;None;18.655394507128474;[29.042852838310942, 11.590942377561316, 15.332388305513168]
SG_21_2_1;SNV;None;18.676160686000255;[26.689980985904217, 10.399851242648692, 18.93864982944785]
SG_11_2_1;None;PCA_features_0.25;19.570582875398802;[17.292602000730437, 24.056956151430803, 17.362190474035177]
ASLSBaseline;SNV;None;19.726793730981665;[20.9821790081985, 13.811048203625447, 24.387153981121045]
SG_15_3_2;None;PCA_features_0.25;19.876317923210518;[22.61780914273613, 13.902929239957588, 23.108215386937832]
SG_15_2_1;None;PCA_features_0.25;20.06069254281329;[22.76989422341287, 18.287667686349277, 19.124515718677724]
ASLSBaseline;None;PCA_features_0.25;20.71313058328701;[21.11061188289111, 14.51912037467805, 26.50965949229187]
SG_21_2_1;SNV;PCA_features_0.25;21.77189852488445;[26.768127475419114, 17.09497922687713, 21.452588872357108]
None;None;None;21.891867327501;[18.26763988660411, 32.928875802268806, 14.479086293630084]
None;SNV;PCA_features_0.25;22.001935058073823;[30.45480959976819, 17.7791471665197, 17.771848407933575]
ASLSBaseline;SNV;PCA_features_0.25;23.417962401447568;[24.30287717910364, 18.624351315841064, 27.326658709398004]
SG_21_2_1;None;PCA_features_0.25;23.668846959771347;[29.210053979347144, 21.00637025998887, 20.790116639978027]
None;SNV;None;25.492585990487743;[34.0566496632044, 15.67941907550395, 26.741689232754894]
SG_15_2_1;SNV;PCA_features_0.25;26.121976806445588;[40.89725231287115, 18.1526646890782, 19.31601341738741]
SG_15_2_1;EMSC;None;27.718797001542452;[32.9971875947213, 17.865522523085854, 32.293680886820205]
SG_11_2_1;EMSC;PCA_features_0.25;28.541192682340778;[35.685211807838876, 23.661782596091452, 26.276583643092017]
SG_11_2_1;EMSC;None;29.43212233751359;[37.00723327033072, 16.941794819784416, 34.347338922425635]
SG_21_2_1;EMSC;None;29.6155977215498;[32.154054942569, 19.570000638541963, 37.12273758353844]
SG_11_2_1;SNV;PCA_features_0.25;30.239071700339846;[33.49518155455327, 33.243504257938966, 23.978529288527298]
SG_15_3_2;SNV;PCA_features_0.25;32.27147569038974;[39.94978577435062, 29.833167804343706, 27.03147349247489]
SG_15_2_1;EMSC;PCA_features_0.25;32.7582710367825;[37.09719566586097, 27.167596091219075, 34.010021353267454]
ASLSBaseline;EMSC;PCA_features_0.25;33.355800872010725;[44.16109437309392, 24.77243605294924, 31.133872189989034]
SG_15_3_2;EMSC;None;35.38116781997574;[29.523530189231096, 40.749855835743965, 35.87011743495217]
SG_21_2_1;EMSC;PCA_features_0.25;35.449383454621284;[36.87143209334058, 22.298636007471337, 47.17808226305193]
SG_21_3_2;SNV;PCA_features_0.25;36.51222748516501;[31.640680898844167, 41.095239929037774, 36.8007616276131]
ASLSBaseline;EMSC;None;37.52403136031881;[44.43727428576109, 29.3339339318172, 38.80088586337812]
SG_15_3_2;EMSC;PCA_features_0.25;38.05190405457524;[30.747429913802492, 38.96146397621731, 44.44681827370592]
SG_21_3_2;EMSC;None;40.856358444924865;[37.89430231659666, 39.406963611990676, 45.26780940618726]
None;EMSC;PCA_features_0.25;42.13034142336301;[50.42249616288996, 39.46511724318895, 36.5034108640101]
None;EMSC;None;43.68552380726042;[41.934776072239984, 42.205415566577734, 46.91637978296354]
SG_21_3_2;EMSC;PCA_features_0.25;47.9329336148218;[50.351600509369916, 41.43970882776756, 52.00749150732792]
