shape;scatter;pca;mean_score;fold_scores
SG_15_2_1;None;None;0.09748298969835939;[0.08274795561716676, 0.10060871170478317, 0.10909230177312822]
ASLSBaseline;SNV;None;0.10017948369383149;[0.09618662615506506, 0.09642402390335461, 0.1079278010230748]
SG_21_2_1;SNV;None;0.10019242714493919;[0.08597895951107826, 0.10668618908422137, 0.10791213283951791]
SG_15_2_1;SNV;None;0.100720216488504;[0.09295749641229906, 0.09925409262454685, 0.10994906042866613]
SG_11_2_1;SNV;None;0.10389617690554716;[0.09290382341409754, 0.10813026085082603, 0.11065444645171789]
SG_21_2_1;None;None;0.10483003996452667;[0.08593500817128336, 0.11869368551708634, 0.10986142620521029]
ASLSBaseline;None;None;0.10795970434896697;[0.09208960201677, 0.12031258043482833, 0.11147693059530263]
SG_11_2_1;None;None;0.10801246238724889;[0.08844250317432281, 0.11686984160603947, 0.11872504238138441]
SG_21_3_2;SNV;None;0.11581405732631722;[0.09571795792133818, 0.12980780417094293, 0.12191640988667059]
SG_15_3_2;SNV;None;0.1172470369695503;[0.1050666904423715, 0.11931956244535649, 0.12735485802092292]
SG_21_3_2;None;None;0.12001697076324287;[0.09590835066763767, 0.1294347036936958, 0.13470785792839512]
SG_15_3_2;None;None;0.12226637277183557;[0.10220535474135284, 0.1259200503235976, 0.13867371325055625]
SG_21_3_2;SNV;PCA_features_0.25;0.12787007626901023;[0.12127755834447518, 0.13089824721920532, 0.13143442324335025]
None;SNV;None;0.12924220719334945;[0.11609616096218164, 0.14004166481560873, 0.13158879580225796]
SG_15_2_1;None;PCA_features_0.25;0.1298008387555457;[0.11443913407694864, 0.13431378694376594, 0.14064959524592252]
SG_15_3_2;SNV;PCA_features_0.25;0.13198973208338363;[0.12377309516067199, 0.13314650013304882, 0.13904960095643004]
SG_11_2_1;SNV;PCA_features_0.25;0.13208222388366977;[0.12993917626854712, 0.1359592986449885, 0.13034819673747366]
SG_21_3_2;None;PCA_features_0.25;0.1325247697045397;[0.1289936379891324, 0.13248889240102377, 0.1360917787234629]
ASLSBaseline;None;PCA_features_0.25;0.13427870589465155;[0.12263846115587498, 0.12778580048088092, 0.15241185604719876]
SG_21_2_1;None;PCA_features_0.25;0.13438830222007517;[0.12648879414970965, 0.13416412480011422, 0.1425119877104016]
SG_11_2_1;None;PCA_features_0.25;0.13454487165913112;[0.11842220842192608, 0.12945304097211444, 0.15575936558335288]
SG_15_3_2;None;PCA_features_0.25;0.13502252919948268;[0.12298083426458849, 0.13328814221271468, 0.1487986111211449]
None;EMSC;None;0.13558878671520538;[0.13172076795586268, 0.14593654356621732, 0.12910904862353612]
SG_15_2_1;SNV;PCA_features_0.25;0.13592303579594292;[0.12275345918373512, 0.14714228459995604, 0.13787336360413754]
ASLSBaseline;SNV;PCA_features_0.25;0.13822851490164595;[0.12743778378182513, 0.14744148971990045, 0.13980627120321226]
SG_21_2_1;SNV;PCA_features_0.25;0.1402498066285265;[0.13511318151869978, 0.14813422125355594, 0.1375020171133239]
None;SNV;PCA_features_0.25;0.1445816422155977;[0.13662688761418695, 0.14684616697777322, 0.1502718720548329]
None;None;PCA_features_0.25;0.14673741810566768;[0.14812034544068312, 0.15539785074860207, 0.13669405812771782]
ASLSBaseline;EMSC;None;0.1472393611757018;[0.14751194974472076, 0.16097170542053574, 0.13323442836184893]
SG_21_2_1;EMSC;None;0.1524241040526009;[0.1477970365584815, 0.16720987745497404, 0.1422653981443472]
None;None;None;0.15382728362078554;[0.15366360395124307, 0.13796964524717575, 0.1698486016639378]
SG_11_2_1;EMSC;None;0.15438220346473977;[0.14961487415623997, 0.16475703266555516, 0.14877470357242412]
SG_15_2_1;EMSC;None;0.1552471630864525;[0.14478005393516127, 0.17570413116653508, 0.14525730415766114]
SG_21_3_2;EMSC;None;0.15801958812051997;[0.1553153940215067, 0.15615510587749482, 0.16258826446255834]
None;EMSC;PCA_features_0.25;0.1610158165347807;[0.16472552279348987, 0.16343105370558256, 0.1548908731052697]
SG_11_2_1;EMSC;PCA_features_0.25;0.16841486675262585;[0.16841205837260687, 0.17373660293603752, 0.1630959389492331]
ASLSBaseline;EMSC;PCA_features_0.25;0.17009458664582724;[0.1738797128900591, 0.1664949906875809, 0.16990905635984174]
SG_15_3_2;EMSC;None;0.17076053464972576;[0.1627372547664288, 0.17938314396493515, 0.1701612052178133]
SG_15_3_2;EMSC;PCA_features_0.25;0.17422056457432702;[0.16540063843524674, 0.18291597031394377, 0.17434508497379056]
SG_21_2_1;EMSC;PCA_features_0.25;0.17443631964642867;[0.1759437095153114, 0.17025161313618603, 0.1771136362877885]
SG_15_2_1;EMSC;PCA_features_0.25;0.17722683853412757;[0.17157182483464697, 0.17891430441902753, 0.1811943863487082]
SG_21_3_2;EMSC;PCA_features_0.25;0.17787171095862542;[0.1831478712350333, 0.1740255571139431, 0.17644170452689986]
