shape;scatter;pca;mean_score;fold_scores
None;None;None;8.101203734245656;[7.819077266031388, 6.980080965508072, 9.504452971197507]
SG_11_2_1;None;None;8.16215657955848;[7.868455653615181, 7.233633383059658, 9.384380702000604]
None;SNV;None;8.237435859829842;[8.631478053305774, 6.745390120225268, 9.335439405958487]
SG_15_2_1;None;None;8.297213243208537;[8.974201591553184, 6.855857362020185, 9.061580776052242]
SG_21_3_2;None;None;8.315691088704638;[8.083638226408135, 7.022024047393468, 9.84141099231231]
SG_11_2_1;SNV;None;8.400222529534261;[8.346141695924604, 7.210003719669715, 9.644522173008465]
SG_15_3_2;SNV;None;8.473013377676345;[8.161079560560461, 6.897512945549338, 10.360447626919235]
SG_15_3_2;None;None;8.525284936669609;[9.034683958701246, 7.1884109579292375, 9.352759893378346]
SG_21_2_1;SNV;None;8.529418865338846;[8.686847249773448, 7.612455394821095, 9.288953951421993]
SG_21_3_2;SNV;None;8.601475630985286;[8.711075498725531, 7.219338496166703, 9.874012898063624]
SG_21_2_1;None;None;8.718708967085197;[8.4784212395478, 6.710885247503474, 10.96682041420432]
ASLSBaseline;None;None;8.829906153129985;[9.008287789049817, 7.621659323120346, 9.859771347219793]
SG_15_2_1;SNV;None;9.159062058241606;[9.216983359676652, 7.76823299261735, 10.491969822430814]
ASLSBaseline;SNV;None;9.27638737139968;[9.619960772482093, 7.641363723613236, 10.567837618103711]
ASLSBaseline;None;PCA_features_0.25;12.45773104288378;[12.775709155611898, 10.92640726638808, 13.671076706651364]
None;None;PCA_features_0.25;12.485196153877325;[12.515321542170163, 10.992199032474593, 13.948067886987216]
SG_21_3_2;EMSC;None;12.569184701234528;[13.496069258424791, 10.141986768388032, 14.069498076890763]
SG_21_2_1;EMSC;None;12.73774036152413;[12.603170416212413, 10.063413192458594, 15.546637475901383]
SG_15_3_2;EMSC;None;12.844163078915534;[13.991701866528976, 10.44056933022804, 14.100218039989585]
SG_15_2_1;SNV;PCA_features_0.25;13.041223292981028;[12.819991462249515, 12.025966950721235, 14.277711465972333]
SG_11_2_1;None;PCA_features_0.25;13.105035220273898;[13.319974251801954, 11.781871193228469, 14.213260215791273]
None;SNV;PCA_features_0.25;13.12657244125217;[13.627900387578235, 11.554151259472567, 14.197665676705709]
SG_15_2_1;None;PCA_features_0.25;13.13709326944528;[13.837148602104389, 11.085382794828327, 14.488748411403128]
SG_21_2_1;None;PCA_features_0.25;13.164638565552693;[13.035447483969966, 11.93803434915083, 14.520433863537288]
SG_11_2_1;SNV;PCA_features_0.25;13.221012465609585;[13.914634622712715, 11.575346891074929, 14.17305588304111]
SG_21_3_2;SNV;PCA_features_0.25;13.287514697219713;[14.12288900662958, 10.436444418448138, 15.303210666581423]
SG_15_3_2;SNV;PCA_features_0.25;13.411525901939035;[13.43310862907366, 11.91064173197061, 14.890827344772832]
ASLSBaseline;SNV;PCA_features_0.25;13.413709960282633;[14.816073188395666, 10.882311534328258, 14.54274515812398]
SG_21_2_1;SNV;PCA_features_0.25;13.494666477437098;[12.777069589560076, 12.18559874523276, 15.521331097518459]
SG_15_2_1;EMSC;None;13.508011289575968;[13.10410200486497, 11.867853826278672, 15.55207803758426]
SG_15_3_2;None;PCA_features_0.25;13.607031409595118;[13.286451943897267, 12.395149203071714, 15.13949308181638]
SG_11_2_1;EMSC;None;13.663453843073071;[12.803906533230965, 12.677950123988426, 15.508504871999824]
ASLSBaseline;EMSC;None;13.967640804059648;[13.703785242091998, 11.209212620947538, 16.98992454913941]
SG_21_3_2;None;PCA_features_0.25;14.258762083849398;[13.956036231365523, 12.817834737867756, 16.002415282314914]
None;EMSC;None;15.219850516928416;[16.134300847600223, 12.988857853771576, 16.536392849413446]
SG_15_3_2;EMSC;PCA_features_0.25;15.806913940419554;[17.022694229652085, 14.391121609228849, 16.00692598237772]
SG_21_2_1;EMSC;PCA_features_0.25;15.865259636270144;[16.343542038270158, 13.540007348259246, 17.712229522281028]
ASLSBaseline;EMSC;PCA_features_0.25;15.897872495277268;[16.354905109203976, 14.466139863641176, 16.87257251298665]
SG_21_3_2;EMSC;PCA_features_0.25;16.03555286582058;[16.471213747678746, 14.821977666363921, 16.813467183419075]
SG_15_2_1;EMSC;PCA_features_0.25;16.07600025201398;[15.722503477968358, 15.067900722760468, 17.437596555313107]
SG_11_2_1;EMSC;PCA_features_0.25;16.189000542854483;[16.161403580624643, 14.89710098061311, 17.508497067325692]
None;EMSC;PCA_features_0.25;17.29141966219056;[17.78427130174993, 15.088309722780297, 19.001677962041448]
