shape;scatter;pca;mean_score;fold_scores
ASLSBaseline;SNV;None;0.24492767714350594;[0.24577333261465303, 0.2333421435192634, 0.25566755529660135]
SG_15_2_1;SNV;None;0.2572330873565074;[0.24240820482567452, 0.20734490176029177, 0.32194615548355593]
SG_21_3_2;SNV;None;0.2574100702438759;[0.24901280397314615, 0.22395783667382288, 0.2992595700846586]
SG_21_2_1;SNV;None;0.25947216825764086;[0.2547243550198029, 0.21363528707423102, 0.31005686267888866]
SG_11_2_1;SNV;None;0.26447663611748445;[0.2622405306583728, 0.22087801243390215, 0.31031136526017855]
None;SNV;None;0.2717459361173212;[0.27949247471439814, 0.22918990242264944, 0.30655543121491596]
ASLSBaseline;None;None;0.2975492067353205;[0.2572666219377922, 0.28764765940566656, 0.3477333388625027]
SG_15_3_2;SNV;None;0.2987680258537364;[0.2972106913864501, 0.2781827292101371, 0.3209106569646221]
SG_11_2_1;None;None;0.3047964491812976;[0.2596035496370237, 0.30677060701428405, 0.3480151908925851]
SG_15_2_1;None;None;0.31181989083691003;[0.26334782102198906, 0.31875136495504763, 0.35336048653369345]
SG_21_2_1;None;None;0.3157256154742969;[0.25775201589041413, 0.3134931355296913, 0.3759316950027852]
SG_21_3_2;None;None;0.32028666807224243;[0.28006486681597753, 0.25271968763712166, 0.42807544976362805]
SG_15_3_2;None;None;0.32988794813260824;[0.28808446219661127, 0.2661362615267878, 0.4354431206744256]
ASLSBaseline;SNV;PCA_features_0.25;0.37870659005455237;[0.3705859460697454, 0.34016390561907756, 0.4253699184748343]
SG_11_2_1;SNV;PCA_features_0.25;0.39904958278995056;[0.4035880966982451, 0.34156550878323516, 0.4519951428883716]
SG_15_2_1;SNV;PCA_features_0.25;0.40396445049201013;[0.40931000278615165, 0.36784764708725215, 0.4347357016026265]
SG_21_2_1;SNV;PCA_features_0.25;0.40721127571902666;[0.43189721688936655, 0.33092978154642577, 0.4588068287212876]
ASLSBaseline;None;PCA_features_0.25;0.40878491673313805;[0.39479125618160127, 0.3385070940809561, 0.49305639993685674]
SG_15_2_1;None;PCA_features_0.25;0.43358106410088126;[0.3929471638526987, 0.3916580060365631, 0.5161380224133821]
SG_21_3_2;SNV;PCA_features_0.25;0.4345076481042565;[0.4352086658534588, 0.4224341802822042, 0.4458800981771066]
None;SNV;PCA_features_0.25;0.43861240771140736;[0.4642803693654736, 0.44372230166349985, 0.4078345521052487]
SG_11_2_1;None;PCA_features_0.25;0.4472955164177695;[0.45278182189048316, 0.4161924851621582, 0.47291224220066724]
SG_21_2_1;None;PCA_features_0.25;0.4518295577637728;[0.4330264589168148, 0.38870319225264716, 0.5337590221218564]
SG_15_3_2;SNV;PCA_features_0.25;0.4710276534820374;[0.4683384093779992, 0.44486343321061494, 0.4998811178574981]
SG_21_3_2;None;PCA_features_0.25;0.4815220074454929;[0.5021257181997073, 0.4049485109667837, 0.5374917931699876]
None;None;PCA_features_0.25;0.5312920205514077;[0.5871834493986471, 0.49529281963889016, 0.5113997926166857]
SG_15_3_2;None;PCA_features_0.25;0.5851041323233553;[0.523209589858013, 0.5186118110774651, 0.7134909960345879]
None;None;None;0.7080445997524318;[0.6707656711285963, 0.7998806541109291, 0.6534874740177703]
None;EMSC;None;0.8168954072284906;[0.9214055858191987, 0.8563412453864078, 0.6729393904798654]
ASLSBaseline;EMSC;None;0.852529479052505;[0.963617400064638, 0.8677240824681542, 0.7262469546247228]
SG_21_2_1;EMSC;None;0.8827392779976263;[1.0173495975331002, 0.8958270139280489, 0.7350412225317298]
SG_15_2_1;EMSC;None;0.9393475566083916;[1.0408067594154766, 0.900129215553029, 0.8771066948566695]
SG_11_2_1;EMSC;None;0.9629593079451756;[1.0400518563826988, 0.9595244132877593, 0.8893016541650683]
None;EMSC;PCA_features_0.25;1.0114055127535897;[1.0795372451896856, 1.0127011849314165, 0.9419781081396666]
SG_15_3_2;EMSC;None;1.132516174776135;[1.151357267098909, 1.1006086370789643, 1.1455826201505321]
SG_21_3_2;EMSC;None;1.1560918098673356;[1.124571925610462, 1.1749371735782688, 1.1687663304132763]
SG_21_2_1;EMSC;PCA_features_0.25;1.1674295605866758;[1.2072838919158353, 1.1487420768073089, 1.1462627130368834]
SG_11_2_1;EMSC;PCA_features_0.25;1.2073870676027447;[1.2185464304524285, 1.185621410018122, 1.217993362337684]
SG_15_2_1;EMSC;PCA_features_0.25;1.2077520746568162;[1.2551860948482327, 1.1761239621452062, 1.1919461669770097]
ASLSBaseline;EMSC;PCA_features_0.25;1.2191857809534248;[1.2817202266449332, 1.1677633570618138, 1.208073759153527]
SG_15_3_2;EMSC;PCA_features_0.25;1.293736316928321;[1.3310936374363938, 1.219876062479103, 1.330239250869466]
SG_21_3_2;EMSC;PCA_features_0.25;1.3575314414357738;[1.4680192756767696, 1.2425814750268753, 1.361993573603676]
