shape;scatter;pca;mean_score;fold_scores
SG_21_3_2;None;None;0.34543258637458685;[0.2956549415626156, 0.43862036949405425, 0.3020224480670906]
SG_15_3_2;None;None;0.3602896716145077;[0.3108996527426806, 0.4720238524578927, 0.29794550964294986]
SG_21_2_1;None;None;0.3664034357282994;[0.33581589175018783, 0.45084509505161435, 0.312549320383096]
SG_15_2_1;None;None;0.3808289200990435;[0.3477350460191641, 0.4645101424310569, 0.33024157184690933]
SG_11_2_1;None;None;0.3837767203949509;[0.33621548254763467, 0.46583000928768775, 0.34928466934953045]
SG_21_3_2;SNV;None;0.39953119439980034;[0.3509443325301529, 0.5154677271109629, 0.3321815235582852]
ASLSBaseline;None;None;0.41337784013136236;[0.4083184722965808, 0.46116929614255553, 0.37064575195495064]
None;SNV;None;0.415122487714894;[0.3537009854686366, 0.5461636166592568, 0.34550286101678873]
SG_15_3_2;SNV;None;0.4284249635551161;[0.40567660816697354, 0.5290721602081916, 0.3505261222901832]
SG_21_3_2;SNV;PCA_features_0.25;0.4311380793801031;[0.4285664743504626, 0.5085409708513444, 0.35630679293850237]
SG_21_2_1;SNV;PCA_features_0.25;0.43881166201078486;[0.42696219771120936, 0.5264747342336489, 0.3629980540874963]
ASLSBaseline;EMSC;None;0.44227230633287967;[0.39929909298682353, 0.5371076213694741, 0.39041020464234144]
SG_15_3_2;SNV;PCA_features_0.25;0.4466912767001395;[0.4483660687655873, 0.5552904536429523, 0.3364173076918787]
SG_15_3_2;None;PCA_features_0.25;0.4475193634876087;[0.45900584900711894, 0.4980988035128362, 0.38545343794287085]
SG_15_2_1;None;PCA_features_0.25;0.4500786700086983;[0.4414664890271504, 0.518989552683629, 0.38977996831531525]
SG_21_3_2;None;PCA_features_0.25;0.4519267352981379;[0.452631533467701, 0.5058314166173984, 0.39731725580931443]
SG_21_2_1;EMSC;None;0.4529555631311076;[0.44847944985186217, 0.5068602942824769, 0.4035269452589836]
SG_11_2_1;SNV;PCA_features_0.25;0.45746109135383994;[0.4448671905941263, 0.5106640128416537, 0.41685207062573976]
SG_15_2_1;SNV;PCA_features_0.25;0.4576674286075244;[0.44076752931684476, 0.5332060636899012, 0.3990286928158273]
SG_11_2_1;EMSC;PCA_features_0.25;0.46015158551818325;[0.4522733618936109, 0.49977703750841834, 0.4284043571525205]
None;None;PCA_features_0.25;0.4660421080985562;[0.4665856853108513, 0.5226070705075205, 0.4089335684772967]
SG_21_2_1;SNV;None;0.4662270149695725;[0.4173899216290421, 0.5925818885657759, 0.3887092347138993]
SG_15_2_1;EMSC;None;0.4682328428442355;[0.4799046281031069, 0.504029718812035, 0.4207641816175646]
SG_11_2_1;None;PCA_features_0.25;0.468654210201542;[0.4700520420256914, 0.5533684385994464, 0.38254214997948827]
SG_11_2_1;EMSC;None;0.46901679916019917;[0.4633565046973568, 0.5045391064136415, 0.4391547863695991]
SG_21_2_1;None;PCA_features_0.25;0.47216464032914623;[0.46666393284049446, 0.5345783176355654, 0.41525167051137896]
ASLSBaseline;SNV;PCA_features_0.25;0.4736202414485658;[0.49287934157615976, 0.5316431487466277, 0.39633823402291013]
None;SNV;PCA_features_0.25;0.47501546135605716;[0.4359153509171549, 0.5585869561344019, 0.4305440770166148]
ASLSBaseline;None;PCA_features_0.25;0.475703969130235;[0.48364659883662625, 0.5181769805309497, 0.425288328023129]
SG_21_3_2;EMSC;None;0.4763394311780737;[0.49967915601439006, 0.5441192173638416, 0.38521992015598927]
SG_15_3_2;EMSC;None;0.47922726314488545;[0.4638526783277088, 0.5373315502188475, 0.43649756088810016]
SG_11_2_1;SNV;None;0.4807615449550933;[0.4286533487682135, 0.602199277122366, 0.4114320089747005]
SG_15_2_1;SNV;None;0.4830029647939378;[0.44227420576517457, 0.6016536070606386, 0.40508108155600014]
ASLSBaseline;SNV;None;0.49205425588337287;[0.4685853777304015, 0.6062424893314444, 0.40133490058827265]
SG_21_2_1;EMSC;PCA_features_0.25;0.49494258010513953;[0.44736140262942536, 0.5211537707902784, 0.5163125668957149]
SG_15_2_1;EMSC;PCA_features_0.25;0.5054251141613965;[0.47392117169142467, 0.5393956629978172, 0.5029585077949477]
None;EMSC;PCA_features_0.25;0.5074509781603397;[0.468362175685959, 0.5788143456914344, 0.4751764131036257]
SG_21_3_2;EMSC;PCA_features_0.25;0.509400754110437;[0.5128167605604973, 0.5626995770226652, 0.45268592474814817]
ASLSBaseline;EMSC;PCA_features_0.25;0.5113846592637256;[0.49403816486524094, 0.5692429895685314, 0.47087282335740416]
SG_15_3_2;EMSC;PCA_features_0.25;0.5231163453285559;[0.5173341723669213, 0.5907958545702944, 0.461219009048452]
None;None;None;0.538372295819888;[0.5937190061398028, 0.5257965577789733, 0.49560132354088793]
None;EMSC;None;0.6256155859647267;[0.5790374032614279, 0.6219329254927227, 0.6758764291400291]
