shape;scatter;pca;mean_score;fold_scores
SG_11_2_1;None;None;0.31278244252292015;[0.31135210775865835, 0.3138611146553899, 0.3131341051547121]
SG_15_2_1;None;None;0.3168184081011544;[0.31306296995938293, 0.3201436979391933, 0.31724855640488714]
SG_21_2_1;SNV;None;0.3169120367296148;[0.31290069926183506, 0.3237605584346966, 0.3140748524923128]
SG_11_2_1;SNV;None;0.3169426839900343;[0.31817808590811597, 0.32218369646309913, 0.3104662695988878]
SG_21_2_1;None;None;0.3172666674429938;[0.3172383847365324, 0.32287075372320884, 0.31169086386924016]
SG_15_2_1;SNV;None;0.31883145694264003;[0.32052678387448247, 0.3230303904954377, 0.31293719645799983]
ASLSBaseline;SNV;None;0.32026664250433545;[0.3148151996814498, 0.3284428448989241, 0.3175418829326324]
ASLSBaseline;None;None;0.3246889103588182;[0.32179935798467424, 0.3357383467613254, 0.31652902633045504]
SG_15_3_2;None;None;0.32609768463648425;[0.32628794992935994, 0.33099224932106786, 0.3210128546590249]
SG_21_3_2;None;None;0.32992463819293555;[0.3317430420568894, 0.33527526497570664, 0.3227556075462105]
SG_15_3_2;SNV;None;0.3346664665690395;[0.3367229074187208, 0.3420203610612034, 0.32525613122719416]
SG_21_3_2;SNV;None;0.3393238338231263;[0.3353849655813357, 0.34896674573444253, 0.33361979015360066]
None;SNV;None;0.3739152223783018;[0.3777528255869302, 0.3747314284693689, 0.36926141307860644]
None;None;PCA_features_0.25;0.38449994033459883;[0.39212518124343565, 0.3798443472342898, 0.38153029252607096]
None;SNV;PCA_features_0.25;0.3864105761692571;[0.38191446345932084, 0.38963575249398624, 0.38768151255446426]
None;None;None;0.4060138516938772;[0.4061782386079284, 0.4136443613522472, 0.39821895512145605]
ASLSBaseline;SNV;PCA_features_0.25;0.41331647842749875;[0.40230511212546555, 0.41708927344132773, 0.42055504971570284]
ASLSBaseline;None;PCA_features_0.25;0.421939830621582;[0.42342197954291366, 0.41269196165355904, 0.42970555066827343]
SG_11_2_1;SNV;PCA_features_0.25;0.4427681579070204;[0.45027122702530264, 0.4369973116876742, 0.44103593500808436]
SG_15_2_1;SNV;PCA_features_0.25;0.447130593491482;[0.4610692017345481, 0.45216794656433423, 0.42815463217556354]
SG_11_2_1;None;PCA_features_0.25;0.451884344568876;[0.47941283749217417, 0.4434922479425977, 0.43274794827185614]
SG_21_2_1;None;PCA_features_0.25;0.45471893262468965;[0.4740995797665854, 0.4604427102018258, 0.42961450790565764]
SG_21_2_1;SNV;PCA_features_0.25;0.4553350025388903;[0.46453026348256854, 0.46074900316952616, 0.44072574096457634]
SG_15_2_1;None;PCA_features_0.25;0.4562426815608937;[0.47356835443009715, 0.4666985077454538, 0.42846118250713006]
SG_21_3_2;None;PCA_features_0.25;0.47299935464099;[0.46860874617969583, 0.4778207738055611, 0.47256854393771314]
SG_15_3_2;None;PCA_features_0.25;0.47381746901127136;[0.47269836148416805, 0.47397238752218973, 0.47478165802745653]
SG_21_3_2;SNV;PCA_features_0.25;0.4773633555687646;[0.47897051377350675, 0.4852323555364707, 0.4678871973963162]
SG_15_3_2;SNV;PCA_features_0.25;0.4794165986002459;[0.4712954279705294, 0.49574785687728073, 0.4712065109529274]
SG_15_3_2;EMSC;None;0.6450808613584913;[0.6599180274794448, 0.6550345979005002, 0.6202899586955287]
SG_21_2_1;EMSC;None;0.645528939503479;[0.6692393794300863, 0.6530532036422567, 0.614294235438094]
SG_21_3_2;EMSC;None;0.646539621119094;[0.6659548196320105, 0.6568825598316056, 0.6167814838936658]
SG_11_2_1;EMSC;None;0.6522839245780817;[0.6688965311437809, 0.6715909980468272, 0.616364244543637]
SG_15_2_1;EMSC;None;0.6541453484070516;[0.6814066828114118, 0.6635111601722635, 0.6175182022374794]
ASLSBaseline;EMSC;None;0.7095802559325152;[0.7181373949168448, 0.7605890507748913, 0.6500143221058098]
SG_21_2_1;EMSC;PCA_features_0.25;0.773392691774573;[0.7802692500222935, 0.7753314262211312, 0.7645773990802942]
SG_11_2_1;EMSC;PCA_features_0.25;0.7809627481587477;[0.8107714889197394, 0.7614966916847481, 0.7706200638717557]
SG_15_2_1;EMSC;PCA_features_0.25;0.791790134215458;[0.8152581353683346, 0.7936442050699732, 0.766468062208066]
None;EMSC;None;0.8481956825003811;[0.8649075924653828, 0.8523427629332102, 0.8273366921025503]
ASLSBaseline;EMSC;PCA_features_0.25;0.8562235026859596;[0.8691049346471814, 0.8757943045173612, 0.8237712688933362]
None;EMSC;PCA_features_0.25;0.954275766570078;[0.9725879905149798, 0.9729607726849058, 0.9172785365103484]
SG_21_3_2;EMSC;PCA_features_0.25;0.9705028335874873;[0.992953062388692, 0.978090605261196, 0.9404648331125743]
SG_15_3_2;EMSC;PCA_features_0.25;0.9711256220596204;[1.0092618842356262, 0.9694724064029795, 0.9346425755402553]
