shape;scatter;pca;mean_score;fold_scores
SG_21_3_2;SNV;None;0.010964802887947938;[0.011491869610291892, 0.010930129178362733, 0.010472409875189184]
SG_15_2_1;None;None;0.011094652931436801;[0.011534067786011256, 0.011393432497248581, 0.010356458511050567]
SG_21_2_1;None;None;0.011108804660824123;[0.01115106726280419, 0.01185068970177359, 0.010324657017894584]
SG_11_2_1;SNV;None;0.011177709822401342;[0.011510164181952904, 0.011674110469385584, 0.010348854815865541]
SG_11_2_1;None;None;0.011178967036456001;[0.011484358610756862, 0.011820423714017208, 0.01023211878459393]
SG_21_3_2;None;None;0.011258027471234458;[0.011745554566887783, 0.010996131785201202, 0.011032396061614384]
SG_21_2_1;SNV;None;0.01146647843311894;[0.012022511589211084, 0.011396257805917553, 0.010980665904228182]
SG_15_3_2;None;None;0.011497967819338673;[0.011966136483753373, 0.011797880412385893, 0.010729886561876758]
SG_15_2_1;SNV;None;0.011558384810841158;[0.011749643643281514, 0.011879235547670576, 0.011046275241571382]
ASLSBaseline;SNV;None;0.011567887231963907;[0.012617301890549482, 0.011231929933971378, 0.010854429871370865]
SG_15_3_2;SNV;None;0.011745214688131842;[0.012170078669227402, 0.012137883110778902, 0.010927682284389225]
ASLSBaseline;None;None;0.011858203520518524;[0.012007866156450083, 0.01245822457270859, 0.011108519832396899]
None;SNV;None;0.012297409811553325;[0.013079909834215583, 0.011986126790597112, 0.011826192809847275]
None;None;None;0.012723938060647621;[0.0130177035433735, 0.013070348909223796, 0.01208376172934557]
SG_21_2_1;None;PCA_features_0.25;0.013159354224585862;[0.01368585737047977, 0.01336117779002867, 0.012431027513249145]
None;SNV;PCA_features_0.25;0.013226558496952328;[0.014317178331823947, 0.012734604032265548, 0.012627893126767488]
SG_11_2_1;SNV;PCA_features_0.25;0.013276302838165778;[0.01389005803510782, 0.012612024207190362, 0.013326826272199154]
SG_15_3_2;EMSC;None;0.01331043504479047;[0.014139092872370054, 0.013333032494911662, 0.012459179767089696]
SG_15_2_1;EMSC;None;0.013340359523281197;[0.01416869593535561, 0.013629509010786066, 0.012222873623701913]
SG_11_2_1;EMSC;None;0.01336510801256878;[0.014020945809880482, 0.013370909449928843, 0.012703468777897015]
SG_21_3_2;SNV;PCA_features_0.25;0.013399213395671732;[0.014632755050189865, 0.013117893031050173, 0.012446992105775156]
ASLSBaseline;SNV;PCA_features_0.25;0.013405128928295337;[0.01407801990638761, 0.013369140823803588, 0.012768226054694812]
SG_15_3_2;SNV;PCA_features_0.25;0.013427684351523242;[0.01382848965123098, 0.01283374665275013, 0.013620816750588613]
SG_15_2_1;None;PCA_features_0.25;0.013596431475482762;[0.014230180366705425, 0.013850246771504253, 0.012708867288238605]
SG_21_2_1;SNV;PCA_features_0.25;0.01368796701816355;[0.01415959339283846, 0.013518970934246574, 0.01338533672740561]
SG_21_2_1;EMSC;None;0.013699014698179605;[0.014317264505572809, 0.013680897284720587, 0.013098882304245421]
SG_15_2_1;SNV;PCA_features_0.25;0.013719464069655277;[0.01418979588528014, 0.013555288235375721, 0.013413308088309971]
SG_11_2_1;None;PCA_features_0.25;0.013723348028882996;[0.014227589281539613, 0.013690352708197235, 0.013252102096912141]
ASLSBaseline;None;PCA_features_0.25;0.013824941027864052;[0.014084039289744757, 0.014113229034319085, 0.013277554759528314]
SG_21_3_2;EMSC;None;0.013850758234131571;[0.014237714133060365, 0.013783930403996537, 0.01353063016533781]
ASLSBaseline;EMSC;None;0.013988057377931873;[0.014978106275160483, 0.014002124697632621, 0.012983941161002512]
SG_21_3_2;None;PCA_features_0.25;0.014249674942753905;[0.015510406414848993, 0.013662793853679333, 0.013575824559733387]
None;None;PCA_features_0.25;0.014346239574729386;[0.01469576049551181, 0.014440270028230248, 0.013902688200446097]
None;EMSC;None;0.014407760133603445;[0.014719968276193833, 0.014223103550941642, 0.014280208573674857]
SG_15_3_2;None;PCA_features_0.25;0.014629243424374013;[0.01544054006250146, 0.014717876089657116, 0.01372931412096346]
ASLSBaseline;EMSC;PCA_features_0.25;0.015050966463860513;[0.016225222060889128, 0.015045569072817965, 0.013882108257874452]
SG_21_3_2;EMSC;PCA_features_0.25;0.015327729010135035;[0.0162339480640762, 0.015129552247282048, 0.014619686719046858]
SG_15_3_2;EMSC;PCA_features_0.25;0.015390766204881973;[0.016322739206987756, 0.015454203947038326, 0.014395355460619829]
None;EMSC;PCA_features_0.25;0.015520369274128469;[0.016809947570634136, 0.015345717540159792, 0.014405442711591476]
SG_11_2_1;EMSC;PCA_features_0.25;0.015607722222420942;[0.016827814801666608, 0.015510105207440526, 0.014485246658155693]
SG_21_2_1;EMSC;PCA_features_0.25;0.015608739679305728;[0.016827297794802597, 0.015272355624842684, 0.014726565618271903]
SG_15_2_1;EMSC;PCA_features_0.25;0.01611789389050373;[0.016821388295193827, 0.016372160072716982, 0.015160133303600378]
