shape;scatter;pca;mean_score;fold_scores
SG_21_2_1;SNV;None;5787.814468121592;[4411.874694333044, 5461.051521502865, 7490.517188528865]
SG_11_2_1;None;None;5824.208055963342;[4399.764968407956, 5466.489703881686, 7606.369495600382]
SG_15_3_2;None;None;5906.587018098402;[5235.973288104695, 5421.001608942891, 7062.786157247622]
SG_15_2_1;None;None;5912.731137341743;[4532.158561453689, 5593.334978715531, 7612.69987185601]
SG_21_2_1;None;None;5978.125932767486;[4580.920839538515, 5848.437912214298, 7505.019046549646]
SG_21_2_1;None;PCA_features_0.25;5980.209230055589;[5171.394649574548, 5301.002148097773, 7468.230892494445]
SG_15_2_1;SNV;None;6015.54805206653;[4714.846422721507, 5823.185509499311, 7508.61222397877]
SG_21_3_2;None;None;6084.760905247206;[5511.490724276829, 5138.947128032402, 7603.844863432389]
SG_21_2_1;EMSC;None;6115.827768981315;[4974.507034842561, 5870.925333904291, 7502.050938197092]
None;None;PCA_features_0.25;6115.865305843182;[5199.663539420798, 5451.322216548174, 7696.610161560576]
SG_11_2_1;SNV;None;6133.965080580656;[5000.836213251975, 5895.282748818998, 7505.776279670994]
SG_15_2_1;EMSC;None;6135.951850002177;[5299.422889379548, 5686.664743830163, 7421.76791679682]
None;SNV;None;6151.041671970689;[4777.978905672779, 5747.167199047221, 7927.978911192067]
SG_11_2_1;EMSC;None;6189.218729267869;[5405.575851187915, 5608.16506155811, 7553.915275057585]
SG_21_3_2;EMSC;None;6190.916740715744;[5320.561855728379, 5537.028222951986, 7715.160143466867]
SG_15_2_1;None;PCA_features_0.25;6214.049359512294;[5531.884798603031, 5534.582603635694, 7575.68067629816]
ASLSBaseline;None;PCA_features_0.25;6217.0290112569155;[5363.39458184832, 5667.37885251451, 7620.313599407916]
SG_15_3_2;EMSC;None;6221.452298955978;[5453.739491141731, 5510.497781169906, 7700.119624556296]
None;EMSC;PCA_features_0.25;6284.193045162026;[5482.464707218132, 5715.492309313712, 7654.622118954236]
SG_21_3_2;None;PCA_features_0.25;6320.680747341536;[5537.208319235025, 5761.192571903384, 7663.641350886198]
ASLSBaseline;SNV;None;6328.903606871022;[4972.929742278394, 6086.189751153594, 7927.591327181078]
ASLSBaseline;None;None;6334.790763615644;[5393.384885702061, 5939.883027638785, 7671.104377506085]
ASLSBaseline;EMSC;None;6404.212272996791;[5644.686240178869, 5705.2696926692515, 7862.680886142251]
None;EMSC;None;6422.283599650135;[5803.12923462196, 5725.650968789875, 7738.070595538569]
SG_15_2_1;EMSC;PCA_features_0.25;6498.78576272197;[5580.417820523, 5882.983097587278, 8032.956370055631]
SG_15_3_2;SNV;None;6505.422149578001;[5249.699493541231, 6766.675993824069, 7499.890961368703]
SG_15_3_2;None;PCA_features_0.25;6524.499413819573;[5996.7113651619175, 5706.470337544343, 7870.316538752462]
None;None;None;6551.186405052242;[5678.540875570182, 6089.780811907907, 7885.237527678637]
None;SNV;PCA_features_0.25;6583.995473115953;[6091.493626950188, 5838.747617532155, 7821.745174865519]
ASLSBaseline;EMSC;PCA_features_0.25;6661.446275156774;[5964.450735308972, 6006.695217256363, 8013.192872904987]
SG_21_3_2;SNV;None;6674.177942185533;[6092.938926629581, 6058.854827543217, 7870.7400723838]
SG_21_2_1;EMSC;PCA_features_0.25;6685.587623620122;[5969.441158904218, 6039.963375656514, 8047.358336299633]
SG_11_2_1;EMSC;PCA_features_0.25;7115.119320023292;[7847.062414897949, 5818.583241521019, 7679.712303650907]
SG_15_3_2;EMSC;PCA_features_0.25;7213.159555069488;[6397.724962576422, 6697.394224782311, 8544.359477849735]
SG_21_3_2;SNV;PCA_features_0.25;7522.823722121371;[7301.173787860166, 6604.284731833563, 8663.012646670384]
ASLSBaseline;SNV;PCA_features_0.25;7524.132307594383;[6732.659907868762, 7693.7076787212145, 8146.029336193173]
SG_15_3_2;SNV;PCA_features_0.25;7582.927611230716;[6581.714578848797, 7478.899662018721, 8688.16859282463]
SG_21_3_2;EMSC;PCA_features_0.25;8140.386680664978;[7042.032829269643, 8987.680399569483, 8391.446813155806]
SG_11_2_1;None;PCA_features_0.25;8644.883360123158;[5013.8174801443965, 13366.824758762757, 7554.007841462319]
SG_15_2_1;SNV;PCA_features_0.25;8781.39572297017;[6698.72656160746, 11662.338292201448, 7983.122315101602]
SG_11_2_1;SNV;PCA_features_0.25;9162.136272198524;[10549.935687885916, 9043.10696710154, 7893.366161608118]
SG_21_2_1;SNV;PCA_features_0.25;10106.205320211382;[9961.980591987678, 12282.044518978777, 8074.590849667692]
