shape;scatter;pca;mean_score;fold_scores
SG_21_3_2;None;None;21407.88296907691;[15823.055420453835, 21954.092140130124, 26446.50134664677]
SG_21_3_2;SNV;None;21715.530054883933;[15562.076189750445, 23045.411722312463, 26539.10225258889]
SG_11_2_1;None;PCA_features_0.25;21909.99421782847;[15314.553595359444, 22548.204161734233, 27867.224896391734]
ASLSBaseline;None;None;21910.609450148393;[17750.910002791712, 22549.17232624355, 25431.746021409916]
ASLSBaseline;SNV;None;21981.139257841798;[15789.434981817383, 22510.948074954405, 27643.034716753606]
SG_15_3_2;SNV;None;22038.242738722765;[16507.64805341199, 23544.304082917697, 26062.776079838608]
SG_11_2_1;SNV;None;22052.367537163645;[17054.859878890747, 23396.931380073464, 25705.311352526725]
SG_15_3_2;EMSC;None;22133.181704732397;[18698.275963547738, 21631.666561661546, 26069.602588987895]
SG_21_3_2;EMSC;None;22138.76112275403;[18895.364628568233, 21073.275835721703, 26447.642903972155]
SG_21_3_2;EMSC;PCA_features_0.25;22144.62066999714;[19399.79560369575, 20040.92419486477, 26993.142211430913]
SG_21_3_2;None;PCA_features_0.25;22175.487983918865;[17632.76193355159, 22139.53066976837, 26754.171348436626]
SG_21_2_1;None;None;22210.50755633309;[17479.43977247522, 22576.49790974797, 26575.58498677608]
SG_11_2_1;None;None;22257.197179606;[18321.044194301416, 22133.727012590625, 26316.82033192596]
SG_15_2_1;EMSC;None;22334.023390715807;[17657.468662958483, 21403.41027459632, 27941.191234592618]
None;EMSC;None;22338.132162336424;[17996.291217075737, 21576.585126245314, 27441.520143688223]
ASLSBaseline;EMSC;PCA_features_0.25;22369.53052941668;[18008.244537718136, 21649.023668406408, 27451.32338212549]
ASLSBaseline;SNV;PCA_features_0.25;22390.692439073497;[18578.594724391183, 23246.34284519487, 25347.139747634443]
SG_15_3_2;EMSC;PCA_features_0.25;22417.055481421645;[18506.248501811995, 21184.341620974978, 27560.57632147796]
SG_21_2_1;SNV;None;22426.9915961572;[16213.68728669868, 23936.75002632522, 27130.537475447712]
None;None;None;22437.58278577573;[17840.142765610406, 22338.977195596697, 27133.628396120075]
SG_15_3_2;None;PCA_features_0.25;22485.58364572997;[18454.605938746274, 23118.497235688355, 25883.64776275528]
SG_21_2_1;EMSC;None;22684.18585398611;[18007.600202843703, 22134.38986770662, 27910.567491407994]
SG_11_2_1;EMSC;None;22880.98574924823;[18395.87485094624, 21932.555529415364, 28314.526867383094]
ASLSBaseline;EMSC;None;22941.18143125545;[18437.58682359435, 22587.249024127424, 27798.70844604457]
ASLSBaseline;None;PCA_features_0.25;22993.654968981205;[18162.67369966377, 23104.074308450643, 27714.216898829192]
SG_21_2_1;SNV;PCA_features_0.25;23008.26707395203;[18645.80408722314, 23597.964161378986, 26781.032973253972]
None;SNV;None;23091.740893479586;[18144.221087164467, 24431.370845332734, 26699.630747941555]
None;SNV;PCA_features_0.25;23119.24520946702;[19463.21407858319, 23210.00905958941, 26684.51249022846]
SG_15_2_1;EMSC;PCA_features_0.25;23146.959897259952;[20818.972115224067, 21444.590092397757, 27177.317484158033]
SG_15_2_1;None;PCA_features_0.25;23152.629562431714;[19278.64419558671, 22904.463097870503, 27274.781393837922]
SG_15_2_1;SNV;PCA_features_0.25;23198.718306106337;[18464.813551208255, 23264.050687088, 27867.290680022754]
SG_11_2_1;SNV;PCA_features_0.25;23260.49439486962;[17901.045719717116, 23615.681361431598, 28264.756103460157]
SG_15_2_1;SNV;None;23276.04418929784;[20653.266825581333, 23668.753267857992, 25506.1124744542]
SG_21_2_1;None;PCA_features_0.25;23305.77415757855;[17433.879728114618, 24281.939848147376, 28201.50289647367]
SG_15_3_2;None;None;23323.159211657072;[20886.531398637682, 22138.61428929032, 26944.33194704322]
None;None;PCA_features_0.25;23470.706036813935;[20379.271155495102, 22104.87626675513, 27927.970688191574]
None;EMSC;PCA_features_0.25;23960.326869930464;[18043.612942200787, 25551.908044727537, 28285.45962286307]
SG_21_3_2;SNV;PCA_features_0.25;24088.670878249133;[21923.565531219436, 24287.837361313752, 26054.60974221422]
SG_21_2_1;EMSC;PCA_features_0.25;24225.792089300885;[19987.37987232838, 24044.51164915518, 28645.484746419097]
SG_11_2_1;EMSC;PCA_features_0.25;24314.73636812263;[19950.89820637374, 24407.393808129695, 28585.917089864466]
SG_15_3_2;SNV;PCA_features_0.25;24676.07710028571;[21265.856235963096, 25553.870285648398, 27208.504779245646]
SG_15_2_1;None;None;25717.952479004172;[27409.927366710697, 22994.221129632067, 26749.708940669745]
