shape;scatter;pca;mean_score;fold_scores
SG_15_3_2;None;None;0.16691028452064835;[0.12954914316686975, 0.12029365567129126, 0.250888054723784]
SG_11_2_1;SNV;None;0.17050529512725401;[0.15286306471459013, 0.12515080823213667, 0.23350201243503527]
SG_15_3_2;SNV;None;0.17269277019699336;[0.15436533297130395, 0.12354952302855098, 0.24016345459112515]
SG_21_3_2;SNV;None;0.17771593179977338;[0.15940808705112416, 0.12016968610744255, 0.2535700222407534]
SG_21_3_2;None;None;0.18043578149592632;[0.16105883275017532, 0.1291474520443822, 0.2511010596932214]
SG_15_2_1;SNV;None;0.18323269472007844;[0.1676741380807653, 0.13927060371069633, 0.2427533423687737]
SG_21_2_1;SNV;None;0.19736483351032508;[0.16719044330250668, 0.171114009475975, 0.25379004775249353]
SG_11_2_1;None;None;0.19846731358190683;[0.15936599487311967, 0.15160454760769376, 0.28443139826490704]
SG_15_2_1;None;None;0.20833769733270172;[0.1815927964276912, 0.14121298535539334, 0.30220731021502073]
SG_21_2_1;None;None;0.23196123192585297;[0.19802989560030979, 0.17405792749162857, 0.32379587268562066]
ASLSBaseline;SNV;None;0.2975708315216086;[0.28163960218910117, 0.25528788211259507, 0.3557850102631296]
None;SNV;None;0.2992333354414583;[0.27647557871879935, 0.26982515776861005, 0.35139926983696546]
ASLSBaseline;None;None;0.3056072414832659;[0.2819037793348974, 0.26960616852040203, 0.3653117765944983]
SG_21_3_2;None;PCA_features_0.25;0.33607437838034143;[0.2840163289820685, 0.2979541435190298, 0.426252662639926]
None;None;None;0.3384136198250891;[0.3104284188030261, 0.31037092481680223, 0.39444151585543896]
SG_15_3_2;None;PCA_features_0.25;0.35111498047815676;[0.3041815104836978, 0.3078233790403021, 0.4413400519104703]
ASLSBaseline;None;PCA_features_0.25;0.355243708557796;[0.3082582426509494, 0.3450282522235235, 0.412444630798915]
SG_21_3_2;SNV;PCA_features_0.25;0.36211035068696207;[0.3339184469368869, 0.3355997421466949, 0.41681286297730447]
None;SNV;PCA_features_0.25;0.36250016245573374;[0.32549714828388115, 0.2982134795102958, 0.4637898595730243]
SG_15_3_2;SNV;PCA_features_0.25;0.3669654783139478;[0.3252404502101716, 0.3470675907742274, 0.42858839395744464]
SG_21_2_1;None;PCA_features_0.25;0.38280226646867965;[0.36071595483217517, 0.327178519721396, 0.4605123248524678]
SG_11_2_1;None;PCA_features_0.25;0.38354526160491925;[0.3459536722267767, 0.3201968358064555, 0.4844852767815255]
ASLSBaseline;SNV;PCA_features_0.25;0.3855409661239256;[0.34790791459431714, 0.3414803139496187, 0.46723466982784084]
SG_11_2_1;SNV;PCA_features_0.25;0.38878956310738433;[0.3505554557281375, 0.3506119665392864, 0.465201267054729]
None;None;PCA_features_0.25;0.39042295447452036;[0.36741560941479157, 0.35013711180619755, 0.45371614220257184]
SG_15_2_1;None;PCA_features_0.25;0.39367651999287895;[0.339732737606558, 0.3538211509156514, 0.4874756714564275]
SG_15_2_1;SNV;PCA_features_0.25;0.40010563873047406;[0.37019919193803624, 0.349553536823131, 0.480564187430255]
SG_21_2_1;SNV;PCA_features_0.25;0.4124472629147265;[0.38874417199211014, 0.3523352976991937, 0.49626231905287554]
ASLSBaseline;EMSC;None;0.6742644026768566;[0.7410412469469023, 0.5867418240688881, 0.6950101370147792]
SG_21_2_1;EMSC;PCA_features_0.25;0.675711523750489;[0.6570245006911093, 0.6323717117565685, 0.7377383588037897]
SG_15_2_1;EMSC;PCA_features_0.25;0.6863023381849301;[0.6876614579165374, 0.630486181739557, 0.7407593748986959]
None;EMSC;None;0.6991794141081217;[0.7202468995180227, 0.6779864780486196, 0.6993048647577229]
SG_11_2_1;EMSC;PCA_features_0.25;0.7005512585443899;[0.6470142728529213, 0.6467675611310636, 0.8078719416491846]
SG_15_2_1;EMSC;None;0.707748800259647;[0.8086087575509655, 0.6481745198164205, 0.666463123411555]
None;EMSC;PCA_features_0.25;0.7116294653042097;[0.6670920775988421, 0.6890456471600743, 0.7787506711537128]
SG_21_2_1;EMSC;None;0.7124982098268346;[0.7678190635613201, 0.6919009969648031, 0.6777745689543807]
SG_11_2_1;EMSC;None;0.7181583140314828;[0.8065420771775001, 0.6491359139917284, 0.6987969509252194]
ASLSBaseline;EMSC;PCA_features_0.25;0.7434257841000166;[0.7106454318747282, 0.7479805363324811, 0.7716513840928405]
SG_15_3_2;EMSC;None;0.7882165647520213;[0.7843389454833826, 0.7374062937488024, 0.8429044550238789]
SG_21_3_2;EMSC;None;0.798916257835098;[0.7549497992146353, 0.8124731778878298, 0.829325796402829]
SG_15_3_2;EMSC;PCA_features_0.25;0.8106916133929309;[0.7476412128773817, 0.8134040841563547, 0.8710295431450565]
SG_21_3_2;EMSC;PCA_features_0.25;0.823671972324005;[0.8547963668877074, 0.7469977318232505, 0.8692218182610574]
