shape;scatter;pca;mean_score;fold_scores
SG_15_2_1;SNV;PCA_features_0.25;0.08142233883949354;[0.07646912839934851, 0.08167304279669413, 0.086124845322438]
SG_15_2_1;None;PCA_features_0.25;0.08199789353260173;[0.07851474765146639, 0.08565759362384662, 0.08182133932249218]
SG_21_2_1;None;PCA_features_0.25;0.08435456608922853;[0.07925870478924525, 0.08844719737525181, 0.08535779610318854]
SG_11_2_1;SNV;PCA_features_0.25;0.08450774726778021;[0.08316007742583005, 0.08415323355277185, 0.08620993082473874]
SG_21_2_1;SNV;PCA_features_0.25;0.08517995978716357;[0.07830612003459828, 0.09241475573257614, 0.08481900359431627]
SG_21_3_2;SNV;PCA_features_0.25;0.08646718675733263;[0.0813750099700352, 0.08986259101551687, 0.08816395928644584]
SG_21_3_2;None;PCA_features_0.25;0.08669099637206658;[0.08406824701631625, 0.08927003007246463, 0.08673471202741886]
SG_11_2_1;None;PCA_features_0.25;0.0868324334359532;[0.08558146477962915, 0.08815297262236804, 0.08676286290586245]
None;None;PCA_features_0.25;0.09068440327078847;[0.08926743547171254, 0.0916414262178775, 0.09114434812277539]
SG_15_3_2;None;PCA_features_0.25;0.09270159652648653;[0.08677764356057431, 0.09847351712630414, 0.09285362889258117]
SG_15_3_2;SNV;PCA_features_0.25;0.0927831605375193;[0.0918858854446129, 0.09621889086902338, 0.09024470529892163]
ASLSBaseline;None;PCA_features_0.25;0.09322843800354791;[0.09363278387211471, 0.09438526711506091, 0.09166726302346813]
None;SNV;PCA_features_0.25;0.0944772102627584;[0.08930567337392231, 0.0979215472447807, 0.0962044101695722]
ASLSBaseline;SNV;PCA_features_0.25;0.09499088100684115;[0.09343203571549392, 0.09805738146976381, 0.09348322583526568]
SG_15_3_2;None;None;0.1293486493436898;[0.12844122618859946, 0.1288422569703412, 0.13076246487212875]
SG_21_3_2;None;None;0.13062578002812122;[0.12894595998970945, 0.13000367921278164, 0.13292770088187258]
SG_15_2_1;EMSC;PCA_features_0.25;0.13116393569125379;[0.1316612275429642, 0.1319192775784305, 0.12991130195236666]
SG_21_2_1;EMSC;PCA_features_0.25;0.13473703145084756;[0.13399384020020963, 0.13603006747226537, 0.13418718668006765]
SG_11_2_1;EMSC;PCA_features_0.25;0.1348640267193471;[0.13236602379621878, 0.13621800478421045, 0.1360080515776121]
SG_11_2_1;None;None;0.1353497517311866;[0.13025235819772846, 0.1382824725707729, 0.1375144244250584]
SG_21_3_2;SNV;None;0.1354099264887327;[0.1350154293961149, 0.1363004503857966, 0.13491389968428663]
SG_15_3_2;SNV;None;0.1354969580771184;[0.1344045412493337, 0.1374547653953203, 0.13463156758670122]
SG_15_2_1;None;None;0.1362932929734595;[0.1306202135204849, 0.1417034321899914, 0.13655623320990215]
SG_21_2_1;None;None;0.13727082443853555;[0.13208355605908387, 0.14100313316462057, 0.13872578409190225]
None;EMSC;PCA_features_0.25;0.13749080746679174;[0.12978276819419016, 0.14268305541528967, 0.14000659879089544]
ASLSBaseline;EMSC;PCA_features_0.25;0.1380619099650158;[0.13239258313841734, 0.14222219914028014, 0.13957094761634986]
SG_11_2_1;SNV;None;0.14160207356539908;[0.13858853130293253, 0.14408505515195108, 0.1421326342413136]
SG_15_2_1;SNV;None;0.142011115010979;[0.1395688049712847, 0.14382936323423534, 0.14263517682741694]
ASLSBaseline;None;None;0.142114570451273;[0.1387086989335442, 0.14696971436728784, 0.14066529805298691]
SG_21_2_1;SNV;None;0.14211692823401015;[0.1385946595468237, 0.14376298286310482, 0.1439931422921019]
SG_21_3_2;EMSC;PCA_features_0.25;0.14212955342579675;[0.13519221318929198, 0.14392975433067365, 0.1472666927574246]
None;SNV;None;0.1441194746891148;[0.1395561516616986, 0.14882837465710375, 0.14397389774854202]
ASLSBaseline;SNV;None;0.14446839854394936;[0.14314991352700998, 0.14658753059788024, 0.14366775150695787]
SG_15_3_2;EMSC;PCA_features_0.25;0.14495861277040853;[0.14068085851572176, 0.14545963073447768, 0.14873534906102617]
ASLSBaseline;EMSC;None;0.14638517458484182;[0.14159592172625415, 0.14924775377152905, 0.14831184825674223]
None;None;None;0.14678555408181523;[0.13919025481617514, 0.14783815680904824, 0.1533282506202223]
SG_11_2_1;EMSC;None;0.14701980378710672;[0.14253756459879746, 0.1512893719782801, 0.14723247478424256]
SG_21_3_2;EMSC;None;0.14712909503912108;[0.1388399263377375, 0.15118425602878138, 0.15136310275084436]
SG_15_3_2;EMSC;None;0.14802272762319588;[0.14211100744503838, 0.15203236547365467, 0.14992480995089452]
SG_15_2_1;EMSC;None;0.14919610000588088;[0.14247410651599807, 0.15472370556011594, 0.15039048794152865]
None;EMSC;None;0.1493467449609436;[0.14870187913898208, 0.1514676270857114, 0.14787072865813733]
SG_21_2_1;EMSC;None;0.15022287627625655;[0.1431415499497662, 0.15442875075865595, 0.15309832812034752]
