shape;scatter;pca;mean_score;fold_scores
SG_15_2_1;None;None;0.2748582071365953;[0.2752406868948785, 0.26868790537825754, 0.2806460291366498]
SG_21_3_2;None;None;0.2777058975585654;[0.2736339522305397, 0.29610420635415385, 0.26337953409100273]
SG_21_2_1;None;None;0.277753917804024;[0.28080057656674784, 0.281838803537442, 0.27062237330788214]
SG_21_2_1;SNV;None;0.28034608945969036;[0.28915289658541304, 0.27724696598284576, 0.2746384058108123]
SG_15_3_2;None;None;0.2820318941911049;[0.28055607805122385, 0.29357880469776815, 0.27196079982432264]
SG_11_2_1;None;None;0.2864292096407957;[0.28365055778485504, 0.2841573306953846, 0.2914797404421476]
SG_15_2_1;SNV;None;0.295842000742663;[0.30655300363188626, 0.28753034176080144, 0.2934426568353012]
SG_11_2_1;SNV;None;0.2990783422911401;[0.3068788107550737, 0.29028866624444355, 0.30006754987390305]
SG_15_3_2;SNV;None;0.32654559814372885;[0.32072793813270956, 0.33685848677761104, 0.32205036952086596]
SG_21_3_2;SNV;None;0.3311885320758317;[0.34201096417464416, 0.325249356950775, 0.326305275102076]
ASLSBaseline;SNV;None;0.3350438406710053;[0.33817802914321204, 0.32606282023900296, 0.34089067263080086]
ASLSBaseline;None;PCA_features_0.25;0.3914407010730618;[0.39262314991428665, 0.39209811199574257, 0.3896008413091562]
SG_21_2_1;SNV;PCA_features_0.25;0.39186378176247477;[0.38640508345783375, 0.39131962076651183, 0.39786664106307856]
None;SNV;None;0.3956499991452387;[0.3926304285174404, 0.3813884270234341, 0.4129311418948417]
ASLSBaseline;None;None;0.397822548803318;[0.38866972960569285, 0.4061020703501555, 0.3986958464541057]
SG_15_2_1;None;PCA_features_0.25;0.40356564766985087;[0.4127699138378993, 0.38904607648399825, 0.40888095268765506]
SG_21_3_2;SNV;PCA_features_0.25;0.40438463277095577;[0.40529255190627145, 0.39736076662087416, 0.41050057978572185]
ASLSBaseline;SNV;PCA_features_0.25;0.4102903676495506;[0.40002696780028535, 0.4040718724839124, 0.42677226266445406]
None;SNV;PCA_features_0.25;0.41050859279808977;[0.41957164446013356, 0.4012746741979413, 0.41067945973619446]
None;None;PCA_features_0.25;0.4208469549942737;[0.3957126164166503, 0.43280239629354494, 0.4340258522726259]
SG_21_2_1;None;PCA_features_0.25;0.4241526272568026;[0.4504184820872508, 0.40172226526987914, 0.4203171344132778]
SG_15_2_1;SNV;PCA_features_0.25;0.42641897536373063;[0.39882205085640554, 0.43072081253810646, 0.44971406269667985]
SG_11_2_1;SNV;PCA_features_0.25;0.42699911741127766;[0.41908721680459526, 0.42407131416677396, 0.4378388212624639]
SG_11_2_1;None;PCA_features_0.25;0.4292804113381865;[0.43064894299679823, 0.427167427150034, 0.4300248638677272]
SG_21_3_2;None;PCA_features_0.25;0.43661814926734216;[0.4242053886072968, 0.44271078785946744, 0.4429382713352622]
SG_15_3_2;None;PCA_features_0.25;0.44148809087122926;[0.410841794300349, 0.44706606525012416, 0.46655641306321444]
SG_15_3_2;SNV;PCA_features_0.25;0.4732049674447118;[0.45295271530285025, 0.4837057096119818, 0.48295647741930336]
None;None;None;0.5359146782321663;[0.5410749081268882, 0.5482142024834263, 0.5184549240861843]
SG_15_3_2;EMSC;None;0.5751911340360961;[0.5730719480797049, 0.5698781450582907, 0.582623308970293]
SG_21_3_2;EMSC;None;0.6142321533628019;[0.6160952429041338, 0.6064348191119102, 0.6201663980723617]
SG_15_2_1;EMSC;None;0.6372622023082185;[0.6001451014711174, 0.635028411785449, 0.6766130936680891]
SG_21_2_1;EMSC;None;0.6396062812232594;[0.6051917817335296, 0.6111401529033301, 0.7024869090329183]
SG_11_2_1;EMSC;None;0.6465416873673845;[0.6387601897592214, 0.5943949402250408, 0.7064699321178912]
ASLSBaseline;EMSC;None;0.7022033449919233;[0.7138951493079657, 0.6633818145327524, 0.7293330711350519]
None;EMSC;None;0.7047161551235689;[0.6644376451296804, 0.771848033053641, 0.6778627871873852]
None;EMSC;PCA_features_0.25;0.8076886751904824;[0.8102201178368652, 0.810285581561769, 0.802560326172813]
SG_21_2_1;EMSC;PCA_features_0.25;0.8461926800827411;[0.8765877799845894, 0.8553787678836826, 0.8066114923799512]
ASLSBaseline;EMSC;PCA_features_0.25;0.8767743027629278;[0.9174388317609381, 0.8147092367904677, 0.8981748397373777]
SG_11_2_1;EMSC;PCA_features_0.25;0.8809503649496996;[0.9183961491954921, 0.8450605270277781, 0.8793944186258285]
SG_15_3_2;EMSC;PCA_features_0.25;0.9145219001820974;[0.894164775162184, 0.946241049953954, 0.9031598754301544]
SG_15_2_1;EMSC;PCA_features_0.25;0.9248677584771281;[0.9274984821199912, 0.9150175560347272, 0.9320872372766658]
SG_21_3_2;EMSC;PCA_features_0.25;0.9252696433386579;[0.9074092098763354, 0.9088985875558522, 0.959501132583786]
