shape;scatter;pca;mean_score;fold_scores
SG_15_2_1;SNV;None;0.2038393184281662;[0.19682775490647675, 0.21458689110236123, 0.20010330927566064]
SG_21_2_1;None;None;0.20497664041651234;[0.20143083352209973, 0.21073066064421797, 0.20276842708321935]
SG_11_2_1;None;None;0.2053647320670077;[0.20196152391818825, 0.21561124658960032, 0.19852142569323453]
SG_21_2_1;SNV;None;0.20585293777910066;[0.19757916862195968, 0.21573068097411807, 0.2042489637412242]
SG_15_2_1;None;None;0.2058666802711354;[0.20538850541273754, 0.21231878042477204, 0.19989275497589656]
SG_11_2_1;SNV;None;0.20587262415913865;[0.19740388841136466, 0.21657166488556312, 0.20364231918048814]
SG_21_3_2;SNV;None;0.20753506342056613;[0.20336256487237842, 0.2115376240723939, 0.207705001316926]
SG_21_3_2;None;None;0.2088862008807503;[0.21267109966499823, 0.22209176242926307, 0.19189574054798963]
SG_15_3_2;SNV;None;0.21389183748977794;[0.20921959976570909, 0.21896467045731002, 0.21349124224631483]
SG_15_3_2;None;None;0.2139527870950079;[0.21446856886176904, 0.221870863933705, 0.20551892848954972]
ASLSBaseline;SNV;None;0.21741303817800625;[0.2071029231022939, 0.23425777063687314, 0.21087842079485175]
ASLSBaseline;None;None;0.21786796110737897;[0.21656872263293153, 0.22872767214991088, 0.20830748853929446]
None;SNV;None;0.22540110396297344;[0.2176814171878066, 0.2374401823578719, 0.22108171234324184]
None;None;None;0.22968668743325618;[0.23126567337397474, 0.2311056564006151, 0.22668873252517877]
SG_11_2_1;None;PCA_features_0.25;0.23370000605631566;[0.24048885507184303, 0.23072553708708063, 0.2298856260100233]
ASLSBaseline;SNV;PCA_features_0.25;0.23450214442022302;[0.2372379880149971, 0.24039820358396582, 0.2258702416617061]
SG_21_2_1;None;PCA_features_0.25;0.23507749319204352;[0.23692383626007443, 0.24234482964529686, 0.22596381367075924]
SG_15_2_1;None;PCA_features_0.25;0.23579529678233746;[0.23886313783929772, 0.24354031092467385, 0.22498244158304082]
SG_21_2_1;SNV;PCA_features_0.25;0.23634318997765114;[0.2489168448723944, 0.23877349357364272, 0.22133923148691628]
SG_11_2_1;SNV;PCA_features_0.25;0.2365049460499683;[0.24286129457382963, 0.23738685617605917, 0.22926668740001613]
SG_21_2_1;EMSC;None;0.23668577968010227;[0.2487415841080676, 0.2267602196256869, 0.23455553530655227]
SG_15_2_1;SNV;PCA_features_0.25;0.23743920112969197;[0.24581635317031184, 0.24122767895088829, 0.22527357126787578]
None;SNV;PCA_features_0.25;0.23745877759858516;[0.24187317169409744, 0.23430387957241006, 0.23619928152924805]
SG_15_2_1;EMSC;None;0.23756856193456352;[0.24669542196682603, 0.2332691541739034, 0.23274110966296116]
ASLSBaseline;None;PCA_features_0.25;0.23768387592134788;[0.2346791950878382, 0.23563607145446797, 0.24273636122173747]
None;None;PCA_features_0.25;0.23822794599742078;[0.2481696343442742, 0.23394434732332073, 0.23256985632466745]
SG_21_3_2;None;PCA_features_0.25;0.23989684274711057;[0.24230850169897727, 0.2389604999449827, 0.23842152659737173]
SG_21_3_2;SNV;PCA_features_0.25;0.24194077540623268;[0.2468960487837109, 0.2472019652228696, 0.23172431221211753]
SG_15_3_2;None;PCA_features_0.25;0.24296839436490902;[0.2465084964860003, 0.23786090631103565, 0.24453578029769119]
SG_11_2_1;EMSC;None;0.24318435513637857;[0.25204326082618667, 0.2365234171830812, 0.2409863873998678]
SG_15_3_2;SNV;PCA_features_0.25;0.24664516591856625;[0.2600226269631092, 0.24309875862547367, 0.23681411216711593]
ASLSBaseline;EMSC;None;0.25080398731193226;[0.2505652546446009, 0.2368365207929781, 0.2650101864982178]
SG_21_3_2;EMSC;None;0.2513835094511438;[0.25221374490845766, 0.2397463855190992, 0.2621903979258746]
None;EMSC;None;0.2542959729128496;[0.2525956985055526, 0.25365702736132284, 0.25663519287167336]
SG_15_3_2;EMSC;None;0.26296069446016573;[0.2750654682345417, 0.24337192599962215, 0.27044468914633335]
ASLSBaseline;EMSC;PCA_features_0.25;0.2755743552119359;[0.2866901900262579, 0.25986525293912544, 0.28016762267042433]
None;EMSC;PCA_features_0.25;0.27661199245553864;[0.27587928548441926, 0.26810003266656995, 0.28585665921562664]
SG_21_3_2;EMSC;PCA_features_0.25;0.29137783851466525;[0.2990163525739928, 0.2768824126032412, 0.2982347503667617]
SG_15_3_2;EMSC;PCA_features_0.25;0.2962659474317464;[0.30607415190309956, 0.28450592648593515, 0.29821776390620447]
SG_21_2_1;EMSC;PCA_features_0.25;0.30674078030619917;[0.2976272309443775, 0.30128891241288763, 0.3213061975613323]
SG_11_2_1;EMSC;PCA_features_0.25;0.3075017402432282;[0.3107589299954317, 0.29627211062329745, 0.3154741801109554]
SG_15_2_1;EMSC;PCA_features_0.25;0.32573917528990565;[0.3127635540446796, 0.3408894416696463, 0.32356453015539105]
