shape;scatter;pca;mean_score;fold_scores
SG_15_2_1;None;None;3.548316300333365;[3.1661762512559255, 3.6900426419105177, 3.788730007833651]
SG_21_2_1;None;None;3.6542449642639987;[3.474131100753705, 3.7375743965247215, 3.7510293955135685]
SG_11_2_1;None;None;3.717712055554307;[3.4358630074383307, 3.634957422134339, 4.0823157370902505]
SG_21_2_1;SNV;None;3.723359319181514;[3.569803055534895, 3.718972707277327, 3.88130219473232]
SG_15_2_1;SNV;None;3.87181713953783;[3.8346316656177803, 3.8279585170282693, 3.9528612359674398]
SG_11_2_1;SNV;None;4.034612890679502;[3.856622185534154, 4.102301287752484, 4.1449151987518675]
SG_21_3_2;None;None;4.154977835977408;[3.6986617398986215, 4.099781988916738, 4.666489779116863]
ASLSBaseline;None;None;4.19476934951867;[3.800608298109768, 4.499438011008684, 4.284261739437557]
SG_15_3_2;None;None;4.212094712333665;[3.957134789678004, 4.110306885340032, 4.568842461982962]
ASLSBaseline;SNV;None;4.247383535281392;[4.1095508158459175, 4.208187132093166, 4.424412657905092]
SG_21_2_1;None;PCA_features_0.25;4.320953884873021;[3.984380279773868, 4.449706657674792, 4.528774717170404]
None;SNV;PCA_features_0.25;4.397652743088276;[4.0913731183263975, 4.547478738208096, 4.5541063727303355]
ASLSBaseline;EMSC;None;4.439342184315616;[4.314355238133956, 4.340351967006976, 4.663319347805917]
SG_15_3_2;SNV;None;4.462167632004864;[4.118422952532541, 4.392875778110119, 4.875204165371935]
SG_15_2_1;None;PCA_features_0.25;4.475919565443683;[4.223686602102449, 4.522573263830747, 4.681498830397853]
None;SNV;None;4.511616195371644;[4.250209279927783, 4.691691883650527, 4.592947422536623]
None;None;None;4.539065070069522;[4.165475152004521, 4.7274933693645655, 4.724226688839478]
SG_11_2_1;SNV;PCA_features_0.25;4.558359939343603;[4.444196708621938, 4.489909573983683, 4.740973535425188]
None;None;PCA_features_0.25;4.577152034906895;[4.267672282130127, 4.527437053437144, 4.936346769153413]
SG_21_3_2;None;PCA_features_0.25;4.5855073601786485;[4.040986217093583, 4.674299626480714, 5.041236236961649]
None;EMSC;None;4.594894211745847;[4.204564252409634, 4.771856091207195, 4.808262291620712]
SG_11_2_1;None;PCA_features_0.25;4.601526902380695;[4.343790513161789, 4.73251001229022, 4.728280181690076]
SG_21_2_1;SNV;PCA_features_0.25;4.625904863654937;[4.252296286190452, 4.756617498039586, 4.868800806734773]
ASLSBaseline;SNV;PCA_features_0.25;4.633819000412657;[4.431741886564071, 4.688747991861482, 4.780967122812421]
SG_21_3_2;SNV;PCA_features_0.25;4.6477501722804275;[4.284006838101189, 4.496779859720966, 5.162463819019128]
SG_21_3_2;SNV;None;4.651153564202996;[4.206051717257717, 4.664116691525667, 5.083292283825604]
SG_15_2_1;SNV;PCA_features_0.25;4.6755404382801125;[4.308486032679333, 4.646140807264901, 5.071994474896102]
SG_21_2_1;EMSC;None;4.716291292917479;[4.540464853980948, 4.7934038558092436, 4.8150051689622435]
ASLSBaseline;None;PCA_features_0.25;4.717041160062134;[4.251072310191572, 4.791297268140961, 5.10875390185387]
SG_15_3_2;None;PCA_features_0.25;4.737594635046058;[4.532830463035675, 4.696351220328905, 4.983602221773595]
SG_15_3_2;SNV;PCA_features_0.25;4.78472580178738;[4.4072750792798665, 4.7289398205604005, 5.217962505521872]
SG_11_2_1;EMSC;None;4.831434518146242;[4.592790933316495, 4.862737120039361, 5.03877550108287]
SG_15_2_1;EMSC;None;4.851921930101139;[4.663944561347423, 4.866171474976816, 5.02564975397918]
ASLSBaseline;EMSC;PCA_features_0.25;5.133669186359739;[4.582986097924068, 5.179934585970915, 5.638086875184234]
SG_15_3_2;EMSC;PCA_features_0.25;5.1408107601644355;[4.65797149756541, 5.1590977680817955, 5.605363014846103]
SG_11_2_1;EMSC;PCA_features_0.25;5.1481640384279705;[4.822407861186782, 5.00806276303434, 5.614021491062789]
SG_21_2_1;EMSC;PCA_features_0.25;5.189416365157018;[4.738262043632022, 5.217659623577567, 5.612327428261465]
None;EMSC;PCA_features_0.25;5.193887379974046;[4.641417149885395, 5.174526803566218, 5.765718186470523]
SG_15_3_2;EMSC;None;5.203022422292936;[4.95223331322879, 5.176919092707744, 5.4799148609422765]
SG_21_3_2;EMSC;PCA_features_0.25;5.303647078570684;[4.810892899254181, 5.4904617349645, 5.609586601493372]
SG_15_2_1;EMSC;PCA_features_0.25;5.3141272354398525;[5.055732684461735, 5.324686025105716, 5.561962996752106]
SG_21_3_2;EMSC;None;5.335994958872395;[4.958579457855335, 5.532749778559006, 5.516655640202844]
