shape;scatter;pca;mean_score;fold_scores
SG_15_2_1;None;None;6.360869051020487;[6.60061596649143, 6.6800116355231856, 5.801979551046847]
SG_11_2_1;None;None;6.521318202736737;[6.491258948022351, 6.886707752806928, 6.1859879073809285]
SG_21_2_1;None;None;6.551450127768142;[6.900540260750314, 6.586739119668052, 6.167071002886061]
SG_11_2_1;SNV;None;6.6793163554991155;[6.749006444310134, 7.143347590951264, 6.145595031235951]
SG_15_2_1;SNV;None;6.883008701610432;[7.116443060130109, 7.58064916836426, 5.951933876336928]
SG_21_2_1;SNV;None;7.296551973608214;[7.5289666378532445, 7.178054425143195, 7.182634857828201]
SG_15_3_2;None;None;7.308658746671102;[7.112268395990372, 8.010614533709742, 6.8030933103131925]
ASLSBaseline;SNV;None;7.402936743418113;[7.261936050107649, 7.391855110225055, 7.555019069921635]
SG_15_2_1;None;PCA_features_0.25;7.416243995006524;[7.576565961558853, 8.036147760206973, 6.636018263253745]
None;None;None;7.428880659535701;[6.727526908056067, 8.49388079930842, 7.065234271242618]
None;SNV;None;7.463061300323678;[7.97589873258061, 7.424983661989977, 6.988301506400447]
SG_15_3_2;SNV;None;7.593869415588212;[6.785181462262632, 8.921696042143013, 7.074730742358989]
SG_15_2_1;SNV;PCA_features_0.25;7.62827515016335;[7.4071927818213625, 8.161865813227887, 7.315766855440801]
ASLSBaseline;None;None;7.679167446018137;[7.0768660244988855, 8.69763762391035, 7.262998689645174]
SG_21_3_2;SNV;None;7.681933714912906;[7.062162307903938, 8.647323900489218, 7.3363149363455635]
None;SNV;PCA_features_0.25;7.72909145698135;[8.242065381390201, 8.510419867270457, 6.434789122283392]
SG_21_2_1;EMSC;None;7.815442307320549;[8.595061585389054, 8.507001285092826, 6.344264051479765]
SG_21_3_2;SNV;PCA_features_0.25;7.840502676825056;[7.488883765459569, 8.739562831017825, 7.2930614339977735]
SG_21_2_1;None;PCA_features_0.25;7.844351932239942;[8.056567809485706, 8.401135097095633, 7.075352890138486]
SG_11_2_1;EMSC;PCA_features_0.25;7.857161755630481;[7.89764300476529, 8.63462989883039, 7.039212363295762]
SG_21_3_2;None;None;7.884052738172424;[7.557043098504277, 8.600358131600384, 7.494756984412612]
SG_15_3_2;None;PCA_features_0.25;7.887124004200821;[8.03126576302799, 8.62509541186477, 7.0050108377097065]
SG_11_2_1;SNV;PCA_features_0.25;7.899343862506669;[7.911640409360717, 8.407292989443052, 7.37909818871624]
SG_21_2_1;SNV;PCA_features_0.25;7.911924606401126;[8.012624609135207, 8.817561981023902, 6.905587229044269]
SG_11_2_1;None;PCA_features_0.25;7.929161811252814;[7.56103829666078, 8.411524808702506, 7.814922328395154]
ASLSBaseline;SNV;PCA_features_0.25;8.02514208710543;[7.923191342610881, 8.626527819114818, 7.52570709959059]
ASLSBaseline;None;PCA_features_0.25;8.145064291904227;[8.36914716258253, 8.660728131590053, 7.405317581540098]
None;None;PCA_features_0.25;8.1703597947915;[8.51498250569691, 8.405870660752047, 7.590226217925541]
SG_15_3_2;SNV;PCA_features_0.25;8.181892251758871;[8.255909808882885, 8.944649670157993, 7.345117276235737]
SG_15_2_1;EMSC;PCA_features_0.25;8.206076351893987;[8.579391366066014, 9.19362755868518, 6.845210130930769]
SG_15_2_1;EMSC;None;8.21156405564793;[7.885296692756963, 9.185676443765546, 7.563719030421278]
SG_21_3_2;EMSC;PCA_features_0.25;8.221710955183921;[8.526662902118515, 9.109122041290822, 7.029347922142424]
SG_11_2_1;EMSC;None;8.245837820558764;[7.700162178481468, 9.050735369035028, 7.986615914159799]
SG_21_3_2;None;PCA_features_0.25;8.251452892301694;[8.188199165683812, 8.889674864882043, 7.6764846463392304]
None;EMSC;PCA_features_0.25;8.25939006909361;[8.017601904761019, 9.363168767202065, 7.397399535317748]
SG_21_2_1;EMSC;PCA_features_0.25;8.387344523848247;[8.644492007848207, 9.307056809022754, 7.210484754673781]
SG_21_3_2;EMSC;None;8.4981327753808;[8.893085337884257, 9.036784795914627, 7.564528192343514]
SG_15_3_2;EMSC;PCA_features_0.25;8.536854008500601;[9.25945832917566, 8.92707643143252, 7.424027264893624]
SG_15_3_2;EMSC;None;8.559935590813984;[8.964607894197746, 9.062720134687487, 7.652478743556715]
ASLSBaseline;EMSC;PCA_features_0.25;8.886857015111245;[9.472873233350395, 9.38142400657981, 7.806273805403531]
None;EMSC;None;9.102059443118543;[8.51082503759632, 10.2563538270385, 8.538999464720812]
ASLSBaseline;EMSC;None;9.224913366181072;[9.847710295632512, 9.647207979016985, 8.179821823893718]
