shape;scatter;pca;mean_score;fold_scores
None;None;None;0.04898471666651464;[0.04524055480407013, 0.04688871548249742, 0.054824879712976365]
SG_15_2_1;SNV;None;0.04917395191372235;[0.04721569946155279, 0.04696720942381998, 0.05333894685579429]
SG_21_3_2;SNV;None;0.04960952586429588;[0.047983746025630505, 0.048146790193447746, 0.05269804137380939]
None;SNV;None;0.04969414681061193;[0.04557849256236379, 0.047204268283134856, 0.05629967958633716]
SG_21_2_1;SNV;None;0.05008746658922836;[0.049574381944497904, 0.047038371938600484, 0.053649645884586664]
ASLSBaseline;SNV;None;0.05031010016818347;[0.047915833201124275, 0.049219688134524806, 0.05379477916890134]
SG_21_3_2;None;None;0.050316596443361165;[0.046781389171771354, 0.05070797310867806, 0.05346042704963408]
SG_11_2_1;None;None;0.05032255034032607;[0.045935726455071296, 0.050404503602744954, 0.05462742096316196]
SG_21_2_1;None;None;0.05046499661917737;[0.04827605403292996, 0.04762283720944049, 0.05549609861516167]
SG_15_2_1;None;None;0.05046985844191456;[0.04608467433549293, 0.05006585900116813, 0.0552590419890826]
SG_15_3_2;None;None;0.050506664018246834;[0.04756657263685179, 0.050075391682671166, 0.05387802773521754]
SG_11_2_1;SNV;None;0.0506083006893955;[0.048884483773845494, 0.048990583141038914, 0.05394983515330208]
SG_15_3_2;SNV;None;0.05066642275585859;[0.04813863453064858, 0.04993983989659183, 0.05392079384033536]
ASLSBaseline;None;None;0.05177482078156905;[0.04886204247046439, 0.05310543036911106, 0.05335698950513168]
None;EMSC;None;0.05302174899226109;[0.05142738877527857, 0.05184473396615327, 0.055793124235351446]
SG_21_2_1;SNV;PCA_features_0.25;0.05353943693689753;[0.04842851788722433, 0.055334871551835335, 0.05685492137163293]
None;None;PCA_features_0.25;0.053613268958149246;[0.04983953223771908, 0.05480419451048024, 0.05619608012624841]
SG_15_3_2;SNV;PCA_features_0.25;0.05371129194469667;[0.04901819776323565, 0.05575357720785174, 0.05636210086300261]
ASLSBaseline;None;PCA_features_0.25;0.05386759619697016;[0.04974905262027115, 0.054967241151732085, 0.05688649481890727]
None;SNV;PCA_features_0.25;0.054079832419296536;[0.052005246643210844, 0.0521993956811241, 0.05803485493355466]
SG_21_3_2;SNV;PCA_features_0.25;0.054081647560345114;[0.050145307933207255, 0.05331516305771656, 0.05878447169011152]
SG_21_2_1;None;PCA_features_0.25;0.05414221127608205;[0.051464394302482376, 0.054812396043531456, 0.056149843482232314]
SG_11_2_1;SNV;PCA_features_0.25;0.0548308504294858;[0.05112498830685032, 0.0558875313865424, 0.05748003159506468]
SG_15_2_1;SNV;PCA_features_0.25;0.054854868028063726;[0.049466018587096754, 0.057974606769837025, 0.05712397872725742]
ASLSBaseline;EMSC;None;0.05485657598617288;[0.05293042413762699, 0.054800012150595885, 0.056839291670295757]
ASLSBaseline;SNV;PCA_features_0.25;0.05488933999260285;[0.05345249127640546, 0.05528042017658961, 0.055935108524813495]
SG_21_3_2;None;PCA_features_0.25;0.05515261999619159;[0.05046491391322034, 0.056227583225899096, 0.05876536284945532]
SG_11_2_1;None;PCA_features_0.25;0.05578928612607531;[0.05342298984500526, 0.05718621660127244, 0.05675865193194824]
SG_15_2_1;None;PCA_features_0.25;0.055901808197075166;[0.051130507594701585, 0.05799034001343884, 0.05858457698308508]
SG_15_3_2;None;PCA_features_0.25;0.05621668123588621;[0.05298399811136363, 0.05609528096726256, 0.05957076462903245]
SG_21_2_1;EMSC;None;0.05642206055195521;[0.05321009042389978, 0.05328718151684086, 0.062768909715125]
SG_15_2_1;EMSC;None;0.05719649898016885;[0.05270140059539127, 0.05709842602344558, 0.061789670321669675]
SG_11_2_1;EMSC;None;0.057323479085957196;[0.05488460617597845, 0.05583765069639971, 0.06124818038549342]
SG_15_3_2;EMSC;None;0.05752834976933077;[0.05234593465438038, 0.056146147225974344, 0.06409296742763759]
None;EMSC;PCA_features_0.25;0.05874660066390395;[0.056895433916110565, 0.06052120484787161, 0.05882316322772967]
SG_21_3_2;EMSC;None;0.05959658998041877;[0.056645722803973, 0.060228740301867326, 0.06191530683541599]
SG_11_2_1;EMSC;PCA_features_0.25;0.05990321286601846;[0.05718435601084748, 0.06229836806001196, 0.06022691452719594]
ASLSBaseline;EMSC;PCA_features_0.25;0.060025265442653186;[0.055524480202854797, 0.06246159757898824, 0.062089718546116536]
SG_15_2_1;EMSC;PCA_features_0.25;0.06103254646620907;[0.0579482741132064, 0.06396559793059362, 0.061183767354827195]
SG_21_2_1;EMSC;PCA_features_0.25;0.06140862712356238;[0.05673508734707759, 0.06410697413006454, 0.06338381989354502]
SG_21_3_2;EMSC;PCA_features_0.25;0.061701564714474605;[0.05827249845526049, 0.0646334430705683, 0.06219875261759502]
SG_15_3_2;EMSC;PCA_features_0.25;0.06193351681793544;[0.05696283938790374, 0.06476209033468035, 0.06407562073122224]
