shape;scatter;pca;mean_score;fold_scores
SG_15_3_2;SNV;None;1.7953458700421472;[1.6274567511521203, 1.9795000632561954, 1.7790807957181263]
SG_11_2_1;SNV;None;1.8097667698345568;[1.6337710780106434, 1.9248940346855854, 1.8706351968074413]
SG_21_2_1;SNV;None;1.811417579861505;[1.5868091259420354, 1.9795885001648856, 1.867855113477594]
SG_21_3_2;SNV;None;1.8323395960262705;[1.6103453447278486, 2.159384353382126, 1.7272890899688373]
SG_15_2_1;SNV;None;1.8334476939190019;[1.7083430051528665, 1.866902960766945, 1.925097115837194]
SG_15_3_2;None;None;1.8337946252111956;[1.69770415834179, 2.0086705999015413, 1.7950091173902551]
SG_21_3_2;None;None;1.8481040718252835;[1.6846881313248931, 2.0068013386531063, 1.8528227454978505]
SG_11_2_1;None;None;1.8617463327095285;[1.7191527921073535, 2.005701417406076, 1.8603847886151563]
SG_15_2_1;None;None;1.8880004877785863;[1.7283297301126346, 2.0356057219478276, 1.9000660112752967]
SG_21_2_1;None;None;1.9228501873145627;[1.7782374419323814, 2.0817647610678818, 1.908548358943425]
SG_15_3_2;SNV;PCA_features_0.25;1.939631384420118;[1.8714835750086922, 1.9811477637974242, 1.9662628144542382]
SG_15_3_2;None;PCA_features_0.25;1.9780086845830482;[1.9353834705534108, 2.0515945602244567, 1.9470480229712779]
SG_15_2_1;SNV;PCA_features_0.25;1.9858105209669563;[1.819146523120357, 2.127030343727996, 2.0112546960525157]
ASLSBaseline;SNV;None;1.996242817077168;[1.7856036690861428, 2.096902094511293, 2.106222687634068]
None;SNV;PCA_features_0.25;2.003559991402495;[1.920968584448263, 2.0622683141359817, 2.02744307562324]
None;SNV;None;2.008207207012507;[1.8775652221507606, 2.093643569881458, 2.0534128290053033]
SG_21_3_2;SNV;PCA_features_0.25;2.008363907850617;[1.9062418658251876, 2.1221276642431737, 1.9967221934834902]
SG_21_2_1;SNV;PCA_features_0.25;2.0234814419840412;[1.8878881451324026, 2.0736494865977235, 2.1089066942219983]
ASLSBaseline;SNV;PCA_features_0.25;2.0392048686134174;[1.9549754022648669, 2.122351240502606, 2.04028796307278]
SG_21_3_2;None;PCA_features_0.25;2.0431152025298576;[2.0040726659533967, 2.047035621788259, 2.0782373198479176]
SG_21_2_1;EMSC;None;2.050159669577238;[1.8491485451397285, 2.19704990322333, 2.1042805603686547]
ASLSBaseline;EMSC;PCA_features_0.25;2.061356697673801;[1.918102285673729, 2.2060785051353524, 2.059889302212321]
SG_15_2_1;None;PCA_features_0.25;2.065971466005186;[1.9449099566415253, 2.187204663493473, 2.0657997778805606]
None;None;PCA_features_0.25;2.075134541121174;[1.9235035137389038, 2.105395860284719, 2.196504249339899]
SG_11_2_1;None;PCA_features_0.25;2.083712096937671;[2.024810701419893, 2.1688415018201748, 2.057484087572946]
SG_21_3_2;EMSC;PCA_features_0.25;2.0847187911351424;[1.8848391773558968, 2.270136526615608, 2.0991806694339226]
SG_21_2_1;None;PCA_features_0.25;2.0904453374430307;[1.928424154007877, 2.242388245503082, 2.1005236128181335]
SG_15_2_1;EMSC;PCA_features_0.25;2.0953269420219898;[2.0831722793745078, 2.130981182689107, 2.0718273640023543]
None;EMSC;PCA_features_0.25;2.0970458204992877;[1.9819271831898053, 2.1869013090584897, 2.122308969249568]
SG_11_2_1;SNV;PCA_features_0.25;2.100082222532295;[2.007385613548571, 2.2146102834944434, 2.0782507705538698]
ASLSBaseline;None;PCA_features_0.25;2.1051833395076414;[1.9939889400324822, 2.166987438417747, 2.154573640072695]
SG_15_2_1;EMSC;None;2.1069959342768416;[2.027615293505971, 2.1790422049935034, 2.1143303043310504]
SG_15_3_2;EMSC;None;2.1112828276134845;[1.9513024329079378, 2.2188695786166233, 2.1636764713158927]
SG_11_2_1;EMSC;None;2.111506963140203;[1.9520600170769449, 2.2195454161606394, 2.162915456183026]
ASLSBaseline;None;None;2.132881515283206;[2.1066204819681773, 2.142929639850374, 2.149094424031068]
SG_21_2_1;EMSC;PCA_features_0.25;2.135860690661511;[1.981477184588088, 2.2572203234486787, 2.1688845639477665]
SG_11_2_1;EMSC;PCA_features_0.25;2.1552895383019077;[2.039925518306716, 2.2935965316038556, 2.132346564995151]
None;EMSC;None;2.15600776114962;[1.8502468224908042, 2.4144384704065174, 2.203337990551539]
SG_15_3_2;EMSC;PCA_features_0.25;2.157639181676824;[1.9451801842837528, 2.327729946199984, 2.200007414546735]
ASLSBaseline;EMSC;None;2.1715318256029477;[1.8969749849197628, 2.261454860994342, 2.3561656308947376]
SG_21_3_2;EMSC;None;2.1810339064341493;[2.0539137572248127, 2.159249142591431, 2.3299388194862045]
None;None;None;2.2768875834086453;[2.1028345681504628, 2.791467812365963, 1.9363603697095104]
