shape;scatter;pca;mean_score;fold_scores
SG_11_2_1;None;None;3.2665280233281266;[3.20174213093289, 3.2686688083785778, 3.329173130672912]
SG_15_3_2;None;None;3.2744605845643555;[3.2240477212935867, 3.245227495516373, 3.3541065368831062]
SG_21_3_2;None;None;3.290363449531372;[3.2251130650715596, 3.246178974552129, 3.399798308970427]
SG_21_2_1;None;None;3.323312934892281;[3.171785978464423, 3.2476724106918042, 3.550480415520615]
SG_11_2_1;SNV;None;3.32358070557612;[3.2318892336673755, 3.2618132478828255, 3.4770396351781585]
SG_15_2_1;None;None;3.3264668544586837;[3.2825202432430536, 3.2952408937978284, 3.4016394263351692]
SG_21_2_1;SNV;None;3.331743704916399;[3.192295291927878, 3.3197908084252927, 3.483145014396026]
SG_15_2_1;SNV;None;3.335452742177902;[3.247007658516838, 3.3319449090851125, 3.427405658931755]
ASLSBaseline;SNV;None;3.3410478253375424;[3.251376394222499, 3.374993308495579, 3.3967737732945493]
ASLSBaseline;None;None;3.3610327759562146;[3.3178221020918186, 3.3066764075816018, 3.4585998181952236]
ASLSBaseline;EMSC;None;3.4147860106049905;[3.31433472916439, 3.3194802055922965, 3.610543097058286]
SG_15_3_2;SNV;None;3.4177223066684506;[3.3080109566389733, 3.4482249703114913, 3.496930993054887]
SG_21_3_2;SNV;None;3.4489239498988717;[3.4406695048662934, 3.4416317425667375, 3.464470602263585]
None;SNV;None;3.466218163880857;[3.4204175844231877, 3.4798724677286668, 3.4983644394907163]
ASLSBaseline;SNV;PCA_features_0.25;3.5023175745156636;[3.4212886144971173, 3.491047041148032, 3.5946170679018414]
SG_11_2_1;EMSC;None;3.5901243145145703;[3.4921796905926157, 3.701520300422398, 3.576672952528697]
SG_15_2_1;EMSC;None;3.6058709432767233;[3.564190554590089, 3.6499314678212014, 3.6034908074188796]
ASLSBaseline;None;PCA_features_0.25;3.606935659507222;[3.576961478123774, 3.585606179071046, 3.6582393213268456]
SG_21_2_1;EMSC;None;3.6264438067764946;[3.5300371034147213, 3.6920257251924067, 3.6572685917223557]
SG_15_3_2;EMSC;None;3.6380469460270333;[3.538421479131646, 3.6185841201035633, 3.757135238845891]
None;SNV;PCA_features_0.25;3.6398499819641317;[3.561597806805694, 3.7094314586655095, 3.6485206804211927]
SG_11_2_1;None;PCA_features_0.25;3.6921694676290593;[3.581089220230378, 3.7502762709029978, 3.7451429117538018]
None;EMSC;None;3.6922491512368016;[3.653361278077138, 3.650343703156625, 3.773042472476643]
SG_21_2_1;SNV;PCA_features_0.25;3.6962484291215767;[3.5314693868259344, 3.752287182108275, 3.804988718430522]
SG_21_3_2;None;PCA_features_0.25;3.7102567488753224;[3.6690758275154134, 3.699547309873694, 3.762147109236861]
SG_21_3_2;SNV;PCA_features_0.25;3.7182464713856933;[3.706271073972726, 3.5848954821476156, 3.8635728580367377]
SG_11_2_1;SNV;PCA_features_0.25;3.728526509142002;[3.68466828696485, 3.7637918259133283, 3.7371194145478275]
SG_15_3_2;None;PCA_features_0.25;3.7310017281320733;[3.716395570510636, 3.742290664510757, 3.734318949374827]
SG_15_2_1;SNV;PCA_features_0.25;3.739744573586551;[3.559985183078767, 3.802616871051692, 3.856631666629195]
ASLSBaseline;EMSC;PCA_features_0.25;3.741922108546449;[3.711504571843752, 3.6603998085638514, 3.853861945231744]
None;None;PCA_features_0.25;3.745110384131987;[3.8165238128498324, 3.6997332045483606, 3.719074134997768]
SG_21_2_1;None;PCA_features_0.25;3.754700152236737;[3.69622205681392, 3.798758641245519, 3.769119758650772]
SG_15_3_2;SNV;PCA_features_0.25;3.7566744425998384;[3.678813857569274, 3.730346940697561, 3.8608625295326804]
SG_21_3_2;EMSC;None;3.7606421368477356;[3.6843096203334063, 3.733978762134218, 3.863638028075583]
SG_15_2_1;None;PCA_features_0.25;3.82398328727497;[3.784966738001155, 3.9115138122264796, 3.775469311597275]
None;EMSC;PCA_features_0.25;3.9351239014717923;[3.8515064137142896, 3.958190701614182, 3.9956745890869048]
None;None;None;3.9381920209529775;[3.846850205639079, 3.969667999862912, 3.9980578573569425]
SG_11_2_1;EMSC;PCA_features_0.25;4.3283878734897305;[4.242500826045635, 4.4113696698870815, 4.331293124536474]
SG_15_2_1;EMSC;PCA_features_0.25;4.420084037875629;[4.3797687960610014, 4.465650890216424, 4.41483242734946]
SG_21_2_1;EMSC;PCA_features_0.25;4.483014894130517;[4.60498927056363, 4.4380275851893565, 4.406027826638565]
SG_15_3_2;EMSC;PCA_features_0.25;4.875919744415541;[4.954493763771581, 4.553918844910849, 5.119346624564193]
SG_21_3_2;EMSC;PCA_features_0.25;4.921868267577636;[4.643529771832968, 4.878778066342355, 5.243296964557587]
