dataset,model,split,metric,value
alpine_p_291_robustnessfennoscandia,TabPFN PCA 0.99,test,rmse,0.13460480774425515
alpine_p_291_robustnessfennoscandia,TabPFN PCA 0.99,val_best,rmse,0.07304570865209929
alpine_p_291_robustnessfennoscandia,TabPFN PCA 0.99,val_mean,rmse,0.07465394157496191
alpine_p_291_robustnessfennoscandia,TabPFN PCA 30,test,rmse,0.12140467445212808
alpine_p_291_robustnessfennoscandia,TabPFN PCA 30,val_best,rmse,0.06927733564094472
alpine_p_291_robustnessfennoscandia,TabPFN PCA 30,val_mean,rmse,0.07015154005547632
beer_originalextract_60_ks,TabPFN PCA 0.99,test,rmse,0.20835566507542744
beer_originalextract_60_ks,TabPFN PCA 0.99,val_best,rmse,0.2336147136275958
beer_originalextract_60_ks,TabPFN PCA 0.99,val_mean,rmse,0.3620138579851779
beer_originalextract_60_ks,TabPFN PCA 30,test,rmse,0.20116314475055497
beer_originalextract_60_ks,TabPFN PCA 30,val_best,rmse,0.2158015920537666
beer_originalextract_60_ks,TabPFN PCA 30,val_mean,rmse,0.3525018168491667
biscuit_fat_40_randomsplit,TabPFN PCA 0.99,test,rmse,0.44116136558723723
biscuit_fat_40_randomsplit,TabPFN PCA 0.99,val_best,rmse,0.49160535384282145
biscuit_fat_40_randomsplit,TabPFN PCA 0.99,val_mean,rmse,0.5337125257326488
biscuit_fat_40_randomsplit,TabPFN PCA 30,test,rmse,0.8663070196567673
biscuit_fat_40_randomsplit,TabPFN PCA 30,val_best,rmse,0.470291654308584
biscuit_fat_40_randomsplit,TabPFN PCA 30,val_mean,rmse,0.5650936627171561
biscuit_flour_40_randomsplit,TabPFN PCA 0.99,test,rmse,1.142549220184724
biscuit_flour_40_randomsplit,TabPFN PCA 0.99,val_best,rmse,1.1905082445143556
biscuit_flour_40_randomsplit,TabPFN PCA 0.99,val_mean,rmse,1.4060827355194434
biscuit_flour_40_randomsplit,TabPFN PCA 30,test,rmse,1.4836961427292703
biscuit_flour_40_randomsplit,TabPFN PCA 30,val_best,rmse,1.6268791923805996
biscuit_flour_40_randomsplit,TabPFN PCA 30,val_mean,rmse,1.743424432925102
biscuit_sucrose_40_randomsplit,TabPFN PCA 0.99,test,rmse,2.0184865573304442
biscuit_sucrose_40_randomsplit,TabPFN PCA 0.99,val_best,rmse,1.8687780780022483
biscuit_sucrose_40_randomsplit,TabPFN PCA 0.99,val_mean,rmse,2.0781636678208932
biscuit_sucrose_40_randomsplit,TabPFN PCA 30,test,rmse,2.991278413354544
biscuit_sucrose_40_randomsplit,TabPFN PCA 30,val_best,rmse,2.2408697529314976
biscuit_sucrose_40_randomsplit,TabPFN PCA 30,val_mean,rmse,2.761527300657755
cattle_manure_cao_ks,TabPFN PCA 0.99,test,rmse,1.1499917444049905
cattle_manure_cao_ks,TabPFN PCA 0.99,val_best,rmse,1.4742536305160805
cattle_manure_cao_ks,TabPFN PCA 0.99,val_mean,rmse,1.7086638415021984
cattle_manure_cao_ks,TabPFN PCA 30,test,rmse,1.1427130728882755
cattle_manure_cao_ks,TabPFN PCA 30,val_best,rmse,1.4403664578283244
cattle_manure_cao_ks,TabPFN PCA 30,val_mean,rmse,1.699341022304293
cattle_manure_dm_ks,TabPFN PCA 0.99,test,rmse,2.843945560943963
cattle_manure_dm_ks,TabPFN PCA 0.99,val_best,rmse,3.488687762829823
