database,dataset,folder,model,status,returncode,elapsed_sec,log_path,cmd
ALPINE,ALPINE_P_291_KS,Data/regression/ALPINE/ALPINE_P_291_KS,pls,OK,0,36.23721528053284,Results/pls_ridge_final/logs/pls/pls__ALPINE__ALPINE_P_291_KS.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_pls_ridge_final.py --datasets Data/regression/ALPINE/ALPINE_P_291_KS --output_dir Results/pls_ridge_final/pls --model pls --seed 42 --n_splits 3 --parallel --n_jobs 18
AMYLOSE,Rice_Amylose_313_YbasedSplit,Data/regression/AMYLOSE/Rice_Amylose_313_YbasedSplit,pls,OK,0,16.65649962425232,Results/pls_ridge_final/logs/pls/pls__AMYLOSE__Rice_Amylose_313_YbasedSplit.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_pls_ridge_final.py --datasets Data/regression/AMYLOSE/Rice_Amylose_313_YbasedSplit --output_dir Results/pls_ridge_final/pls --model pls --seed 42 --n_splits 3 --parallel --n_jobs 18
BEEFMARBLING,Beef_Marbling_RandomSplit,Data/regression/BEEFMARBLING/Beef_Marbling_RandomSplit,pls,OK,0,20.900068759918213,Results/pls_ridge_final/logs/pls/pls__BEEFMARBLING__Beef_Marbling_RandomSplit.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_pls_ridge_final.py --datasets Data/regression/BEEFMARBLING/Beef_Marbling_RandomSplit --output_dir Results/pls_ridge_final/pls --model pls --seed 42 --n_splits 3 --parallel --n_jobs 18
BEER,Beer_OriginalExtract_60_YbaseSplit,Data/regression/BEER/Beer_OriginalExtract_60_YbaseSplit,pls,OK,0,4.585830450057983,Results/pls_ridge_final/logs/pls/pls__BEER__Beer_OriginalExtract_60_YbaseSplit.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_pls_ridge_final.py --datasets Data/regression/BEER/Beer_OriginalExtract_60_YbaseSplit --output_dir Results/pls_ridge_final/pls --model pls --seed 42 --n_splits 3 --parallel --n_jobs 18
BEER,Beer_OriginalExtract_60_KS,Data/regression/BEER/Beer_OriginalExtract_60_KS,pls,OK,0,4.608945846557617,Results/pls_ridge_final/logs/pls/pls__BEER__Beer_OriginalExtract_60_KS.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_pls_ridge_final.py --datasets Data/regression/BEER/Beer_OriginalExtract_60_KS --output_dir Results/pls_ridge_final/pls --model pls --seed 42 --n_splits 3 --parallel --n_jobs 18
BERRY,brix_groupSampleID_stratDateVar_balRows,Data/regression/BERRY/brix_groupSampleID_stratDateVar_balRows,pls,OK,0,2649.226737976074,Results/pls_ridge_final/logs/pls/pls__BERRY__brix_groupSampleID_stratDateVar_balRows.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_pls_ridge_final.py --datasets Data/regression/BERRY/brix_groupSampleID_stratDateVar_balRows --output_dir Results/pls_ridge_final/pls --model pls --seed 42 --n_splits 3 --parallel --n_jobs 18
BERRY,ph_groupSampleID_stratDateVar_balRows,Data/regression/BERRY/ph_groupSampleID_stratDateVar_balRows,pls,OK,0,2211.1838080883026,Results/pls_ridge_final/logs/pls/pls__BERRY__ph_groupSampleID_stratDateVar_balRows.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_pls_ridge_final.py --datasets Data/regression/BERRY/ph_groupSampleID_stratDateVar_balRows --output_dir Results/pls_ridge_final/pls --model pls --seed 42 --n_splits 3 --parallel --n_jobs 18
BERRY,ta_groupSampleID_stratDateVar_balRows,Data/regression/BERRY/ta_groupSampleID_stratDateVar_balRows,pls,OK,0,2105.77774143219,Results/pls_ridge_final/logs/pls/pls__BERRY__ta_groupSampleID_stratDateVar_balRows.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_pls_ridge_final.py --datasets Data/regression/BERRY/ta_groupSampleID_stratDateVar_balRows --output_dir Results/pls_ridge_final/pls --model pls --seed 42 --n_splits 3 --parallel --n_jobs 18
BISCUIT,Biscuit_Fat_40_RandomSplit,Data/regression/BISCUIT/Biscuit_Fat_40_RandomSplit,pls,OK,0,5.020149230957031,Results/pls_ridge_final/logs/pls/pls__BISCUIT__Biscuit_Fat_40_RandomSplit.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_pls_ridge_final.py --datasets Data/regression/BISCUIT/Biscuit_Fat_40_RandomSplit --output_dir Results/pls_ridge_final/pls --model pls --seed 42 --n_splits 3 --parallel --n_jobs 18
BISCUIT,Biscuit_Sucrose_40_RandomSplit,Data/regression/BISCUIT/Biscuit_Sucrose_40_RandomSplit,pls,OK,0,5.342149257659912,Results/pls_ridge_final/logs/pls/pls__BISCUIT__Biscuit_Sucrose_40_RandomSplit.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_pls_ridge_final.py --datasets Data/regression/BISCUIT/Biscuit_Sucrose_40_RandomSplit --output_dir Results/pls_ridge_final/pls --model pls --seed 42 --n_splits 3 --parallel --n_jobs 18
