shape;final_repr;model;best_params;mean_score;fold_scores;trial_values
ASLSBaseline;None;pls;"{""n_components"": 18}";0.07718971082648539;[0.0732271457978212, 0.08049842613559369, 0.07784356054604127];[0.07785692102129436, 0.09075541290139318, 0.07922988478816963, 0.07718971082648539, 0.09253013517512083, 0.09253013517512083, 0.11353527340389358, 0.08420727153192269, 0.07781218425047119, 0.07922988478816963, 0.07977965696110602, 0.07718971082648539, 0.07977287680057486, 0.08100006696481687, 0.07718971082648539, 0.07933794606548036, 0.08339231701833759, 0.07977287680057486, 0.07781218425047119, 0.09391180155018204, 0.08287350486876799, 0.07781218425047119, 0.0782947986950749, 0.07718971082648539, 0.0790319251122095, 0.07810152076350468, 0.07937899289934754, 0.08287350486876799, 0.0782947986950749, 0.08557312387034628]
SG_21_2_1;None;pls;"{""n_components"": 14}";0.07822452908208481;[0.07386496180327913, 0.08297036120345479, 0.07783826423952053];[0.0787295376526539, 0.08682192054108129, 0.07922715994826497, 0.07926356472582106, 0.09267032873476544, 0.09267032873476544, 0.11253422130777568, 0.08249083101235315, 0.07980863141950689, 0.07922715994826497, 0.0787295376526539, 0.0787295376526539, 0.08028426509954746, 0.08028426509954746, 0.07822452908208481, 0.07847604772714002, 0.07965684904350173, 0.07847604772714002, 0.08867358132687812, 0.07896829059972318, 0.07847604772714002, 0.07847604772714002, 0.07980863141950689, 0.0842255920659112, 0.07965684904350173, 0.08867358132687812, 0.07822452908208481, 0.07926356472582106, 0.07909013287856081, 0.08025321315048711]
None;None;pls;"{""n_components"": 17}";0.07887289343782428;[0.07980086707423231, 0.07865708391837631, 0.07816072932086422];[0.08416280153713833, 0.0880837276201323, 0.08014147891852863, 0.07984722460902709, 0.09282695301856668, 0.09282695301856668, 0.11999108906556126, 0.08232265278443585, 0.07939322281773803, 0.08014147891852863, 0.08207583511437423, 0.07984722460902709, 0.07984722460902709, 0.08551244289693032, 0.08014147891852863, 0.07887289343782428, 0.08630050911557781, 0.081586868002904, 0.07971010721407981, 0.0893978582845924, 0.08639799648784059, 0.07971010721407981, 0.07939322281773803, 0.0793613460495739, 0.08109408404519837, 0.08232265278443585, 0.0793613460495739, 0.08048337341678026, 0.08267170547439508, 0.0795638877451381]
SG_11_2_1;None;pls;"{""n_components"": 14}";0.07953520563284296;[0.07849407644628915, 0.07789031472570856, 0.08222122572653118];[0.08100980053570588, 0.09612882639014105, 0.08249050505786572, 0.0824653504013721, 0.09304819565836359, 0.09304819565836359, 0.11234681952970772, 0.08767527832866333, 0.08272558315852728, 0.08249050505786572, 0.08100980053570588, 0.08100980053570588, 0.08230835628297069, 0.08230835628297069, 0.07953520563284296, 0.08099976262439477, 0.08178157587774866, 0.08099976262439477, 0.08855884916307617, 0.08244332077096245, 0.08099976262439477, 0.08099976262439477, 0.08272558315852728, 0.08600216329175853, 0.08178157587774866, 0.08855884916307617, 0.07953520563284296, 0.0824653504013721, 0.07988422336218416, 0.07988422336218416]
SG_15_2_1;None;pls;"{""n_components"": 15}";0.07959749506484397;[0.07525022915849089, 0.08179808456989893, 0.0817441714661421];[0.07996103240204666, 0.09109803870872517, 0.0803320830095834, 0.08099036641987394, 0.09304380861759948, 0.09304380861759948, 0.11229437935233688, 0.08499111480654196, 0.08127930501946863, 0.0803320830095834, 0.07996103240204666, 0.07996103240204666, 0.08112188156885346, 0.08112188156885346, 0.0799452602290164, 0.07959749506484397, 0.08148607842537695, 0.07959749506484397, 0.08736941886609174, 0.08261473281407687, 0.08297803258974736, 0.07959749506484397, 0.07959749506484397, 0.0808906292120624, 0.08736941886609174, 0.0867702592079731, 0.0799452602290164, 0.08148607842537695, 0.08120695808423002, 0.0799452602290164]
Gaussian_1_2;None;pls;"{""n_components"": 11}";0.08054528744848206;[0.08444449847127561, 0.07924021854017672, 0.0779511453339939];[0.08098274702017584, 0.0968803300166461, 0.08494205040270512, 0.08294970829038738, 0.09193816710747403, 0.09193816710747403, 0.1119392160506157, 0.09001004793743232, 0.08306750636103068, 0.08494205040270512, 0.08098274702017584, 0.08098274702017584, 0.08054528744848206, 0.08054528744848206, 0.08570823640157282, 0.08237294610249628, 0.08069684749240601, 0.08237294610249628, 0.08570823640157282, 0.12164200667647869, 0.09193816710747403, 0.08069684749240601, 0.08091344586448991, 0.08182373258446872, 0.09084815499232061, 0.08272658336390494, 0.08054528744848206, 0.08098274702017584, 0.08182373258446872, 0.08381717151102382]
None;AreaNormalization;pls;"{""n_components"": 19}";0.08065060999880162;[0.0788723214520531, 0.07663039954978444, 0.08644910899456731];[0.08374802037673816, 0.09573712374401122, 0.08184934041194865, 0.08341172130600144, 0.09822818577182942, 0.09822818577182942, 0.11731870267107075, 0.0882564397015289, 0.08065060999880162, 0.08184934041194865, 0.08110915182665107, 0.08374802037673816, 0.08092033434706945, 0.08341172130600144, 0.08849365078112752, 0.08341172130600144, 0.08158752307346291, 0.08849365078112752, 0.08230465696068813, 0.0976566259899989, 0.08642509877049974, 0.08110915182665107, 0.08092033434706945, 0.08167491892442953, 0.08472437635219927, 0.08230465696068813, 0.08065060999880162, 0.08065060999880162, 0.08167491892442953, 0.0882564397015289]
ASLSBaseline;AreaNormalization;pls;"{""n_components"": 13}";0.08101838729180849;[0.08668047374311956, 0.07704215837295574, 0.07933252975935019];[0.08237857088735694, 0.09832322564779251, 0.08157769504076032, 0.08125127415811849, 0.09445360864168721, 0.09445360864168721, 0.1145313726461283, 0.09074545240737401, 0.08209138440998694, 0.08157769504076032, 0.08101838729180849, 0.08101838729180849, 0.08237857088735694, 0.08237420518732357, 0.0850557930323924, 0.08378249031540726, 0.08378249031540726, 0.08688559744775885, 0.08125127415811849, 0.0826355295353483, 0.09280171768297713, 0.08125127415811849, 0.08143480131598285, 0.08157218334109369, 0.08237420518732357, 0.08976422815362106, 0.0826355295353483, 0.08688559744775885, 0.08389902129108025, 0.08345498614040824]
SG_21_3_2;None;pls;"{""n_components"": 17}";0.08463149527735625;[0.08227067954894624, 0.08151182515293856, 0.09011198113018394];[0.0867810005611082, 0.0971950946631095, 0.08764029528181139, 0.08574985569946396, 0.10558982610937363, 0.10558982610937363, 0.11669507686345038, 0.09196172717134998, 0.08625215391822051, 0.08764029528181139, 0.0862505855412984, 0.0862505855412984, 0.08662416331394036, 0.08812608497351047, 0.08463149527735625, 0.08574985569946396, 0.08764029528181139, 0.09011061889456856, 0.08574985569946396, 0.09196172717134998, 0.08662146671129435, 0.08625215391822051, 0.08662416331394036, 0.08589356857268626, 0.09110299576484825, 0.08662416331394036, 0.09100875621115041, 0.09927853316331502, 0.08812608497351047, 0.0867810005611082]
SG_21_2_1;Haar;pls;"{""n_components"": 12}";0.08623257152283335;[0.08401240947527785, 0.08440311261364636, 0.09028219247957585];[0.08623257152283335, 0.0952683885236744, 0.09139348515537428, 0.09078322716131476, 0.1011897667445711, 0.1011897667445711, 0.1151259455955525, 0.09439866809590218, 0.09135204582069056, 0.09139348515537428, 0.08623257152283335, 0.08623257152283335, 0.08741444271243709, 0.08741444271243709, 0.08859984230942863, 0.08904496753742948, 0.09270598524335982, 0.08970702861980318, 0.0973119931068287, 0.12593847754494022, 0.09068935672906914, 0.08834532371311599, 0.09208500266784912, 0.08834532371311599, 0.09078322716131476, 0.09270598524335982, 0.08623257152283335, 0.08970702861980318, 0.09085111174020999, 0.09437822679594034]
SG_15_2_1;Haar;pls;"{""n_components"": 14}";0.08692246965501756;[0.08443101917654547, 0.08522247857465486, 0.0911139112138524];[0.08822732296420559, 0.09965156300849864, 0.09235094951851756, 0.09036591116546573, 0.10886934381795736, 0.10886934381795736, 0.11572276454491066, 0.09716212993958832, 0.09068857396805453, 0.09235094951851756, 0.08822732296420559, 0.08822732296420559, 0.08846845805132235, 0.08846845805132235, 0.08692246965501756, 0.08791332084596247, 0.08755608436308804, 0.10261045376148265, 0.0883612602624475, 0.0941301889548865, 0.08791332084596247, 0.08791332084596247, 0.09843913104348652, 0.08791332084596247, 0.09099503191831204, 0.09266181576700235, 0.08755608436308804, 0.0883612602624475, 0.09560410434607604, 0.08706208975342233]
SG_15_3_2;None;pls;"{""n_components"": 16}";0.08852881108154398;[0.07938408195399797, 0.08921001380919084, 0.09699233748144312];[0.09081309343896238, 0.10000456085097283, 0.09471526337850496, 0.09123882200343914, 0.10810661957258755, 0.10810661957258755, 0.12165415881802588, 0.09577309768275528, 0.09251134370842747, 0.09471526337850496, 0.09081309343896238, 0.09081309343896238, 0.09236857312771263, 0.09236857312771263, 0.09064059615001989, 0.08855333690087974, 0.08852881108154398, 0.08852881108154398, 0.09251134370842747, 0.10221923098192111, 0.09471526337850496, 0.08852881108154398, 0.08852881108154398, 0.08949268880565127, 0.09548739585393744, 0.10221923098192111, 0.09448220707137996, 0.08855333690087974, 0.0969004726538543, 0.09490301104453273]
ASLSBaseline;Haar;pls;"{""n_components"": 22}";0.08917083301940336;[0.09515707274861022, 0.08396243401849121, 0.08839299229110865];[0.09371143995242669, 0.09218123133957672, 0.08917083301940336, 0.09152956095328862, 0.10867174417563992, 0.10867174417563992, 0.1149486849415231, 0.09290457497590003, 0.09241049246382528, 0.08917083301940336, 0.0981881708706196, 0.08936269101339278, 0.08960986370382379, 0.09330497289150898, 0.09172600921633196, 0.09189145986867821, 0.09117183872257582, 0.08917083301940336, 0.09269925437559016, 0.09255659901656743, 0.09172600921633196, 0.08960986370382379, 0.08960986370382379, 0.08936269101339278, 0.09241049246382528, 0.09113657361307181, 0.08936269101339278, 0.09205109145587519, 0.09372150112326376, 0.10209768472480192]
None;Haar;pls;"{""n_components"": 18}";0.09054475291780278;[0.09407619517665529, 0.09267633579863996, 0.08488172777811308];[0.09085786675876291, 0.09610920366660351, 0.0906217393643073, 0.09054475291780278, 0.10257475436970587, 0.10257475436970587, 0.11155936121264846, 0.0941482369451155, 0.09087315926520656, 0.0906217393643073, 0.09120181337200096, 0.09054475291780278, 0.09064101412577606, 0.09264544601551332, 0.09054475291780278, 0.0915023175477905, 0.09586568813865083, 0.09064101412577606, 0.09087315926520656, 0.09600767514831537, 0.09363778963917568, 0.09087315926520656, 0.09275030620370806, 0.09054475291780278, 0.0907428424461989, 0.09082624468333138, 0.09119848302918969, 0.09363778963917568, 0.09275030620370806, 0.09611494911885894]
SG_11_2_1;Haar;pls;"{""n_components"": 28}";0.0919544769619934;[0.09762688773257658, 0.0903139653877513, 0.08792257776565235];[0.0961172257813145, 0.0928004910994632, 0.09277228965293856, 0.09634059779651198, 0.11155016164753005, 0.11155016164753005, 0.11659027389364994, 0.09227182776282039, 0.09523799780996482, 0.09277228965293856, 0.09214572000156225, 0.0919544769619934, 0.09214572000156225, 0.09320705692550975, 0.09596648538936371, 0.09227182776282039, 0.09214572000156225, 0.09320705692550975, 0.09748659261485086, 0.09277228965293856, 0.1079152697218923, 0.09214572000156225, 0.0919544769619934, 0.09210038075388992, 0.09210038075388992, 0.09308922946946935, 0.09523799780996482, 0.0919544769619934, 0.0919544769619934, 0.09308922946946935]
SG_21_2_1;AreaNormalization;pls;"{""n_components"": 14}";0.09207763585103707;[0.08467261291216553, 0.08707253701255582, 0.10448775762838987];[0.0957499202284197, 0.16023018167613287, 0.11594498033570412, 0.11295982430959439, 0.1245640477312232, 0.1245640477312232, 0.11941661568312918, 0.12268439819983128, 0.11867183803346383, 0.11594498033570412, 0.0957499202284197, 0.0957499202284197, 0.10205844430464273, 0.10205844430464273, 0.09207763585103707, 0.09432634963755487, 0.10058704393458666, 0.09432634963755487, 0.12133425847561552, 0.1209632044558256, 0.09432634963755487, 0.09432634963755487, 0.11867183803346383, 0.11498771186335782, 0.10058704393458666, 0.12133425847561552, 0.09207763585103707, 0.11295982430959439, 0.09229311336948072, 0.09229311336948072]
SG_15_2_1;AreaNormalization;pls;"{""n_components"": 13}";0.09364932988907802;[0.09162258567895046, 0.0889379188399496, 0.100387485148334];[0.09744453429155632, 0.1504829334392134, 0.11706027558416325, 0.11615322032950369, 0.12135323485935519, 0.12135323485935519, 0.11929131715997913, 0.13062914989026678, 0.12265861512209124, 0.11706027558416325, 0.09744453429155632, 0.09744453429155632, 0.10428534572155013, 0.10428534572155013, 0.09761094142274714, 0.10474836797901288, 0.11340131059511264, 0.0989137567168354, 0.11993407458293927, 0.1386295981907788, 0.09658332963347409, 0.09761094142274714, 0.10534266586067502, 0.12065604000852333, 0.09761094142274714, 0.11340131059511264, 0.09364932988907802, 0.11340131059511264, 0.11706027558416325, 0.13158942823778183]
SG_21_3_2;Haar;pls;"{""n_components"": 22}";0.09799939419695985;[0.09156393202588464, 0.09812923876223911, 0.10430501180275582];[0.10748230923441975, 0.10397862663246722, 0.09799939419695985, 0.10046706235015852, 0.1136768791252278, 0.1136768791252278, 0.12076882946236091, 0.10095581079409865, 0.09803766086729222, 0.09799939419695985, 0.11346819576149719, 0.09909594773486184, 0.09932271593271813, 0.1043090396274569, 0.10212796519212482, 0.1036160594496285, 0.0996816992428521, 0.09799939419695985, 0.1022369678452167, 0.10531063576768569, 0.10212796519212482, 0.09932271593271813, 0.09932271593271813, 0.09909594773486184, 0.09803766086729222, 0.10080379305240265, 0.09909594773486184, 0.10046674223984096, 0.10498496908948, 0.11555457824255555]
Gaussian_1_2;AreaNormalization;pls;"{""n_components"": 15}";0.09927655356803593;[0.1018782447385319, 0.08995258388080915, 0.10599883208476671];[0.10365238735490206, 0.12938671749433603, 0.11139359105637921, 0.10410831795704277, 0.10818554285935494, 0.10818554285935494, 0.11773761723123566, 0.12350530275834078, 0.10618524178041068, 0.11139359105637921, 0.10365238735490206, 0.10365238735490206, 0.09978013626334298, 0.09978013626334298, 0.10884054439835218, 0.09927655356803593, 0.10009884686675624, 0.10216030593398644, 0.09927655356803593, 0.09927655356803593, 0.11139359105637921, 0.09927655356803593, 0.09927655356803593, 0.10618524178041068, 0.10009884686675624, 0.10171706495118589, 0.1004054229796398, 0.12071340007568304, 0.1089278765191979, 0.10216030593398644]
Gaussian_1_2;Haar;pls;"{""n_components"": 23}";0.09983554901318321;[0.1056506341785097, 0.09157471537354445, 0.10228129748749551];[0.10206738093541778, 0.10496808100529209, 0.0998877749952662, 0.10217504351775697, 0.1139986971549997, 0.1139986971549997, 0.12185632523248323, 0.10174837409993535, 0.10018270654065155, 0.0998877749952662, 0.10661782260411408, 0.09983554901318321, 0.10174837409993535, 0.0998877749952662, 0.10207355129348716, 0.09983554901318321, 0.10678315948170321, 0.10060450524366843, 0.10250109523811013, 0.10000784637636195, 0.10207355129348716, 0.09983554901318321, 0.100374579931113, 0.10313406934706804, 0.09983554901318321, 0.10000784637636195, 0.10260109882871012, 0.10129273301373067, 0.10000784637636195, 0.10661782260411408]
SG_11_2_1;AreaNormalization;pls;"{""n_components"": 15}";0.10074738579012067;[0.09337785135279891, 0.09212435486879796, 0.11673995114876519];[0.10842284247873309, 0.12338583967255529, 0.11454146054500297, 0.11286898687921092, 0.12224261562962109, 0.12224261562962109, 0.11875801425350956, 0.12198800734828641, 0.11392129796786965, 0.11454146054500297, 0.10842284247873309, 0.10842284247873309, 0.10753782937314472, 0.10753782937314472, 0.11452404745431206, 0.10074738579012067, 0.10284370740231763, 0.10284370740231763, 0.11454146054500297, 0.10074738579012067, 0.11392129796786965, 0.10074738579012067, 0.10863677598755926, 0.11452404745431206, 0.10074738579012067, 0.11452404745431206, 0.11286898687921092, 0.11780117194767104, 0.10863677598755926, 0.11622804171547092]
SG_15_3_2;Haar;pls;"{""n_components"": 25}";0.10299832143220859;[0.10209516250784953, 0.10252768503596849, 0.10437211675280778];[0.12276688406473198, 0.10801817824756083, 0.10614511834604268, 0.11772843572853679, 0.12347890240277769, 0.12347890240277769, 0.13337453818673647, 0.10397723264058827, 0.11335508329661469, 0.10614511834604268, 0.11099560602030663, 0.10299832143220859, 0.10471990540251284, 0.10397723264058827, 0.12276688406473198, 0.1058301887656536, 0.12033327850005489, 0.11335508329661469, 0.10471990540251284, 0.11912603884160446, 0.1058301887656536, 0.10299832143220859, 0.104961494707963, 0.11099560602030663, 0.10397723264058827, 0.10614511834604268, 0.10559237040538205, 0.1122477478946821, 0.10299832143220859, 0.11912603884160446]
