shape;final_repr;model;best_params;mean_score;fold_scores;trial_values
None;AreaNormalization;pls;"{""n_components"": 5}";3.031662903146467;[2.4718416994883023, 3.2228519865702223, 3.4002950233808753];[3.35430696579832, 7.571048172420279, 5.478190531922976, 4.562750563873598, 3.031662903146467, 3.031662903146467, 3.5589926819970796, 6.837782173141467, 4.829387120345288, 5.478190531922976, 3.1408841032802983, 3.508045644556377, 3.169093736061441, 3.031662903146467, 3.3908675373914705, 3.169093736061441, 3.1053002164562273, 3.097436568857298, 3.8581560319223223, 3.1053002164562273, 3.097436568857298, 3.031662903146467, 3.508045644556377, 3.1396818047165413, 3.190272938959913, 3.1586772847568807, 3.192248194007554, 3.3908675373914705, 3.031662903146467, 3.35430696579832]
None;None;pls;"{""n_components"": 6}";3.054676881929544;[2.4297490588491226, 3.301212947597632, 3.433068639341877];[3.2300988013146537, 7.601415378822421, 5.379861743760124, 4.386583804075257, 3.1204370946641475, 3.1204370946641475, 3.5447380707612233, 6.9262608408673145, 4.519759270801441, 5.379861743760124, 3.2004000015252667, 3.514845233876487, 3.2279679916292388, 3.1204370946641475, 3.3751457805453877, 3.2279679916292388, 3.179679460268749, 3.2245935894080078, 3.5983671716097576, 3.179679460268749, 3.2245935894080078, 3.1204370946641475, 3.514845233876487, 3.054676881929544, 3.2279679916292388, 3.2300988013146537, 3.5518933005733984, 3.054676881929544, 3.2004000015252667, 3.3751457805453877]
ASLSBaseline;AreaNormalization;pls;"{""n_components"": 5}";3.1027819182598755;[2.5198501146791616, 3.1323992467174233, 3.656096393383042];[3.63216879776918, 7.503590037424346, 6.01438976166498, 4.840823550259061, 3.1027819182598755, 3.1027819182598755, 3.2716420455150477, 6.912295163438557, 5.424579737041165, 6.01438976166498, 3.380316740068812, 3.5425745012200416, 3.352275446454778, 3.1027819182598755, 4.01738748513898, 3.352275446454778, 3.1363113307753445, 3.3106870499813983, 4.126841128317733, 3.1363113307753445, 3.3106870499813983, 3.1027819182598755, 3.5425745012200416, 3.227193105537525, 3.370041278247424, 3.1295987422169564, 3.2482727400905094, 4.01738748513898, 3.1027819182598755, 3.63216879776918]
SG_15_2_1;Haar;pls;"{""n_components"": 4}";3.104539429891322;[2.773656409723669, 3.0377757961900484, 3.502186083760248];[4.4218625754728125, 5.7912696448105665, 5.57424996235925, 5.303351367257256, 3.3321791429914196, 3.3321791429914196, 3.283090985750722, 5.777063278115701, 5.47516720838917, 5.57424996235925, 3.3375413700735646, 3.9428863130437377, 3.3375413700735646, 3.6012744140499096, 4.594762089998006, 3.3321791429914196, 4.106719399691955, 3.104539429891322, 3.3375413700735646, 5.062157997535557, 3.2657102234874587, 3.104539429891322, 3.8378229190369204, 3.104539429891322, 3.9888344455981097, 3.6012744140499096, 3.104539429891322, 4.594762089998006, 3.6012744140499096, 4.4218625754728125]
SG_15_3_2;None;pls;"{""n_components"": 4}";3.1051406548565;[2.7847327815087426, 3.031729927701518, 3.49895925535924];[4.423393431242613, 5.671002724866682, 5.511170258256821, 5.22451004112469, 3.3271620684289545, 3.3271620684289545, 3.2870794542843034, 5.650369648691949, 5.394220535511558, 5.511170258256821, 3.3397193043999738, 3.9683851290693197, 3.3397193043999738, 3.6423624874001574, 4.547950506222943, 3.3271620684289545, 4.153721205346744, 3.1051406548565, 3.3397193043999738, 4.997366888965882, 3.262676134555431, 3.1051406548565, 3.8730040349387154, 3.1051406548565, 4.0182570074287876, 3.6423624874001574, 3.1051406548565, 4.547950506222943, 3.6423624874001574, 4.423393431242613]
SG_21_3_2;None;pls;"{""n_components"": 4}";3.1061996396669715;[2.770123029700777, 3.043314323942894, 3.5051615653572434];[4.411080517448237, 5.979687604040133, 5.710704858319526, 5.432856102526547, 3.3359941456830065, 3.3359941456830065, 3.2811375565176584, 5.967284592831689, 5.6328918209046535, 5.710704858319526, 3.3359686903836807, 3.3359686903836807, 3.9663703975380957, 3.3359686903836807, 3.823397340178451, 3.3183330024941093, 4.613628744338567, 3.3183330024941093, 3.823397340178451, 3.1061996396669715, 3.9246548616338703, 3.1061996396669715, 3.26921694756712, 3.1061996396669715, 4.949478071312374, 3.1061996396669715, 4.063829294145492, 3.5696615409443386, 3.1061996396669715, 4.613628744338567]
SG_11_2_1;Haar;pls;"{""n_components"": 4}";3.1062626926350183;[2.793132084648872, 3.0288927542300983, 3.496763239026083];[4.434825725664937, 5.6430721835642474, 5.5117110161562985, 5.213462077555135, 3.323745770302635, 3.323745770302635, 3.2899600024282, 5.611751714887421, 5.375323104343142, 5.5117110161562985, 3.3414647847870405, 3.9798668502885204, 3.3414647847870405, 3.668103083684541, 4.545787244861369, 3.323745770302635, 4.18234492015021, 3.1062626926350183, 3.3414647847870405, 5.0074262051403595, 3.2588804998735275, 3.1062626926350183, 3.9037458188830114, 3.1062626926350183, 4.0378841700553965, 3.668103083684541, 3.1062626926350183, 4.545787244861369, 3.668103083684541, 4.434825725664937]
SG_21_2_1;Haar;pls;"{""n_components"": 4}";3.1082595849511327;[2.764573592151818, 3.050250737723048, 3.5099544249785306];[4.416633250711972, 6.33157442992037, 6.032874446039742, 5.63728378443563, 3.3420157504846464, 3.3420157504846464, 3.2782618592525714, 6.301851706406986, 5.8089048182919525, 6.032874446039742, 3.3338522615277753, 3.3338522615277753, 3.953076977413994, 3.3338522615277753, 3.805339957458671, 3.3104836908932156, 4.669726721688845, 3.3104836908932156, 3.805339957458671, 3.1082595849511327, 3.8986884449690797, 3.1082595849511327, 3.273144368382217, 3.1082595849511327, 5.027498477936503, 3.1082595849511327, 4.019796001139359, 3.524068699830266, 3.1082595849511327, 4.669726721688845]
Gaussian_1_2;Haar;pls;"{""n_components"": 4}";3.1159437394137526;[2.82690324846087, 3.0289997270033355, 3.4919282427770506];[4.443884092809078, 5.664881629543456, 5.496070814334068, 5.3038424135813464, 3.325199221863245, 3.325199221863245, 3.2940066815056963, 5.644207936628173, 5.386449606275753, 5.496070814334068, 3.344706353614331, 3.9971159248317285, 3.344706353614331, 3.7135649052668604, 4.573478663883676, 3.325199221863245, 4.22988899772037, 3.1159437394137526, 3.344706353614331, 4.92916781822392, 3.248241068320123, 3.1159437394137526, 3.9317297677242258, 3.1159437394137526, 4.103291742115453, 3.7135649052668604, 3.1159437394137526, 4.573478663883676, 3.7135649052668604, 4.443884092809078]
ASLSBaseline;None;pls;"{""n_components"": 6}";3.1246570632675055;[2.5889784634677437, 3.0984943978386372, 3.686498328496136];[3.5762426422042175, 7.553334587474932, 6.0713035179509935, 4.9035382266868055, 3.163080916590987, 3.163080916590987, 3.316128759332557, 6.998731901204912, 5.057132358094912, 6.0713035179509935, 3.3854182719843844, 3.583545387207623, 3.334880028230361, 3.163080916590987, 3.628517965090726, 3.334880028230361, 3.173531945960633, 3.320979845787955, 4.182046049111507, 3.173531945960633, 3.320979845787955, 3.163080916590987, 3.583545387207623, 3.1246570632675055, 3.334880028230361, 3.5762426422042175, 3.2545766776587066, 3.1246570632675055, 3.3854182719843844, 3.628517965090726]
