shape;final_repr;model;best_params;mean_score;fold_scores;trial_values
SG_21_3_2;Haar;pls;"{""n_components"": 10}";3.1208745030133453;[3.3103018297041076, 2.9986087084867594, 3.0537129708491686];[3.3517554045091846, 5.394686335487339, 5.145959815950099, 4.6524348701216764, 4.006906857337244, 4.006906857337244, 3.819973944280512, 5.348981934016829, 4.7940389598064845, 5.145959815950099, 3.3517554045091846, 3.3517554045091846, 3.3319245566737856, 3.3319245566737856, 3.417049745199682, 4.045228338595392, 3.233103922106659, 3.417049745199682, 4.365924009966565, 3.769596382459754, 3.233103922106659, 3.417049745199682, 4.006906857337244, 3.1208745030133453, 4.045228338595392, 3.417049745199682, 4.220072818495728, 3.1208745030133453, 3.5605998126649543, 3.656784573444788]
Gaussian_1_2;Haar;pls;"{""n_components"": 9}";3.266833183352581;[3.537362184040642, 3.1175963185077165, 3.145541047509384];[3.6665763823517694, 5.636640271943423, 5.3947454597055655, 4.766634384201258, 3.702648008645508, 3.702648008645508, 3.8638563248078484, 5.561387078189714, 4.980580086269406, 5.3947454597055655, 3.6665763823517694, 3.6665763823517694, 3.490810865423402, 3.490810865423402, 3.3121978474504097, 3.3121978474504097, 3.2989267094552712, 3.7627198374439086, 3.2989267094552712, 4.339937860166747, 3.4910645485918823, 3.3121978474504097, 3.3121978474504097, 4.062979682073973, 4.154517555060495, 3.266833183352581, 4.185991201967653, 4.154517555060495, 3.278468641156987, 3.7510856498997143]
SG_15_2_1;Haar;pls;"{""n_components"": 9}";3.391932609427387;[3.3118363374999316, 3.486799439450907, 3.3771620513313207];[3.5550775979453832, 4.886600932708714, 4.654058127865714, 4.290110081568998, 3.899090931064215, 3.899090931064215, 3.8126232072691586, 4.826877278275028, 4.3772617260397695, 4.654058127865714, 3.5550775979453832, 3.5550775979453832, 3.518912741061739, 3.518912741061739, 3.415310798187041, 3.415310798187041, 3.4403677605068865, 3.766427133045467, 3.4403677605068865, 4.042772425956879, 3.415310798187041, 3.415310798187041, 3.391932609427387, 4.215565933872729, 3.9485006007740373, 3.4501204192372428, 3.703951928560692, 4.07355155670352, 3.391932609427387, 3.703951928560692]
ASLSBaseline;Haar;pls;"{""n_components"": 7}";3.4084549971334455;[3.6106710573740823, 3.5422512725057236, 3.072442661520531];[4.091136390087421, 5.230479691716248, 5.08169911166042, 4.957488165252368, 4.070342372318684, 4.070342372318684, 3.7758205618405944, 5.201481549379575, 4.999982720584758, 5.08169911166042, 3.768300521164777, 3.768300521164777, 3.8347999550273877, 3.768300521164777, 3.569260429240576, 3.569260429240576, 4.091136390087421, 3.532530895916022, 3.492678572436349, 3.4084549971334455, 3.5893706428664784, 3.4084549971334455, 4.627907340867509, 3.4084549971334455, 4.527360168803739, 3.4084549971334455, 4.173628813104453, 4.173628813104453, 4.364373719631434, 4.914332596683619]
ASLSBaseline;None;pls;"{""n_components"": 11}";3.4543403716940166;[3.7793735684160277, 3.585200124885509, 2.9984474217805137];[3.78059594087032, 4.688897737571646, 4.257697319483751, 3.9066966897012896, 3.7509219422015097, 3.7509219422015097, 3.7626262644426234, 4.639901606820347, 4.031178525134516, 4.257697319483751, 3.732741853336772, 3.732741853336772, 3.4543403716940166, 3.4543403716940166, 3.6764455066309973, 3.7882512686454013, 3.8578590598545035, 3.7386401218848193, 3.7295615299466722, 3.7994264734906995, 3.7770850701666343, 3.7770850701666343, 3.7924800803559804, 3.7295615299466722, 3.78059594087032, 3.9066966897012896, 3.7924800803559804, 4.257697319483751, 3.4543403716940166, 3.78059594087032]
None;Haar;pls;"{""n_components"": 7}";3.503073009682152;[3.7979361969060728, 3.6496903484936563, 3.061592483646728];[4.25099851473959, 5.392705456571271, 5.246858859337682, 5.100024449329334, 4.0500045598743855, 4.0500045598743855, 3.7943104642552234, 5.345057361710308, 5.127179675414672, 5.246858859337682, 3.769523839789652, 3.769523839789652, 4.010042670431123, 3.769523839789652, 3.7721386242354993, 3.503073009682152, 3.503073009682152, 3.503073009682152, 4.814823673630351, 3.526783087780277, 4.814823673630351, 3.503073009682152, 4.0500045598743855, 3.526783087780277, 4.559628048779999, 3.7851070812626486, 4.192263875496008, 3.503073009682152, 4.559628048779999, 4.25099851473959]
SG_21_3_2;AreaNormalization;pls;"{""n_components"": 9}";3.5185067011017055;[3.3888913411018495, 3.7556513241284684, 3.410977438074798];[3.8083940407621064, 5.416570134341321, 4.359887540058598, 3.777278410801659, 3.835022240386292, 3.835022240386292, 3.7269314750450935, 5.067237464380763, 3.8144292530851462, 4.359887540058598, 3.705217680226537, 3.705217680226537, 3.754516995098387, 3.705217680226537, 3.614601142813458, 3.614601142813458, 3.8083940407621064, 3.5185067011017055, 3.5710705457496204, 3.7369204910898546, 3.7561887809894805, 3.5710705457496204, 3.7369204910898546, 3.5710705457496204, 3.843522820090064, 3.9526655870189438, 3.843522820090064, 3.5710705457496204, 3.5185067011017055, 3.8083940407621064]
Gaussian_1_2;None;pls;"{""n_components"": 10}";3.5200693759259027;[3.6943972364714583, 3.8348745012618624, 3.030936390044387];[3.8382517073380114, 5.364427158235329, 4.842462853637745, 4.162609731848278, 3.9303599790449604, 3.9303599790449604, 3.8244639236625897, 5.135745956643947, 4.362017938664476, 4.842462853637745, 3.778756493108889, 3.778756493108889, 3.558814613974905, 3.558814613974905, 3.8382517073380114, 3.558814613974905, 3.634044846380622, 3.9471745178002386, 3.634044846380622, 3.973590687933722, 3.6117505572364585, 3.8382517073380114, 3.90855441999108, 3.5200693759259027, 3.9303599790449604, 3.6117505572364585, 4.014966464242616, 3.90855441999108, 3.8031789685609136, 3.5200693759259027]
Gaussian_1_2;AreaNormalization;pls;"{""n_components"": 10}";3.525147758632915;[3.745472558616846, 3.7482247291203894, 3.0817459881615097];[3.87749928486206, 5.204053894541947, 4.709868439137746, 4.08882806245637, 4.030363529347026, 4.030363529347026, 4.039893067771538, 5.038509779677205, 4.26098193117429, 4.709868439137746, 3.87749928486206, 3.87749928486206, 3.7580919171524827, 3.7580919171524827, 3.6166357893162897, 3.6166357893162897, 3.6700637153348072, 3.805980546357248, 3.6700637153348072, 3.902260319538461, 3.6166357893162897, 3.6166357893162897, 3.6411887070495257, 4.373514553553019, 3.9504027726491784, 3.871840191720633, 3.6411887070495257, 3.9549344970493245, 3.697841887088604, 3.525147758632915]
ASLSBaseline;AreaNormalization;pls;"{""n_components"": 10}";3.530215224660901;[3.849459803407139, 3.7451531958801887, 2.996032674695375];[3.7268317129076203, 4.6255940790699155, 4.184245040375129, 3.8174958215853536, 3.680776332030817, 3.680776332030817, 3.793735223844347, 4.576338025574326, 3.866637537095625, 4.184245040375129, 3.530215224660901, 3.530215224660901, 3.559639269607739, 3.559639269607739, 3.7040494425825816, 3.7498673142088528, 3.7778199459510753, 3.797036838687893, 3.760979063599, 3.7778199459510753, 3.7040494425825816, 3.530215224660901, 3.7498673142088528, 3.704267665477992, 3.7498673142088528, 3.7040494425825816, 3.7268317129076203, 3.8174958215853536, 3.7778199459510753, 3.7268317129076203]
