shape;final_repr;model;best_params;mean_score;fold_scores;trial_values
None;None;pls;"{""n_components"": 17}";71.9623408293965;[68.01128986692846, 71.00828422841181, 76.86744839284921];[74.73952820062556, 73.52360075999121, 73.10117980752571, 72.05177419102611, 88.55201681993806, 88.55201681993806, 100.06758503292379, 73.61201612217673, 72.57779499919222, 73.10117980752571, 74.31630386069538, 72.05177419102611, 72.78545180153516, 74.88891361057121, 72.05177419102611, 73.11635123049678, 75.09709215148355, 72.78545180153516, 72.57779499919222, 73.48505036865485, 73.33076155814014, 72.57779499919222, 73.81188658755832, 72.05177419102611, 71.9623408293965, 73.39900719036991, 74.84392766487207, 73.10117980752571, 73.33076155814014, 74.73952820062556]
SG_11_2_1;AreaNormalization;pls;"{""n_components"": 14}";71.98528399285584;[70.07630461176156, 71.55178089302834, 74.32776647377761];[72.54054262588073, 73.70391448475105, 73.68396301241638, 73.05498436121327, 75.10552564574334, 75.10552564574334, 98.63180911478537, 73.48655292992699, 73.29967396649032, 73.68396301241638, 72.54054262588073, 72.54054262588073, 72.72020070846825, 72.72020070846825, 71.98528399285584, 72.1578176781299, 72.27446833024807, 72.1578176781299, 76.47922580341714, 73.88741941506736, 72.1578176781299, 72.1578176781299, 73.29967396649032, 75.17128507006667, 72.27446833024807, 76.47922580341714, 71.98528399285584, 73.05498436121327, 72.38372154064545, 73.49317248029678]
Gaussian_1_2;None;pls;"{""n_components"": 12}";72.13348181547366;[68.49890006418583, 71.94022121266808, 75.96132416956708];[72.13348181547366, 73.43861731213143, 73.45680498826484, 73.18654156456522, 76.12163110977775, 76.12163110977775, 92.01408043113479, 73.31476365633718, 73.18054825956226, 73.45680498826484, 72.13348181547366, 72.13348181547366, 73.46278545007421, 73.46278545007421, 72.14719844339248, 74.4686708146303, 74.33068869839796, 72.44467571917968, 74.66458686979996, 93.62067454695908, 72.38806746753167, 72.43948179868426, 74.88551835624831, 72.43948179868426, 73.18654156456522, 74.33068869839796, 72.13348181547366, 72.44467571917968, 73.43297383481708, 73.39700431143096]
Gaussian_1_2;AreaNormalization;pls;"{""n_components"": 13}";72.13509772555597;[70.16370884545056, 71.77499190791129, 74.46659242330604];[72.25620404703197, 73.974992753775, 73.66106383247494, 73.32618274746437, 75.28583338420607, 75.28583338420607, 98.60595451102942, 73.50532559596583, 73.55353665990388, 73.66106383247494, 72.25620404703197, 72.25620404703197, 72.51613101762047, 72.51613101762047, 72.35128509585921, 74.46133965928242, 75.7301948150395, 72.63808360600605, 75.17865858066058, 103.54464081940479, 72.41383231208785, 72.13509772555597, 72.13509772555597, 75.7301948150395, 73.32618274746437, 72.35128509585921, 73.78188665677533, 75.7301948150395, 72.63808360600605, 73.63233367594876]
SG_11_2_1;None;pls;"{""n_components"": 15}";72.1517241108924;[68.63001988998137, 72.05735147750124, 75.7678009651946];[72.66215062494477, 73.44368142485955, 73.53174653114972, 73.02672915369972, 76.12209797280117, 76.12209797280117, 92.07441577258739, 73.50318840431628, 73.12220265468785, 73.53174653114972, 72.66215062494477, 72.66215062494477, 73.44832830619096, 73.44832830619096, 72.7088819963832, 74.58993142290274, 74.50428449978669, 72.2968425301714, 72.3763805614774, 72.3763805614774, 73.53174653114972, 72.3763805614774, 72.1517241108924, 73.22032804141293, 72.1517241108924, 72.7088819963832, 72.1517241108924, 72.7088819963832, 74.50428449978669, 73.22032804141293]
None;Haar;pls;"{""n_components"": 14}";72.19465865085876;[69.58804732649806, 72.03676187941518, 74.95916674666304];[72.4733152341224, 75.25438545997487, 74.57851740916476, 73.66004097842401, 75.63272313817141, 75.63272313817141, 91.82762332761673, 75.3438967434747, 74.08487808802386, 74.57851740916476, 72.4733152341224, 72.4733152341224, 73.39341678660219, 73.39341678660219, 72.19465865085876, 72.35611680756114, 72.63439997516588, 72.35611680756114, 74.71773793087266, 75.13203051392955, 72.35611680756114, 72.35611680756114, 74.08487808802386, 74.95493692123695, 72.63439997516588, 74.71773793087266, 72.19465865085876, 73.66004097842401, 72.22501969856846, 72.22501969856846]
SG_11_2_1;Haar;pls;"{""n_components"": 8}";72.21429077798031;[69.53057545718687, 70.0126860855233, 77.09961079123075];[73.2089249430054, 74.04922918488306, 73.64899865617353, 73.39873217074319, 75.15295505148222, 75.15295505148222, 84.85982749861863, 73.78265375917304, 73.22988988131499, 73.64899865617353, 73.2089249430054, 73.2089249430054, 73.45129772438612, 73.45129772438612, 73.93179815582886, 73.15281750685865, 73.08680121843061, 73.08680121843061, 73.08680121843061, 90.83725246165879, 73.08680121843061, 73.08680121843061, 72.21429077798031, 75.74662068263122, 72.93089961385733, 73.91818221737144, 72.93089961385733, 72.93089961385733, 73.6728560725305, 73.93179815582886]
SG_15_2_1;None;pls;"{""n_components"": 17}";72.24586706441862;[68.6540252667302, 71.81464149973682, 76.26893442678879];[72.62367237699438, 73.29258464501386, 73.31322111573576, 72.73301135521267, 76.75172857435317, 76.75172857435317, 92.23412230066397, 73.52765348797207, 72.94370930416945, 73.31322111573576, 72.62367237699438, 72.62367237699438, 74.25631870600989, 74.25631870600989, 73.01789979352377, 75.30407244539236, 74.49178858564392, 72.37323124148408, 72.24586706441862, 72.24586706441862, 73.31322111573576, 72.24586706441862, 72.24586706441862, 72.94370930416945, 72.25898199635951, 73.46672111263574, 72.95960403305905, 73.42613836242487, 73.01789979352377, 72.37323124148408]
SG_15_2_1;AreaNormalization;pls;"{""n_components"": 14}";72.29019057219789;[69.8494212530043, 72.3189539814489, 74.70219648214045];[73.35480723180363, 73.53179065337174, 73.41264621730484, 72.92282012440965, 75.15737241667354, 75.15737241667354, 96.8505967663444, 73.52246303857659, 73.10318057955872, 73.41264621730484, 72.61549208806436, 72.61549208806436, 73.35480723180363, 73.34700221114412, 76.41951028291372, 72.4329774593803, 72.35379169822316, 72.35379169822316, 72.92282012440965, 73.58142160061419, 76.41951028291372, 72.35379169822316, 72.35379169822316, 72.35379169822316, 73.22846991219454, 72.35379169822316, 73.65932500656265, 76.01141314604472, 72.29019057219789, 73.22846991219454]
SG_15_3_2;None;pls;"{""n_components"": 8}";72.32121069034703;[69.41885639234059, 69.65943360330688, 77.88534207539362];[72.98940975142831, 73.4340479142359, 73.55046947270438, 73.30287616585564, 75.47666746959976, 75.47666746959976, 84.53953866738938, 73.6706893690174, 73.10725839119527, 73.55046947270438, 72.98940975142831, 72.98940975142831, 73.05408802852499, 73.05408802852499, 73.69836749702084, 72.99567462859842, 72.32121069034703, 73.94399722510182, 73.31915650614661, 73.32665596241306, 90.75566143613348, 72.32121069034703, 72.32121069034703, 72.32121069034703, 79.76690933533972, 72.32121069034703, 73.39184691957719, 72.64636505335064, 75.83054996695417, 73.69836749702084]
