shape;final_repr;model;best_params;mean_score;fold_scores;trial_values
SG_21_2_1;AreaNormalization;pls;"{""n_components"": 7}";0.47318161395003316;[0.3797263414709543, 0.6683885406281421, 0.3714299597510032];[0.4740389440570035, 0.47343733766074875, 0.4734372984408273, 0.4734493139090816, 0.4836440333843138, 0.4836440333843138, 0.5340074509202672, 0.4734373543934057, 0.47343385834679036, 0.4734357334305617, 0.4737950213577242, 0.47343784841824893, 0.4735189069180687, 0.4734373588747432, 0.47371887264531537, 0.47343385834679036, 0.4734340482951931, 0.47318161395003316, 0.47318161395003316, 0.48065337731903107, 0.47318161395003316, 0.47318161395003316, 1.1143761230944038, 0.47318161395003316, 0.4736017416657561, 0.47371887264531537, 0.4968462481163171, 0.47318161395003316, 0.48089699409311404, 0.4740389440570035]
SG_21_2_1;None;pls;"{""n_components"": 17}";0.4763135965792624;[0.3694285449384339, 0.6738742022032598, 0.38563804259609363];[0.476893244304077, 0.47631660961989075, 0.47631696718668803, 0.47631941639080705, 0.4893319823422333, 0.4893319823422333, 0.5370660146939907, 0.4763166237625776, 0.4763163553007721, 0.4763145950804976, 0.4782319318586932, 0.4763135965792624, 0.4763145950804976, 0.4764457502485428, 0.4763165915850021, 0.47631941639080705, 0.47631696718668803, 0.47631660961989075, 0.476358118497299, 0.4782319318586932, 0.4763165915850021, 0.4763145950804976, 0.4763135965792624, 0.4763163553007721, 0.4764457502485428, 0.4763135965792624, 0.4763163553007721, 0.476358118497299, 0.4763166237625776, 0.476893244304077]
None;AreaNormalization;pls;"{""n_components"": 4}";0.6275829311616349;[0.5960033665332315, 0.6520967065432441, 0.6346487204084291];[0.6285919553835645, 0.6285925361379457, 0.628592536136241, 0.6285925362260388, 0.6275829311616349, 0.6275829311616349, 0.6411616577844499, 0.6285925361379899, 0.628592535574128, 0.6285925361043679, 0.6285881108743986, 0.6760961312815428, 0.6287299569152688, 0.6275829311616349, 0.628592746139769, 0.6287299569152688, 0.6285927449085827, 0.6280495612266307, 0.6285878867085625, 0.6411616577844499, 0.6285881108743986, 0.6275829311616349, 0.6275829311616349, 0.6299665356524397, 0.6285915295615306, 0.6760961312815428, 0.6280495612266307, 0.6285926267885196, 0.6299665356524397, 0.6285919553835645]
None;None;pls;"{""n_components"": 4}";0.670573823448203;[0.535970656985539, 0.7437699873364688, 0.7319808260226015];[0.6729237517374399, 0.6729215101539813, 0.672921510174691, 0.6729215088282091, 0.670573823448203, 0.670573823448203, 0.7177249506002181, 0.672921510153977, 0.6729215100105012, 0.6729215101411966, 0.6729492883480755, 1.0284758541409162, 0.6729609730345413, 0.670573823448203, 0.6729231791456578, 0.6729609730345413, 0.6729217790806622, 0.6726450139731943, 0.6729381519623554, 0.7177249506002181, 0.6729492883480755, 0.670573823448203, 0.670573823448203, 0.6846758824639726, 0.6729721964660644, 1.0284758541409162, 0.6726450139731943, 0.6729215775633203, 0.6846758824639726, 0.6729237517374399]
SG_15_2_1;AreaNormalization;pls;"{""n_components"": 8}";0.6750440067612785;[0.5664986499718221, 0.8842872587032066, 0.574346111608807];[0.6761402222679048, 0.6761708098643284, 0.6761707448069879, 0.6761594910138005, 0.7013460008215162, 0.7013460008215162, 0.864458705164428, 0.6761708101910392, 0.6761743488705197, 0.6761709675422555, 0.6761402222679048, 0.6761402222679048, 0.6762054457968532, 0.6760568391253731, 0.6768231183730409, 0.676159683588427, 0.6762706134094607, 0.6832300436175623, 0.6761594910138005, 0.6750440067612785, 1.608617127449076, 0.6750440067612785, 0.6768231183730409, 0.6762706134094607, 0.6750440067612785, 0.6947567926399776, 0.6750440067612785, 0.7392828207924454, 0.6832300436175623, 0.6762054457968532]
SG_15_2_1;None;pls;"{""n_components"": 10}";0.6862964815750031;[0.5724395045292752, 0.8997705658121465, 0.5866793743835876];[0.6862964815750031, 0.6865178752193298, 0.68651775268083, 0.6865110130901072, 0.711066912323974, 0.711066912323974, 0.8661857414770506, 0.6865178753892828, 0.6865227615803602, 0.6865176376833876, 0.6862964815750031, 0.6862964815750031, 0.6866991653880913, 0.6864474709212186, 0.6872911204133111, 0.6865275617671246, 0.6872911204133111, 0.6865275617671246, 0.6872911204133111, 0.6866321195246253, 0.6865227615803602, 0.6862964815750031, 0.6866991653880913, 0.704605055382701, 0.6866991653880913, 0.6865147518824543, 0.6864474709212186, 1.610801327231646, 0.6935461854972494, 0.6865178754693667]
ASLSBaseline;None;pls;"{""n_components"": 11}";0.7236427832517965;[0.6813330833983372, 0.7626078769351087, 0.7269873894219435];[0.7236432280239534, 0.7236431078315899, 0.7236431078223431, 0.7236431069941075, 0.723928391623469, 0.723928391623469, 0.7551056787293863, 0.7236431078316011, 0.7236431075859405, 0.7236431077791398, 0.7236427832517965, 0.7236427832517965, 0.7236432280239534, 0.7236432280239534, 0.7236668400447431, 0.7236436816613131, 0.7236668400447431, 0.7236431031772858, 0.7236602889451039, 0.7236436816613131, 0.7236431077791398, 0.7236431031772858, 0.7236432174308932, 0.7236468423251745, 0.7236431075859405, 0.7236436816613131, 0.7237056170467344, 0.7236431078315828, 0.7236431031772858, 0.7236432280239534]
ASLSBaseline;AreaNormalization;pls;"{""n_components"": 3}";0.9493036185699227;[0.8666804156469123, 0.9979486981879074, 0.9832817418749485];[0.9507257622360828, 0.9507244377840182, 0.9507244377826432, 0.9507244436207088, 0.9503040979237135, 0.9503040979237135, 0.9858987751518612, 0.9507244377839962, 0.9507244371578457, 0.9507244377534176, 0.9507524297890374, 1.0896055129642568, 0.9508865793392879, 0.9503040979237135, 0.9507236624675371, 0.9508865793392879, 0.950725117072114, 0.9506742828944647, 0.9507323620883743, 0.9858987751518612, 0.9507524297890374, 0.9503040979237135, 0.9503040979237135, 0.9493036185699227, 1.0896055129642568, 0.9507982957989024, 0.9493036185699227, 0.9507245843764336, 0.9493036185699227, 0.9507257622360828]
SG_11_2_1;AreaNormalization;pls;"{""n_components"": 7}";1.0616604457550516;[0.7856111063346377, 1.3463650372346485, 1.0530051936958686];[1.0632628302806915, 1.0638113555779196, 1.063811376679739, 1.063810415899915, 1.0909822876320312, 1.0909822876320312, 1.3538485065707635, 1.0638113551442834, 1.0638128156152764, 1.0638112256999677, 1.0632628302806915, 1.0632628302806915, 1.0645317908691891, 1.0637668442344166, 1.0616604457550516, 1.0616604457550516, 1.0634338985854699, 1.0616604457550516, 1.0637941618714164, 1.7459450993702212, 1.0616604457550516, 1.0616604457550516, 1.0647701675476589, 1.065363415958223, 1.0637941618714164, 1.1245191195244928, 1.0638269628847994, 1.065363415958223, 1.0634338985854699, 1.7459450993702212]
SG_11_2_1;None;pls;"{""n_components"": 7}";1.0655670000850803;[0.7867996094404782, 1.363195236243581, 1.0467061545711822];[1.067226169335344, 1.0677801360325623, 1.0677801692267612, 1.0677803627633113, 1.0925482675814335, 1.0925482675814335, 1.3548941277247943, 1.0677801365982382, 1.0677818157326513, 1.0677799739373446, 1.067226169335344, 1.067226169335344, 1.0684290762095698, 1.067765224720876, 1.0655670000850803, 1.0655670000850803, 1.0669652417655302, 1.0655670000850803, 1.0677805914604752, 1.7559759673496658, 1.0655670000850803, 1.0655670000850803, 1.0680792734256563, 1.069364633707538, 1.0677805914604752, 1.1252609130103328, 1.0678283683670076, 1.069364633707538, 1.0669652417655302, 1.7559759673496658]
