shape;final_repr;model;best_params;mean_score;fold_scores;trial_values
SG_21_2_1;None;pls;"{""n_components"": 3}";0.4189070748364774;[0.4172816472964523, 0.2874019175883856, 0.5520376596245941];[0.4332134976908199, 0.43301311821688504, 0.4330127298412309, 0.43300625528927617, 0.4311107911997017, 0.4311107911997017, 0.45992676560620244, 0.4330131207489263, 0.433002690754527, 0.43301323052330204, 0.43398903624213, 0.7107386232072893, 0.4316301452240652, 0.4311107911997017, 0.43297502386860715, 0.4316301452240652, 0.4328838274252598, 0.4299730528230256, 0.4339441098422124, 0.4343825536705664, 0.4189070748364774, 0.4189070748364774, 0.7107386232072893, 0.4189070748364774, 0.4189070748364774, 0.43398903624213, 0.7107386232072893, 0.4330112359345119, 0.4189070748364774, 0.4332134976908199]
SG_21_2_1;AreaNormalization;pls;"{""n_components"": 3}";0.43268695020222064;[0.40778389951459704, 0.34913827954747595, 0.541138671544589];[0.4370497624450798, 0.4369392271924184, 0.43693896720914593, 0.4369243306116979, 0.43297487502092374, 0.43297487502092374, 0.5263555119366057, 0.4369392288434843, 0.43692887693133003, 0.4369394906012954, 0.43817055269315897, 0.765917260653452, 0.43531784415678354, 0.43297487502092374, 0.43688915940426204, 0.43531784415678354, 0.436803742533441, 0.43429477231702673, 0.4378541550120046, 0.5263555119366057, 0.43817055269315897, 0.43297487502092374, 0.43297487502092374, 0.43268695020222064, 0.765917260653452, 0.43862033260644767, 0.43268695020222064, 0.43694673370838144, 0.43268695020222064, 0.4370497624450798]
SG_15_2_1;None;pls;"{""n_components"": 7}";0.6411558161590143;[0.6316610980330436, 0.5037997659865434, 0.7880065844574557];[0.6420032009574052, 0.6413951940144348, 0.6413951525061532, 0.6414047760257748, 0.6523748142988005, 0.6523748142988005, 0.8106752516601397, 0.6413951834496125, 0.6413971069555879, 0.6413956744957239, 0.6412406794548821, 0.6412406794548821, 0.6420032009574052, 0.6412406794548821, 0.6476323329622007, 0.6414247020593714, 0.6411558161590143, 0.6411558161590143, 0.6476323329622007, 1.3092936859465718, 0.641427396736287, 0.6411558161590143, 0.6476323329622007, 0.6411558161590143, 0.6875593932082511, 0.6414247020593714, 0.6411558161590143, 0.6523748142988005, 0.6415488732888962, 0.6425971142474612]
SG_15_2_1;AreaNormalization;pls;"{""n_components"": 7}";0.6464434290385022;[0.6300827881221103, 0.5102214234724329, 0.7990260755209634];[0.6477778628168985, 0.6472002025534105, 0.6472001895296294, 0.6472080486765369, 0.6554483431045371, 0.6554483431045371, 0.8110031395103889, 0.6472001943464053, 0.6472006194533706, 0.6472003963344451, 0.6469748721933947, 0.6469748721933947, 0.6477778628168985, 0.6469748721933947, 0.6528980318909644, 0.6472082083935928, 0.6464434290385022, 0.6464434290385022, 0.6528980318909644, 1.3027094244789807, 0.6472204133282107, 0.6464434290385022, 0.6528980318909644, 0.6464434290385022, 0.6925543126052397, 0.6472082083935928, 0.6464434290385022, 0.6554483431045371, 0.6473360765044195, 0.6482520483210411]
None;AreaNormalization;pls;"{""n_components"": 2}";0.6929321212213232;[0.7225144878426918, 0.5931446433458056, 0.7631372324754723];[0.699275974301187, 0.6992729835058782, 0.6992729834570577, 0.6992729840024117, 0.7017123738588237, 0.7017123738588237, 0.6929321212213232, 0.699272983505863, 0.6992729817441862, 0.6992729833484326, 0.6992819621979454, 0.7125940287805074, 0.6992729324005449, 0.699275974301187, 0.6992940496015274, 0.7125940287805074, 0.6992730595104885, 0.6992899144495968, 0.6992730595104885, 0.7017123738588237, 0.6992729835050788, 0.6992729817441862, 0.6992729817441862, 0.6992729324005449, 0.6992729324005449, 0.6991997586862082, 0.6991997586862082, 0.6991997586862082, 0.6995404759219853, 0.6929321212213232]
ASLSBaseline;None;pls;"{""n_components"": 4}";0.7116196533329239;[0.53738491817123, 0.9131832790549129, 0.6842907627726282];[0.7121262689035417, 0.7121241574588847, 0.7121241574583953, 0.7121241567022475, 0.7116196533329239, 0.7116196533329239, 0.7219561404869425, 0.7121241574588456, 0.71212415716326, 0.7121241574286378, 0.712108235490491, 0.7876227335055298, 0.7118838464788441, 0.7116196533329239, 0.7121245983510262, 0.7118838464788441, 0.7121242121092148, 0.7119235832851899, 0.7121249591895163, 0.7219561404869425, 0.712108235490491, 0.7116196533329239, 0.7116196533329239, 0.7132811965351268, 0.71205015728394, 0.7876227335055298, 0.7119235832851899, 0.7121242258579357, 0.7132811965351268, 0.7121262689035417]
None;None;pls;"{""n_components"": 6}";0.7358654239477014;[0.7804714825069758, 0.6465495445022086, 0.7805752448339197];[0.7360876181140495, 0.7360924199130329, 0.7360924199141623, 0.7360924196349453, 0.739062298831669, 0.739062298831669, 0.7539022457498877, 0.7360924199129694, 0.7360924180794285, 0.736092419949343, 0.7360876181140495, 0.7360876181140495, 0.7360745582746624, 0.7360745582746624, 0.7358654239477014, 0.7358654239477014, 0.7358654239477014, 0.9946863963299792, 0.7358654239477014, 0.7358654239477014, 0.7360920999510387, 0.7358654239477014, 0.7359306386467847, 0.7492853999494393, 0.736092471314301, 0.7359306386467847, 0.9946863963299792, 0.739062298831669, 0.7360920999510387, 0.7360656084960283]
ASLSBaseline;AreaNormalization;pls;"{""n_components"": 5}";0.8558756246378684;[0.5525508186856294, 1.182590309482208, 0.832485745745768];[0.8565136106460066, 0.8565131495082321, 0.8565131494791022, 0.8565131515235075, 0.8563216512684994, 0.8563216512684994, 0.8728515486517318, 0.8565131495082396, 0.8565131490779322, 0.8565131494535945, 0.856483102949519, 0.9428938409055668, 0.8560799275390111, 0.8563696325832876, 0.8565133208722385, 0.8558756246378684, 0.8563696325832876, 0.8565136189071781, 0.8558756246378684, 0.8563216512684994, 0.8565082756567834, 0.8560799275390111, 0.8558756246378684, 0.8592300323212848, 0.9428938409055668, 0.8565132290399716, 0.8560799275390111, 0.8565082756567834, 0.8558756246378684, 0.8565136106460066]
SG_11_2_1;None;pls;"{""n_components"": 10}";1.1265263107135193;[1.0307747926619022, 0.870445837309316, 1.4783583021693394];[1.1265263107135193, 1.1266079539509877, 1.1266079771604052, 1.126604202650908, 1.1419708205531274, 1.1419708205531274, 1.290481855122591, 1.126607954227189, 1.1266063187796556, 1.126607897559827, 1.1265263107135193, 1.1265263107135193, 1.126620577971481, 1.1265731625646376, 1.128975878560597, 1.1265652656023075, 1.128975878560597, 1.1265652656023075, 1.128975878560597, 1.1265369104020913, 1.1266063187796556, 1.1265263107135193, 1.126620577971481, 1.1403450438134397, 1.126620577971481, 1.1265998974658034, 1.1265731625646376, 1.7487740922718082, 1.1336765070094301, 1.1266079539566662]
SG_11_2_1;AreaNormalization;pls;"{""n_components"": 12}";1.1279599824215818;[1.0365997790116532, 0.8745854806297032, 1.4726946876233884];[1.1280022172359399, 1.128032917663512, 1.1280329664020359, 1.1280295473988493, 1.1442151821890878, 1.1442151821890878, 1.288557636867351, 1.1280329179494724, 1.1280313584220945, 1.1280328368163528, 1.1280022172359399, 1.1280022172359399, 1.1281910504158008, 1.1280317978189107, 1.130376512509244, 1.1279912813508373, 1.1279912813508373, 1.1280260112443752, 1.1279912813508373, 1.1280329664020359, 1.130376512509244, 1.1279912813508373, 1.1279912813508373, 1.1280325374815614, 1.1279599824215818, 1.130376512509244, 1.1279599824215818, 1.1280329181843947, 1.1279599824215818, 1.1280317978189107]
SG_21_3_2;None;pls;"{""n_components"": 11}";1.1415643244843647;[1.053206013084725, 0.8114021019354414, 1.560084858432928];[1.142559130321976, 1.141775381296766, 1.1417753038653202, 1.1417456444999023, 1.2090870217338217, 1.2090870217338217, 1.517770890114404, 1.1417753749686013, 1.1417678880443984, 1.141775070815799, 1.1415643244843647, 1.1415643244843647, 1.142559130321976, 1.142559130321976, 1.143046394199654, 1.1415672845936682, 1.143046394199654, 1.1417176588897637, 1.142383284686528, 1.1415672845936682, 1.141775070815799, 1.1415672845936682, 1.141671984698345, 1.1426607914040179, 1.1417678880443984, 1.1896993895722465, 1.1415672845936682, 1.1415643244843647, 1.143046394199654, 2.2333718300176977]
