shape;final_repr;model;best_params;mean_score;fold_scores;trial_values
ASLSBaseline;AreaNormalization;pls;"{""n_components"": 21}";45.376060474758326;[45.756458414917184, 46.982028869833975, 43.389694139523804];[48.38407691846729, 46.84148511683869, 45.59309946204298, 46.45870542985504, 54.29382091169956, 54.29382091169956, 65.99916602137891, 46.10815748168051, 45.87674423127976, 45.59309946204298, 48.19930496852794, 46.249411640351546, 45.376060474758326, 48.1339674786631, 47.03395383580848, 46.249411640351546, 46.45870542985504, 46.10815748168051, 47.34922111845591, 45.67164747294092, 46.10815748168051, 45.59309946204298, 45.376060474758326, 48.13326734212881, 46.384368099070066, 45.67164747294092, 46.56206727343679, 46.72186786080557, 48.50282179465569, 48.329915249064186]
ASLSBaseline;None;pls;"{""n_components"": 22}";49.470566843581175;[52.365717085969216, 51.88699953263802, 44.15898391213629];[53.02014674605002, 51.446083007679476, 49.470566843581175, 51.10652761711943, 63.31740370541536, 63.31740370541536, 75.42549053045929, 51.37028704108698, 50.736537342159274, 49.470566843581175, 53.51669448150697, 50.01031180358334, 50.25737925894245, 52.21742071949794, 51.37506095594569, 51.227450101671415, 51.4174305407002, 49.470566843581175, 51.80113560612859, 51.60787142111564, 51.37506095594569, 50.25737925894245, 50.25737925894245, 50.01031180358334, 50.736537342159274, 51.03616749602545, 50.01031180358334, 52.39454601327898, 52.26179009307858, 54.131833430289475]
None;None;pls;"{""n_components"": 24}";49.989063342869144;[52.24062267935054, 53.896502954599455, 43.83006439465743];[51.890734428055545, 51.90862209853412, 50.162652747951334, 51.43602057044203, 59.72121505301044, 59.72121505301044, 75.10850662613855, 50.92314127882133, 51.366829975965565, 50.162652747951334, 53.439094068233736, 50.1307386842941, 50.92314127882133, 50.162652747951334, 51.1276876547177, 50.1307386842941, 52.10341412050155, 50.8134917495242, 50.59097046092979, 50.675813294426405, 51.1276876547177, 50.1307386842941, 49.989063342869144, 51.416358516607566, 50.8134917495242, 50.675813294426405, 51.53514675449896, 49.989063342869144, 50.07811352270691, 53.6807708200792]
SG_11_2_1;None;pls;"{""n_components"": 23}";52.37659156892017;[56.40225027770735, 50.89845116750748, 49.829073261545695];[56.33139953189348, 53.847387770965135, 52.43460970089603, 52.87061440200366, 66.61783622590512, 66.61783622590512, 82.42077728090483, 52.8765537463654, 52.742479515148716, 52.43460970089603, 56.91310503462426, 52.37659156892017, 52.8765537463654, 52.43460970089603, 55.315101145347825, 52.37659156892017, 53.139171284402416, 52.835265731983554, 52.710068767367694, 52.59929078899148, 55.315101145347825, 52.37659156892017, 52.37815077882275, 52.96127000582934, 52.37659156892017, 52.59929078899148, 53.04783633326676, 53.35614470874102, 52.59929078899148, 56.91310503462426]
SG_21_2_1;None;pls;"{""n_components"": 29}";52.45772744593677;[55.17548494120696, 53.27688973936538, 48.920807657237965];[57.58126264255338, 52.45772744593677, 53.65863066441767, 55.015231688544226, 63.89711677824821, 63.89711677824821, 82.69545194078499, 53.032816376685815, 54.54259551699721, 53.65863066441767, 52.53975253520671, 52.59664937345024, 52.53975253520671, 57.58126264255338, 53.096364383418724, 52.45772744593677, 54.044886538105835, 56.30422596068471, 53.032816376685815, 57.58126264255338, 54.54259551699721, 52.53975253520671, 52.59664937345024, 52.53975253520671, 52.53782766885859, 53.34501730892441, 52.59664937345024, 52.53782766885859, 53.65863066441767, 54.52814399450025]
Gaussian_1_2;None;pls;"{""n_components"": 17}";52.983901847795586;[56.255546701779004, 52.14810977513531, 50.54804906647247];[55.22106840520343, 53.93336136419902, 53.72358728707804, 53.25159292698402, 68.35821140114415, 68.35821140114415, 82.82813876494386, 53.82868618682971, 53.09418154460182, 53.72358728707804, 54.167588863002656, 53.25159292698402, 53.25159292698402, 56.06767211206243, 53.72358728707804, 52.983901847795586, 56.496866725923105, 53.63058680074411, 53.38717188880634, 53.9806963873743, 57.21173738225841, 53.25159292698402, 53.03240467017071, 53.03240467017071, 53.63058680074411, 53.78573505630077, 54.167588863002656, 53.10161191608097, 53.03240467017071, 53.90706330147319]
SG_15_3_2;None;pls;"{""n_components"": 29}";53.333817533760424;[55.07523387840968, 58.124602597573954, 46.80161612529764];[66.51813446485254, 53.333817533760424, 57.138150480703246, 58.621295116722656, 79.16959427459238, 79.16959427459238, 84.18962815937506, 55.08450982378064, 57.61006896418039, 57.138150480703246, 53.45546852557148, 53.5270030893844, 53.45546852557148, 66.51813446485254, 55.36752585348444, 53.333817533760424, 56.39472500760112, 61.606116023226356, 55.08450982378064, 66.51813446485254, 57.61006896418039, 53.45546852557148, 53.5270030893844, 53.45546852557148, 54.034936393913625, 55.744119646830654, 53.5270030893844, 56.896267116970726, 53.45546852557148, 61.89305481870579]
SG_15_2_1;None;pls;"{""n_components"": 26}";53.57259728879004;[57.591040040528036, 52.180381307035326, 50.94637051880677];[57.664242988171075, 54.09846593133128, 54.01044386690134, 56.258116497489254, 65.0664603269962, 65.0664603269962, 82.44228162033032, 53.57259728879004, 54.713304141663855, 54.01044386690134, 53.582119444079474, 54.18816450877759, 53.582119444079474, 53.94080891673317, 57.664242988171075, 53.94080891673317, 53.94080891673317, 57.664242988171075, 53.667742831283476, 54.482894391108836, 55.7325744944737, 53.582119444079474, 53.582119444079474, 53.57259728879004, 53.57259728879004, 53.57259728879004, 53.892575699258636, 56.258116497489254, 54.422203974995334, 55.7325744944737]
SG_21_2_1;Haar;pls;"{""n_components"": 22}";53.82255701277027;[55.46237653016721, 57.31946102438208, 48.6858334837615];[61.919732041377586, 55.661399022232615, 53.82255701277027, 55.40037296734176, 78.91828414913864, 78.91828414913864, 84.119099311562, 54.5861000018864, 54.683319934632244, 53.82255701277027, 65.99436930388669, 54.32338212719406, 53.83385055719685, 58.143565514024665, 54.41260700469643, 55.20125343196653, 56.091778917765396, 53.82255701277027, 57.90218144129384, 55.56212334477154, 54.41260700469643, 53.83385055719685, 53.83385055719685, 54.32338212719406, 54.683319934632244, 54.73420696702026, 54.32338212719406, 56.774799240880924, 59.64007025717576, 68.20718116563643]
None;Haar;pls;"{""n_components"": 11}";54.007813685870794;[59.428105988242415, 51.17950369779527, 51.41583137157472];[54.08816343338362, 55.70452259033913, 55.3235010193338, 55.26837264439012, 67.41818737484563, 67.41818737484563, 84.08052880151394, 55.64296222280469, 55.172845915764185, 55.3235010193338, 54.08816343338362, 54.08816343338362, 54.007813685870794, 54.007813685870794, 57.846167143522706, 54.1681069164655, 56.33739142975762, 54.1681069164655, 57.846167143522706, 86.90498124784837, 67.41818737484563, 54.08816343338362, 54.24199675866458, 54.316519146683426, 54.78815054056222, 54.24199675866458, 54.18210050968926, 61.21585861527203, 55.172845915764185, 54.007813685870794]
Gaussian_1_2;Haar;pls;"{""n_components"": 29}";54.54424737511198;[56.183352923313834, 58.71061669059508, 48.738772511427015];[60.24147497688424, 54.54424737511198, 55.05032169003065, 56.02901905447815, 73.16237928494286, 73.16237928494286, 83.82492003459693, 55.163770175495436, 55.64698477787647, 55.05032169003065, 54.65369702497569, 54.869000201363725, 54.65369702497569, 60.24147497688424, 55.124009108236805, 54.54424737511198, 54.81836882929857, 57.530631053405024, 55.163770175495436, 60.24147497688424, 55.64698477787647, 54.65369702497569, 54.869000201363725, 54.65369702497569, 55.347146466173676, 54.98048400552799, 54.869000201363725, 55.58545576041207, 54.65369702497569, 58.932943273298825]
SG_21_3_2;None;pls;"{""n_components"": 26}";55.084593186402174;[58.93862197005923, 54.37652533526792, 51.93863225387939];[67.1914497642957, 56.16972828781132, 55.45557184095725, 57.41280697927042, 78.21099981186511, 78.21099981186511, 83.97221087575595, 55.084593186402174, 56.077767399435764, 55.45557184095725, 55.89214994933164, 55.385917205718506, 55.14957646395129, 67.1914497642957, 55.084593186402174, 55.819293974039816, 66.68068448977425, 57.41280697927042, 55.819293974039816, 55.33216837613579, 55.084593186402174, 55.385917205718506, 56.12876244294858, 55.14957646395129, 63.1071886968357, 55.084593186402174, 55.89214994933164, 55.62301590046408, 55.09763689395626, 60.66540560370611]
SG_15_2_1;Haar;pls;"{""n_components"": 25}";55.38326025994163;[58.578920856600774, 57.71938848303164, 49.851471440192455];[67.13138130413033, 55.47720245748561, 56.588863579023304, 58.55624768408085, 78.5037545035976, 78.5037545035976, 83.91613116754799, 55.61955798334498, 57.790519880281714, 56.588863579023304, 55.578798150044605, 55.652680696255096, 55.578798150044605, 67.13138130413033, 55.38326025994163, 55.38326025994163, 56.186769061556, 62.994928068601304, 58.55624768408085, 56.30365567327823, 55.61955798334498, 55.446749173282285, 55.38326025994163, 57.275912167175456, 55.38326025994163, 57.275912167175456, 56.186769061556, 60.74207327062137, 56.73346405057685, 60.74207327062137]
