shape;final_repr;model;best_params;mean_score;fold_scores;trial_values
ASLSBaseline;AreaNormalization;pls;"{""n_components"": 30}";21.822947958255995;[21.424902013396565, 21.300737177128422, 22.743204684242997];[27.875796498057102, 21.830128291752924, 23.399388728528155, 24.781473418181665, 35.54490955792728, 35.54490955792728, 47.10882332547582, 22.20859611444025, 24.25190339371395, 23.399388728528155, 21.822947958255995, 22.162985047606217, 21.822947958255995, 27.875796498057102, 21.822947958255995, 22.867899098427582, 22.20859611444025, 27.875796498057102, 21.822947958255995, 25.036802364526114, 23.399388728528155, 21.822947958255995, 22.20859611444025, 22.024019121224075, 21.822947958255995, 22.867899098427582, 22.162985047606217, 22.867899098427582, 23.937980085148457, 25.78577056396801]
None;None;pls;"{""n_components"": 30}";25.190311591782674;[24.15634737820576, 24.652207057295488, 26.762380339846768];[30.533925840939872, 25.295161869117994, 26.9878949093969, 28.26848942710295, 36.0105339691763, 36.0105339691763, 49.25531173187945, 26.007680026980264, 27.797346688131338, 26.9878949093969, 25.190311591782674, 25.502107664723045, 25.190311591782674, 30.533925840939872, 25.190311591782674, 26.572935996901077, 26.007680026980264, 30.533925840939872, 25.190311591782674, 28.91908728696214, 26.9878949093969, 25.190311591782674, 26.007680026980264, 25.69626547674297, 25.190311591782674, 26.572935996901077, 25.502107664723045, 26.572935996901077, 27.58713672594443, 29.27822301305825]
ASLSBaseline;None;pls;"{""n_components"": 27}";25.42333325259823;[23.738634030248416, 24.10840675808566, 28.42295896946062];[30.49111041251398, 25.520383612790592, 26.57326506176828, 27.967564803028697, 42.988629535741644, 42.988629535741644, 51.82807060748663, 25.677353274790548, 28.08657987678602, 26.57326506176828, 25.47931802160221, 25.452320247003986, 25.47931802160221, 25.981109781230135, 30.01301390826012, 25.677353274790548, 25.47931802160221, 25.981109781230135, 29.07493309046883, 26.57326506176828, 32.41462393632579, 25.47931802160221, 25.452320247003986, 25.42333325259823, 25.42333325259823, 28.08657987678602, 26.724789835132658, 25.677353274790548, 25.452320247003986, 26.41029640009512]
SG_15_2_1;Haar;pls;"{""n_components"": 30}";27.860225118924422;[26.768445619655584, 26.633917516934456, 30.178312220183223];[36.17629032098651, 27.941636239229954, 30.208303001491192, 32.30936117306566, 47.18782584971755, 47.18782584971755, 49.221830678985135, 28.32045284507721, 31.77098879590027, 30.208303001491192, 27.860225118924422, 27.889375925298722, 27.860225118924422, 36.17629032098651, 27.860225118924422, 29.026317318991165, 28.32045284507721, 36.17629032098651, 27.860225118924422, 33.63719932401769, 30.208303001491192, 27.860225118924422, 28.32045284507721, 27.987237299558913, 27.860225118924422, 29.026317318991165, 27.889375925298722, 29.026317318991165, 31.081590044862867, 34.08046331086405]
SG_15_3_2;None;pls;"{""n_components"": 30}";28.067772769352644;[26.757325054802727, 27.201809972958806, 30.24418328029639];[37.39143877447439, 28.244692060725196, 31.600371155650084, 33.19133039346395, 47.173257961537274, 47.173257961537274, 51.19039067186628, 29.330871634467595, 33.02621669640326, 31.600371155650084, 28.067772769352644, 28.75852492607292, 28.067772769352644, 37.39143877447439, 28.067772769352644, 30.675838582363955, 29.330871634467595, 37.39143877447439, 28.067772769352644, 34.79478118419539, 31.600371155650084, 28.067772769352644, 29.330871634467595, 28.870333592781403, 28.067772769352644, 30.675838582363955, 28.75852492607292, 30.675838582363955, 32.45546007880549, 35.1863949839367]
SG_21_2_1;Haar;pls;"{""n_components"": 29}";28.196192148528212;[26.883158714703384, 26.925661508941555, 30.7797562219397];[36.33297568105183, 28.196192148528212, 29.22583848893379, 31.122901924527554, 47.46233070379932, 47.46233070379932, 50.98661467494319, 28.210706862817336, 30.55464023670623, 29.22583848893379, 28.333794649688112, 28.196192148528212, 28.333794649688112, 36.33297568105183, 28.46627804953513, 28.210706862817336, 28.333794649688112, 36.33297568105183, 28.836929773309247, 32.19117317791089, 28.329540107780826, 28.329540107780826, 28.403593366266424, 28.563447967337364, 30.12813635822721, 28.403593366266424, 28.46627804953513, 29.574493551474465, 28.403593366266424, 33.28946710114997]
SG_11_2_1;None;pls;"{""n_components"": 30}";28.230836621563082;[27.42427624056041, 26.19654468557778, 31.071688938551045];[32.20478537355105, 28.486032809542525, 29.346698715134874, 29.825444317944832, 41.480168388867305, 41.480168388867305, 47.932559238109896, 28.79448033859917, 29.729909244986768, 29.346698715134874, 28.230836621563082, 28.57553122519354, 28.230836621563082, 32.20478537355105, 28.230836621563082, 29.085322532279974, 28.79448033859917, 32.20478537355105, 28.230836621563082, 30.632614253268837, 29.346698715134874, 28.230836621563082, 28.79448033859917, 28.720006174323956, 28.230836621563082, 29.085322532279974, 28.57553122519354, 29.085322532279974, 29.570247811236538, 30.974815784276842]
Gaussian_1_2;None;pls;"{""n_components"": 27}";28.540379493221625;[28.050235020607875, 26.13134080364633, 31.439562655410665];[31.599413907532792, 28.605340725038463, 28.852474678470568, 29.34378951677404, 41.93020633974758, 41.93020633974758, 48.372222731924616, 28.56700531359057, 29.068378187779768, 28.852474678470568, 28.67603506126365, 28.605340725038463, 28.6212174159603, 28.56700531359057, 31.599413907532792, 28.6212174159603, 28.6212174159603, 30.715786369816318, 28.958608173949546, 29.912522246668914, 28.540379493221625, 28.540379493221625, 28.540379493221625, 28.852474678470568, 28.629710578924442, 28.629710578924442, 28.658659889813975, 28.540379493221625, 28.84079167605587, 28.958608173949546]
SG_21_3_2;None;pls;"{""n_components"": 29}";28.63044250178972;[27.62939028754889, 26.69164374956213, 31.570293468258136];[37.87501068395656, 28.63044250178972, 30.000511962042623, 32.194524127168386, 46.7801042399549, 46.7801042399549, 50.829648209494245, 29.29815464088321, 31.71819772665948, 30.000511962042623, 28.791583537788558, 28.885558619330137, 28.791583537788558, 37.87501068395656, 29.28726959310663, 28.63044250178972, 29.80820802680798, 33.64942557502087, 29.29815464088321, 37.87501068395656, 31.71819772665948, 28.791583537788558, 28.885558619330137, 28.791583537788558, 29.01316856112258, 29.45429070023688, 28.885558619330137, 30.41780169695763, 28.791583537788558, 34.615570506605344]
SG_21_2_1;None;pls;"{""n_components"": 30}";28.72232902761289;[28.147818252733565, 26.126134199234034, 31.893034630871067];[33.96495998847328, 29.041437015031757, 30.411647255354154, 31.810790083976446, 41.50267859153223, 41.50267859153223, 51.099823646083216, 29.90238895296442, 31.399194448899483, 30.411647255354154, 28.72232902761289, 29.409060513381103, 28.72232902761289, 33.96495998847328, 28.72232902761289, 30.281103976620688, 29.90238895296442, 33.96495998847328, 28.72232902761289, 32.72313520890541, 30.411647255354154, 28.72232902761289, 29.90238895296442, 29.449100464480352, 28.72232902761289, 30.281103976620688, 29.409060513381103, 30.281103976620688, 31.008798719053956, 33.21031648789972]
