shape;final_repr;model;best_params;mean_score;fold_scores;trial_values
SG_21_2_1;None;pls;"{""n_components"": 23}";2.497420741132965;[1.7593046742055902, 2.276134512498383, 3.4568230366949217];[3.9342531505817213, 2.987484861466729, 2.500950146845863, 3.063248305909685, 7.052467986473782, 7.052467986473782, 12.92036262542417, 2.6943538085114604, 2.924866583114317, 2.500950146845863, 4.415929995752623, 2.497420741132965, 2.6943538085114604, 2.500950146845863, 3.3907764166075314, 2.497420741132965, 3.1058750922501783, 2.6292437857546123, 3.1786002257078505, 2.648940857645105, 3.3907764166075314, 2.497420741132965, 2.5798619315938254, 2.8827612799216262, 2.497420741132965, 2.648940857645105, 2.693783825373045, 3.167641333824879, 2.648940857645105, 4.415929995752623]
SG_15_2_1;None;pls;"{""n_components"": 20}";2.701254771112614;[1.9855166733571685, 2.0558485519037104, 4.062399088076963];[3.6681148197338893, 3.3226161112717634, 2.76971586726178, 3.1311834531580196, 7.059682264055243, 7.059682264055243, 13.171853733772267, 2.904470083322421, 2.8834726827918096, 2.76971586726178, 4.13114445130492, 2.755273836521528, 2.904470083322421, 2.76971586726178, 3.3849885595679585, 2.755273836521528, 3.408323703916615, 2.798317134982438, 3.131122981447517, 2.701254771112614, 2.8834726827918096, 2.7448666792812837, 3.218400461416195, 3.3088221307468033, 2.701254771112614, 2.701254771112614, 2.701254771112614, 3.6681148197338893, 3.2384582104058524, 3.509446072060456]
ASLSBaseline;None;pls;"{""n_components"": 15}";2.735732849830972;[2.1466680080839957, 2.733749009017611, 3.3267815323913092];[3.212543259911461, 3.7032544258066804, 3.5477308927839, 3.0651120340835925, 7.304078896551634, 7.304078896551634, 13.461520237217051, 3.6284546616522184, 3.099239243244234, 3.5477308927839, 2.8798523374571423, 2.8798523374571423, 3.212543259911461, 3.4413955165582593, 4.3646570767961785, 2.735732849830972, 2.7899867653699846, 2.7899867653699846, 3.5477308927839, 2.943404063473857, 4.3646570767961785, 2.735732849830972, 2.735732849830972, 3.1509862641264292, 2.735732849830972, 4.3646570767961785, 2.886916987848551, 3.5926166006063736, 3.1509862641264292, 3.4413955165582593]
None;None;pls;"{""n_components"": 15}";2.7691184775631363;[2.2496122137734114, 2.8397473121556867, 3.217995906760311];[3.2715944787962283, 3.983838119985163, 3.354727090633251, 2.989472161750335, 7.060388941375355, 7.060388941375355, 12.582718087016387, 3.6226796602900646, 3.112431369696194, 3.354727090633251, 3.161238278936333, 2.989472161750335, 2.828227909548085, 3.595334340972009, 2.828227909548085, 3.966909432477595, 5.021034631331288, 2.7691184775631363, 2.7691184775631363, 3.415681537006582, 2.9418464032924, 2.828227909548085, 5.021034631331288, 3.1135413991646828, 2.7691184775631363, 4.041199709401329, 2.9418464032924, 3.546858466976102, 2.9418464032924, 3.2715944787962283]
SG_21_2_1;Haar;pls;"{""n_components"": 13}";2.8684688443165065;[2.401155222116364, 2.717300994375634, 3.4869503164575213];[3.0150161396420008, 4.666115078120605, 3.8276304948488566, 3.0411827554888693, 6.840176481750021, 6.840176481750021, 13.495654201282255, 4.169189405381304, 3.179037627176598, 3.8276304948488566, 3.0150161396420008, 3.0150161396420008, 3.3364494144524817, 3.3364494144524817, 3.0009423390019023, 3.2354542326227755, 4.921074872385566, 3.0411827554888693, 3.2354542326227755, 5.710490388634849, 3.8276304948488566, 2.8684688443165065, 3.0009423390019023, 3.2354542326227755, 4.921074872385566, 3.067863913635325, 3.0009423390019023, 4.263169664207385, 3.4217794262371855, 2.8684688443165065]
Gaussian_1_2;None;pls;"{""n_components"": 17}";2.924107243259017;[1.9846962242354713, 3.447276841209622, 3.340348664331959];[3.2778902622474253, 4.094592404355094, 3.9039390293972467, 3.1850898402959342, 6.982034734664105, 6.982034734664105, 12.473138862270417, 3.889200823162009, 3.39158533668126, 3.9039390293972467, 3.2825747370384004, 3.2778902622474253, 3.561199623814524, 2.9302185734400346, 2.924107243259017, 2.9302185734400346, 3.9658658081475955, 4.475264032522689, 2.9302185734400346, 3.364505561682377, 3.889200823162009, 3.095259075869519, 2.9302185734400346, 3.095259075869519, 3.1850898402959342, 4.00794256001945, 3.364505561682377, 3.8814427853932973, 3.186643436983861, 3.561199623814524]
SG_11_2_1;None;pls;"{""n_components"": 17}";2.959740405882698;[1.9586862122018407, 3.072494567532018, 3.8480404379142366];[3.421361904922039, 3.7986741840632328, 3.616395870355056, 3.072428595278305, 7.174256038202961, 7.174256038202961, 12.733989475705295, 3.656256565261087, 3.167015485177332, 3.616395870355056, 3.2490744655242167, 3.072428595278305, 2.9643918193570027, 3.5445115565593013, 2.9643918193570027, 3.7833110044252365, 4.712378225099626, 3.0719511994249484, 3.676494951440745, 3.0719511994249484, 3.167015485177332, 2.9643918193570027, 2.9643918193570027, 3.226852929057204, 4.278917033131261, 2.959740405882698, 3.669019001327946, 3.4152384099145316, 2.959740405882698, 3.421361904922039]
SG_21_3_2;None;pls;"{""n_components"": 21}";2.9720546854377647;[2.1114457739112975, 2.8282419881248537, 3.9764762942771434];[3.9393607606011094, 3.5713791228875493, 3.112080550135856, 3.103650358832072, 7.155922230259983, 7.155922230259983, 13.919553794005438, 3.3593322026046764, 3.1130747615171295, 3.112080550135856, 3.565334554397787, 3.103650358832072, 3.262682788915221, 4.277848041817113, 3.103650358832072, 3.3737062739683714, 4.691441509390331, 3.262682788915221, 3.1130747615171295, 3.6674222882093166, 3.4826172562753612, 3.1130747615171295, 3.4825419047416677, 3.103650358832072, 3.213003012528651, 3.060177805826175, 2.9720546854377647, 2.9720546854377647, 3.351493055670838, 2.9720546854377647]
ASLSBaseline;Haar;pls;"{""n_components"": 15}";3.144709694219379;[2.2382358350955793, 3.8766064205957558, 3.3192868269668017];[3.3846162724986812, 3.8407351825115192, 3.449168402355598, 3.361103976900786, 6.463468915697479, 6.463468915697479, 11.455857784323532, 3.771900690256915, 3.430826979135095, 3.449168402355598, 3.3048821742804386, 3.3048821742804386, 3.3846162724986812, 3.3892633821443474, 3.771735934338802, 3.144709694219379, 3.265516069251833, 3.265516069251833, 3.449168402355598, 3.2658055477511336, 3.771735934338802, 3.144709694219379, 3.144709694219379, 3.4808465136455635, 3.144709694219379, 3.771735934338802, 3.2801193789061376, 3.7200615328525815, 3.4808465136455635, 3.3892633821443474]
ASLSBaseline;AreaNormalization;pls;"{""n_components"": 14}";3.1492247330854055;[2.659211954657574, 3.0222731881173908, 3.7661890564812506];[3.434935769052467, 4.587609766526464, 3.9660108234466076, 3.4082423583945296, 7.7254215884250526, 7.7254215884250526, 14.268307691906818, 4.258322728235328, 3.445195517100068, 3.9660108234466076, 3.393984090688806, 3.393984090688806, 3.434935769052467, 3.8035918742824073, 4.624969918581439, 3.295070255698331, 3.335759835156599, 3.335759835156599, 3.9660108234466076, 3.485522310837536, 4.624969918581439, 3.295070255698331, 3.295070255698331, 3.4656215467331357, 3.295070255698331, 4.624969918581439, 3.1492247330854055, 4.088199817324399, 5.978114511044422, 3.1492247330854055]
